@English@|@Czech@
@of the year@|@roku@
@of these@|@těchto@
@of works@|@děl@
@of your@|@vašeho, vaší@
@off@|@pryč, s, se, vypnuto, vypnutý, z, ze@
@off the record@|@mimo zápis, neoficiálně, neúřední@
@offal@|@vnitřnosti@
@offbeat@|@neobvyklý@
@off-beat@|@neobvyklý@
@off-centre@|@excentrický@
@off-drive@|@zahrání míče v kriketu@
@Offenbach@|@město - Německo@
@offence@|@delikt, porušení, provinění, přestupek, urážka@
@offences@|@přečiny, přestupky, urážky@
@offend@|@poranit, ublížit, urazit, urážet@
@offended@|@dotčený, pohoršený, uražený@
@offender@|@delikvent, pachatel, viník@
@offenders@|@pachatelé, provinilci@
@offending@|@pohoršující, problematický, urážející@
@offends@|@uráží@
@offense@|@přestupek, urážka, útok@
@offensive@|@ofenziva, ofenzíva, ofenzivní, urážlivý@
@offensively@|@urážlivě@
@offensiveness@|@nechutnost, nepřístojnost@
@offer@|@nabídka, nabídnout, nabízet, návrh, poskytnout, poskytovat@
@offered@|@nabídnutý@
@offering@|@emise akcií, nabídka@
@offerings@|@nabídky, obětované oběti@
@offers@|@nabízí@
@offertory@|@obětování@
@offhand@|@bez přípravy, improvizovaný, ledabylý, nedbalý, nepřipravený, okamžitě, pohotový, rovnou, spatra@
@offhandedly@|@bryskně@
@office@|@funkce, kancelář, úřad@
@office worker@|@úředník@
@officeholder@|@státní úředník@
@officer@|@důstojník, policista, referent@
@officers@|@důstojníci, příslušníci, úředníci@
@offices@|@kanceláře@
@official@|@oficiální, představitel, úřednice, úředník@
@officialdom@|@byrokracie@
@officially@|@oficiálně@
@officialness@|@oficiálnost@
@officials@|@úředníci@
@officiant@|@duchovní, kněz@
@officiate@|@celebrovat, konat obřad@
@officious@|@vlezlý, všetečný@
@officiously@|@všetečně@
@officiousness@|@všetečnost@
@offing@|@obzor@
@offish@|@nepřístupný@
@off-key@|@rozladěný@
@off-licence@|@prodej lihovin přes ulici@
@off-limits@|@zakázaný@
@offline@|@offline@
@off-line@|@mimo síť, nepřipojený na síť@
@offload@|@vyložit@
@off-load@|@vykládat náklad@
@off-peak@|@mimošpičkový@
@off-piste@|@mimo sjezdovku@
@offprint@|@zvláštní otisk@
@off-road@|@terénní@
@off-screen@|@mimo plátno@
@off-season@|@mimo sezónu@
@offset@|@kompenzovat, ofset, vynahradit, vyrovnat, vyvážit@
@offset printing@|@ofsetový tisk@
@offsets@|@odnože, ofsety, výhonky@
@offshoot@|@odnož, výhonek@
@offshore@|@pobřežní, zahraniční@
@offside@|@ofsajd, postavení mimo hru@
@offspring@|@potomek@
@offstage@|@mimo scénu, v zákulisí@
@off-stage@|@v zákulisí, za scénou@
@off-the-cuff@|@bez přípravy@
@off-the-rack@|@konfekční@
@off-the-record@|@neoficiální@
@off-the-shelf@|@předem hotový@
@off-white@|@našedlý, šedobílý@
@oft@|@často@
@often@|@často@
@oftentimes@|@častokrát@
@Ofxord@|@univerzitní město v Anglii@
@Ogden@|@Ogden@
@ogle@|@vrhat zamilované pohledy@
@Oglethorpe@|@okres v USA@
@ogre@|@obr@
@oh@|@ach, ách!@
@oh boy@|@ty bláho!@
@Ohio@|@Ohio@
@ohm@|@ohm, Ohm@
@ohmic@|@ohmický, ohmový@
@ohmmeter@|@ohmmetr@
@oil@|@mazat, nafta, naolejovat, olej, olejovat, olejový, ropa@
@oilcloth@|@voskové plátno@
@oiled@|@namazaný, naolejovaný@
@oilfield@|@ložisko ropy, ropné pole@
@oil-field@|@naftové pole@
@oil-fired@|@naftový, vytápěný olejem@
@oilman@|@olejář@
@oilmen@|@naftaři, olejáři@
@oil-paint@|@olejová barva, olejový nátěr@
@oil-painting@|@olejomalba@
@oilseed@|@olejnaté semeno@
@oilskin@|@gumák, voskované plátno@
@oil-tanker@|@tanková loď@
@oily@|@olejnatý, olejový@
@ointment@|@mast@
@OK@|@v pořádku@
@Okamoto@|@Okamoto@
@okapi@|@okapi@
@okay@|@dobrá, dobře, fajn, schválit, souhlas@
@Okayama@|@město - Japonsko@
@okey-dokey@|@jasně@
@Okinawa@|@Okinawa@
@Oklahoma@|@Oklahoma@
@Oklahoma City@|@hl.m. - Oklahoma v USA, Oklahoma@
@okra@|@okra@
@old@|@stár, stará, starý@
@old flame@|@dávná láska@
@old nick@|@ďábel@
@Old Testament@|@Starý zákon@
@old timer@|@veterán@
@Old Town@|@staroměstský@
@Old Town of Prague@|@Staré Město@
@old woman@|@stará@
@old-age@|@starobní@
@olden@|@dávný@
@Oldenburg@|@Oldenburg@
@older@|@starší@
@oldest@|@nejstarší@
@old-fashioned@|@staromódní@
@old-gold@|@tmavě žlutá barva@
@oldie@|@stará píseň, starý film@
@oldish@|@postarší@
@old-maidish@|@staropanenský@
@oldster@|@starouš, stařík@
@old-style@|@zastaralý@
@old-time@|@starodávný@
@old-timer@|@stařík, veterán@
@old-world@|@týkající se dávné Evropy@
@oldy@|@stařík@
@oleaginous@|@olejnatý, olejovitý, olejový, sladký@
@oleander@|@oleandr@
@olefin@|@olefin@
@oleomargarine@|@oleomargarín@
@olfactory@|@čichový, olfaktorický@
@Olga@|@ženské křestní jméno@
@oligarch@|@oligarch@
@oligarchic@|@oligarchický@
@oligarchical@|@oligarchický@
@oligarchy@|@oligarchie@
@oligopolistic@|@oligopolní@
@oligopoly@|@oligopol@
@Olin@|@Olin@
@olive@|@oliva, olivová barva, olivové barvy@
@olive branch@|@olivová ratolest@
@olive drab@|@olivová zeleň@
@olive oil@|@olivový olej@
@Oliver@|@Oliver@
@Olivers@|@Olivers@
@olives@|@olivy@
@Olivia@|@Olivia@
@Olivier@|@Olivier@
@olivine@|@olivín@
@Olsen@|@Olsen@
@Olson@|@Olson@
@Olympia@|@hl.m. - Washington v USA, ženské křestní jméno@
@om@|@posvátná slabika@
@Omaha@|@město - USA@
@Oman@|@Oman, Omán@
@ombudsman@|@ombudsman@
@ombudsmen@|@ombudsmanové@
@omega@|@omega@
@omelette@|@omeleta@
@omen@|@předzvěst@
@omens@|@předzvěst@
@omicron@|@omikron@
@ominous@|@hrozivý, zlověstný@
@omission@|@opomenutí, opominutí, přehlédnutí, vynechání@
@omissions@|@vynechání@
@omit@|@opominout, vynechat@
@omits@|@opomíjí@
@omitted@|@opomenul, vynechal, vynechaný@
@omitting@|@opomíjející, opomíjení, vynechávající, vynechávání@
@omnibus@|@autobus, sborník@
@omnidirectional@|@všesměrový@
@omnious@|@hrozící, hrozivý, neblahý, zlověstný@
@omnipotence@|@všemocnost, všemohoucnost@
@omnipotent@|@všemocný, všemohoucí@
@omnipresence@|@všudypřítomnost@
@omnipresent@|@všudypřítomný@
@omniscience@|@vševědoucnost@
@omniscient@|@vševědoucí@
@omnisciently@|@vševědoucně@
@omnivorous@|@všežravý@
@Omsk@|@město - Rusko@
@on@|@na@
@on all fours@|@po čtyřech@
@on approval@|@na zkoušku, se souhlasem@
@on behalf of@|@jménem@
@on bended knees@|@na kolenou@
@on board@|@na palubě@
@on demand@|@na požádání@
@on drugs@|@na lécích@
@on fire@|@hořící, v ohni@
@on foot@|@pěšky@
@on good terms@|@v dobrých vztazích@
@on my deathbed@|@na vlastní smrtelné posteli@
@on one's behalf@|@jménem@
@on probation@|@na zkoušku@
@on purpose@|@schválně@
@on relief@|@na podpoře@
@on schedule@|@v termínu, ve lhůtě@
@on the contrary@|@naopak@
@on the crappy side@|@posraným navrch@
@on the dot@|@absolutně přesně, na chlup přesně@
@on the go@|@v pohybu@
@on the grounds that@|@s tím že@
@on the left@|@nalevo, vlevo@
@on the loose@|@na volné noze, neukázněný@
@on the market@|@na trh@
@on the one hand...@|@jednak... jednak...@
@on the other hand@|@zato@
@on the other...@|@jednak... jednak...@
@on the rack@|@ve stresu@
@on the rag@|@mít krámy@
@on the right@|@napravo, vpravo@
@on the same wavelength@|@na stejné vlnové délce@
@on the side@|@na straně@
@on the sly@|@pokradmu@
@on the spot@|@na místě, přímo na místě@
@on the table@|@na stole@
@on the way@|@cestou@
@on the way back@|@na zpáteční cestě@
@on the whole@|@celkem@
@on time@|@přesně, včas@
@on trial@|@na zkoušku@
@on vacation@|@na dovolené@
@on way@|@cestou@
@on your deathbed@|@na tvé smrtelné posteli@
@on your own@|@po tvém@
@onanism@|@masturbace@
@on-board@|@palubní@
@once@|@jednou, kdysi@
@once again@|@ještě jednou@
@once more@|@ještě jednou, zase, znovu@
@once upon a time@|@kdysi@
@once-over@|@zběžný pohled@
@oncogene@|@mající karcinogenní vliv@
@oncologist@|@onkolog@
@oncology@|@onkologie@
@oncoming@|@blížící se, nadcházející, nastávající@
@one@|@jeden, jediný, jedna, jednička, jedno, jednotka, kdosi, někdo@
@one and only@|@jediný@
@one another@|@jeden druhého@
@one at a time@|@jeden po druhém@
@one born every minute@|@každou minutu se někdo narodí@
@one by one@|@jeden po druhém, jeden za druhým, po jednom@
@one can@|@lze@
@one cannot@|@nelze@
@one more@|@ještě jeden@
@one of the boys@|@jeden z chlapců@
@one pair of@|@jedny@
@one set@|@jedny@
@one´s own@|@svá, své, svoje, svůj, vlastní@
@one-horse@|@malý a nedůležitý@
@Oneida@|@okres v USA, ženské křestní jméno@
@one-liner@|@jednořádkový např. program@
@one-man@|@individuální, samostatný@
@oneness@|@jedinečnost, jednota, jednotnost, ojedinělost, singularita@
@one-off@|@jednorázový@
@one-piece@|@jednodílný@
@onerous@|@obtížný, onerózní, těžký, tíživý@
@ones@|@jednoho@
@one's own@|@svoji@
@oneself@|@sám, sama, se, sebe, sebou, si, sobě@
@one-shot@|@jednorázový, neperiodický@
@one-sided@|@jednostranný, nerovný@
@one-sidedly@|@jednostranně@
@one-sidedness@|@jednostrannost@
@one-step@|@druh tance@
@one-time@|@bývalý@
@one-to-one@|@vzájemný@
@one-track@|@specializovaný@
@one-track road@|@jedno-proudá silnice@
@one-track vehicle@|@jednostopé vozidlo@
@one-upmanship@|@snaha trumfnout kolegy@
@one-way@|@jednosměrný, nevratný@
@one-way road@|@jednosměrná komunikace@
@one-way street@|@jednosměrná ulice@
@one-way traffic@|@jednosměrný provoz@
@ongoing@|@nepřerušený, pokračující, právě probíhající, stále pokračující@
@onion@|@cibule@
@onions@|@cibule@
@online@|@online@
@on-line@|@za běhu@
@onlooker@|@divák@
@only@|@až, jediný, jen, jenom, jenomže, jenže, pouze, teprve@
@only a@|@pouhý@
@only at that time@|@teprve@
@only thing@|@jediné@
@on-off@|@přerušovaný, spínač mající dvě pozice, zapnout-vypnout@
@onomatopoeia@|@onomatopoie, zvukomalba@
@onomatopoeic@|@zvukomalebný@
@Onondaga@|@okres v USA@
@onrush@|@nápor@
@on-screen@|@filmový, jsoucí na obrazovce, televizní@
@onset@|@počátek@
@onshore@|@pevninský, suchozemský@
@onside@|@ne v ofsajdu@
@on-site@|@místní@
@onslaught@|@nápor, útok@
@onstage@|@jevištní@
@on-stage@|@jevištní, na scéně@
@Ontario@|@město - USA, okres v USA@
@onto@|@na@
@ontogeny@|@ontogeneze, vývoj jedince@
@ontological@|@ontologický@
@ontologically@|@ontologicky@
@ontology@|@ontologie@
@onus@|@břemeno, povinnost@
@onward@|@kupředu, vpřed@
@onwards@|@dál, dopředu, kupředu, na, směrem, vpřed@
@onyx@|@onyx, polodrahokam onyx@
@ooh@|@ó@
@oolitic@|@oolitický@
@oops@|@aj!, hopla!@
@ooze@|@kal, stékat@
@oozed@|@prosakoval, stékal, vytékal@
@oozing@|@vytékání@
@opacity@|@neprůsvitnost@
@opal@|@opál@
@opaque@|@matný, neprůhledný, neprůsvitný@
@Opel@|@Opel@
@open@|@odhalit, odkrýt, otevírat, otevřený, otevřít, otvírat, širý, upřímný, zahájit@
@open and shut@|@jednoznačný, vyložený@
@open fire@|@zahájit palbu@
@open letter@|@otevřený dopis@
@open sandwich@|@obložený chlebíček@
@open space@|@prostranství@
@open up@|@odhalit, odkrýt, otevřít, uvolnit, zpřístupnit@
@open-air@|@pod širým nebem, venku@
@open-air cinema@|@letní kino@
@open-and-shut@|@jednoznačný@
@opencast@|@povrchový@
@opened@|@otevřel, otevřené, otevřený@
@open-ended@|@časově neomezený@
@opener@|@otvírač, otvírák@
@open-eyed@|@bdělý, s otevřenýma očima@
@open-handed@|@štědrý@
@open-handedness@|@štědrost@
@opening@|@otevírací, otevření, otvor, volné místo, začátek, zahájení@
@openings@|@volná místa, zahájení@
@openly@|@otevřeně, upřímně@
@open-minded@|@nepředpojatý, objektivní, vnímavý@
@open-mindedness@|@nezaujatost@
@open-mouthed@|@s otevřenými ústy, udivený@
@openness@|@otevřenost, upřímnost@
@open-plan@|@budova mající velké místnosti@
@opens@|@otevírá, otevře@
@open-side@|@část hřiště na rugby@
@opera@|@opera@
@opera glasses@|@kukátko@
@opera house@|@opera@
@operable@|@operabilní, operovatelný@
@operand@|@operand@
@operands@|@operandy@
@operas@|@opery@
@operate@|@běžet, fungovat, obsluhovat, operovat, ovládat, pracovat, spravovat, účinkovat@
@operated@|@obsluhovaný, ovládaný, provozovaný, řízený, spravovaný@
@operates@|@operuje, řídí@
@operatic@|@operní@
@operating@|@operační, provozní@
@operating room@|@operační sál@
@operating system@|@operační systém@
@operation@|@činnost, operace, působení, řízení@
@operational@|@funkční, operační, provozní@
@operationally@|@provozně@
@operations@|@operace@
@operative@|@operativní@
@operatives@|@tajní agenti@
@operator@|@operatér, operátor, spojovatelka, telefonista, telefonistka@
@operators@|@operátoři@
@operculum@|@operkulum, příklopka, skřele, víčko@
@operetta@|@opereta@
@ophthalmic@|@optický@
@ophthalmologist@|@oční lékař, oftalmolog@
@ophthalmology@|@oční lékařství@
@opiate@|@opiát@
@opiates@|@opiáty@
@opine@|@vyjádřit@
@opinion@|@názor, posudek@
@opinionated@|@tvrdohlavý@
@opinions@|@názory@
@opioid@|@opiový@
@opium@|@opium@
@opossum@|@vačice@
@Oppenheimer@|@Oppenheimer@
@opponency@|@oponentura@
@opponent@|@oponent, protivník, soupeř@
@opponents@|@oponenti, protihráči, soupeři@
@opportune@|@příhodný, vhodný@
@opportunely@|@příhodně, vhodně@
@opportunism@|@oportunismus@
@opportunist@|@oportunista@
@opportunistic@|@oportunistický@
@opportunistically@|@oportunisticky@
@opportunities@|@příležitosti@
@opportunity@|@možnost, příležitost@
@oppose@|@být proti, oponovat, postavit, protiklad, vzdorovat@
@opposed@|@odporoval, oponoval, oponovat@
@opposes@|@oponuje@
@opposing@|@antagonistický, protikladný@
@opposite@|@naproti, opačný, opak, protější, proti, protilehlý@
@opposite number@|@kolega@
@opposite sides@|@protější strany@
@oppositely@|@protilehle@
@opposites@|@opaky, protějšky@
@opposition@|@odpor, opozice@
@oppositional@|@odporující@
@oppress@|@deptat, utiskovat, utlačovat@
@oppressed@|@utiskovaný, utlačovaný@
@oppressing@|@utiskování, utlačování@
@oppression@|@tíseň, útisk, utlačování@
@oppressive@|@depresivní, dusný, represivní, tíživý, tvrdý, utlačující@
@oppressively@|@dusně@
@oppressiveness@|@utlačovanost@
@oppressor@|@utlačovatel@
@oppressors@|@utlačovatelé@
@opprobrious@|@hanebný, hanlivý, ostudný@
@opprobrium@|@hanba, potupa, tvrdá kritika@
@opt@|@volit, vybrat si@
@opt out@|@neúčastnit se@
@opted@|@vybraný@
@optic@|@optický@
@optical@|@optický@
@Optical Character Recognition@|@rozpoznávání znaků@
@optical disc@|@optický disk@
@optical fiber@|@optické vlákno, optický kabel@
@optical scanner@|@optický skener@
@optically@|@opticky@
@optician@|@optik@
@optics@|@optika@
@optima@|@optimum@
@optimal@|@optimální@
@optimality@|@optimalita@
@optimally@|@optimálně@
@optimisation@|@optimalizace@
@optimise@|@optimalizovat@
@optimised@|@optimalizovaný@
@optimiser@|@optimalizovatel@
@optimising@|@optimalizování, optimalizující@
@optimism@|@optimismus@
@optimist@|@optimista@
@optimistic@|@optimistický@
@optimistically@|@optimisticky@
@optimization@|@optimalizace@
@optimize@|@optimalizovat@
@optimized@|@optimalizovaný@
@optimizer@|@optimalizovatel, optimizátor@
@optimizing@|@optimalizace, optimalizující@
@optimum@|@optimum@
@opting@|@rozhodování, vybírání@
@option@|@možnost, opce@
@optional@|@nepovinný, volitelný@
@optionality@|@volitelnost@
@optionally@|@volitelně@
@options@|@volby@
@Options@|@Nastavení@
@optoelectronic@|@optoelektronický@
@optometrist@|@optometrik@
@optometry@|@optometrie@
@opt-out@|@nevykonání, odstupní@
@opulence@|@hojnost, nadbytek@
@opulent@|@zámožný@
@opus@|@opus@
@or@|@anebo, či, i, nebo@
@or else@|@anebo, jinak@
@oracle@|@typ databázového systému, věštírna@
@oracular@|@záhadný@
@oral@|@ústní@
@orally@|@ústně@
@orange@|@oranžový, pomeranč, pomerančový@
@orangery@|@skleník@
@oranges@|@pomeranče@
@orangutan@|@orangutan@
@orang-utan@|@orangutan@
@oration@|@smuteční projev@
@orator@|@řečník@
@oratorical@|@řečnický@
@oratorio@|@oratorium@
@oratory@|@oratorium, oratoř, řečnické umění@
@orb@|@koule, oční bulva@
@orbicular@|@okrouhlý@
@orbit@|@dráha, oběžná dráha, obíhat, sféra@
@orbital@|@oběžný, okružní, orbit, orbital, orbitální@
@orbiter@|@družice, raketoplán, umělá družice@
@orbiting@|@obíhající, obíhání@
@orbits@|@oběžné dráhy, orbity@
@orchard@|@sad@
@orchards@|@sady@
@orchestra@|@orchestr@
@orchestral@|@orchestrální@
@orchestras@|@orchestry@
@orchestrate@|@instrumentovat, organizovat@
@orchestrated@|@zorganizovaný@
@orchestration@|@instrumentace, orchestrace@
@orchestrator@|@skladatel hudby orchestru@
@orchid@|@orchidea, orchidej@
@orchids@|@orchideje@
@ordain@|@určit, ustanovit, vysvětit@
@ordained@|@nařízený, vysvětlený@
@ordeal@|@utrpení@
@order@|@nařídit, nařízení, objednat, objednávat, objednávka, poručit, pořádek, pořadí, postup, povel, příkaz, přikázat, rozkaz, rozkázat, rozkazovat, řad, řád, seřadit, stupeň, uspořádat, velet, zakázka@
@order party@|@objednatel@
@ordered@|@nařízený, objednaný, přikázaný@
@ordering@|@objednávání, organizace, řazení, uspořádání@
@orderings@|@uspořádání@
@orderless@|@nepořádný@
@orderliness@|@uspořádanost@
@orderly@|@pořádný, řádný, spořádaně, ukázněně, ukázněný, upravený, uspořádaný@
@orders@|@objednávky, příkazy, zakázky@
@ordinal@|@pořadový, řádový@
@ordinal number@|@pořadové číslo, řadová číslovka@
@ordinance@|@rozhodnutí, vyhláška@
@ordinances@|@nařízení, vyhlášky@
@ordinands@|@svěřenci@
@ordinarily@|@běžně, normálně, obvykle, zpravidla@
@ordinariness@|@obyčejnost, průměrnost@
@ordinary@|@běžný, obyčejný@
@ordinate@|@odvěsna@
@ordination@|@vysvěcení@
@ordnance@|@arzenál@
@ordure@|@hnůj, výkaly@
@ore@|@ruda@
@Ore Mountains@|@Krušné hory, Rudohoří@
@oregano@|@oregano@
@Oregon@|@Oregon@
@organ@|@orgán, ústrojí, varhany@
@organdie@|@organdy@
@organic@|@organický@
@organically@|@organicky@
@organisable@|@organizovatelný@
@organisation@|@organizace@
@organisational@|@organizační@
@organisationally@|@organizačně@
@organisations@|@organizace@
@organise@|@organizovat, zorganizovat@
@organised@|@organizovaný@
@organiser@|@organizátor@
@organisers@|@organizátoři@
@organising@|@organizování@
@organism@|@organismus@
@organisms@|@organismy@
@organist@|@varhaník@
@organization@|@organizace@
@organizational@|@organizační@
@organizationally@|@organizačně@
@organizations@|@organizace@
@organize@|@organizovat@
@organized@|@organizován, organizovaný@
@organized crime@|@organizovaný zločin@
@organizer@|@organizátor, pořadatel, zřizovatel@
@organizers@|@organizátoři, pořadatelé@
@organizes@|@organizuje, pořádá@
@organizing@|@organizační, organizování, organizující@
@organ-loft@|@kruchta@
@organometallic@|@organokovový@
@organs@|@orgány@
@organza@|@druh tkaniny, organtýn@
@orgasm@|@orgasmus@
@orgasmic@|@orgazmický@
@orgiastic@|@orgiastický@
@orgies@|@orgie@
@orgy@|@obřady, orgie@
@oriel@|@arkýř@
@orient@|@orient, orientální, orientovat@
@Orient@|@Orient@
@oriental@|@orientální@
@orientalism@|@orientální@
@Orientalize@|@orientalizovat@
@orientate@|@orientovat, směřovat@
@orientate oneself@|@zorientovat se@
@orientated@|@orientovaný, zaměřený@
@orientation@|@orientace@
@orientations@|@orientace@
@oriented@|@orientovaný, směřující@
@orifice@|@otvor@
@origami@|@origami@
@origin@|@počátek, původ@
@original@|@originál, originální, původní, výchozí, zdrojový@
@originality@|@originalita@
@originally@|@původně@
@originals@|@originály@
@originate@|@vytvořit, vyvolat, vzniknout@
@originate in@|@pocházet z@
@originated@|@vytvořený, vyvolaný, vzniklý, zrozený@
@originates@|@vyvolává, vzniká@
@originating@|@vytvářející, vyvolávající@
@origination@|@původ, stanovení původu@
@originator@|@původce, tvůrce@
@originators@|@původci@
@origins@|@počátky, původy@
@oriole@|@žluva@
@Orion@|@Orion@
@orison@|@modlitba@
@Orlando@|@Orlando@
@Orleans@|@Orleans@
@ormolu@|@pozlátko, z pozlaceného kovu@
@ornament@|@ornament, ozdoba@
@ornamental@|@ornamentální, ozdobný@
@ornamentation@|@výzdoba, zdobení@
@ornate@|@ozdobený, zdobný@
@ornately@|@ozdobeně, ozdobně@
@ornithological@|@ornitologický@
@ornithologist@|@ornitolog@
@ornithology@|@ornitologie@
@orotund@|@pompézní, úžasný, zvučný@
@orotundity@|@zvučnost@
@orphan@|@sirotek@
@orphanage@|@sirotčinec@
@orphaned@|@osiřelý@
@orphans@|@sirotci@
@Orr@|@Orr@
@orris@|@druh rostliny@
@Ortega@|@Ortega@
@orthodontist@|@ortodoncista@
@orthodox@|@ortodoxní, pravověrný@
@orthodoxy@|@pravověrnost@
@orthogonal@|@kolmý@
@orthogonality@|@ortogonalita@
@orthogonally@|@ortogonálně@
@orthographic@|@ortografický, pravopisný@
@orthographical@|@ortografický@
@orthographically@|@ortograficky@
@orthography@|@ortografie, pravopis@
@orthonormal@|@ortonormální@
@orthopaedic@|@ortopedický@
@orthorhombic@|@rombický@
@Orville@|@mužské křestní jméno@
@oryx@|@přímorožec@
@Osage@|@okres v USA@
@Osborn@|@Osborn@
@Osborne@|@Osborne@
@Oscar@|@Oscar@
@oscillate@|@kmitat, oscilovat@
@oscillating@|@kmitání, oscilování@
@oscillation@|@kmitání, kolísání, oscilace@
@oscillations@|@kmitání, oscilace@
@oscillator@|@oscilátor@
@oscillatory@|@oscilační@
@oscilloscope@|@osciloskop@
@osculate@|@líbat, pusinkovat@
@osculation@|@líbání@
@Osgood@|@Osgood@
@Oshawa@|@město - Kanada@
@osier@|@vrbový prut@
@Oslo@|@hl.m. - Norsko@
@osmium@|@osmium@
@osmosis@|@osmóza@
@osmotic@|@osmotický@
@osprey@|@orlovec říční@
@ossification@|@kostnatění@
@ossify@|@osifikovat, zkostnatět@
@ostensible@|@předstíraný, zdánlivý@
@ostensibly@|@údajně, zdánlivě@
@ostentation@|@okázalost@
@ostentatious@|@okázalý@
@ostentatiously@|@okázale@
@osteoarthritis@|@osteoartritida@
@osteopath@|@osteopat@
@osteopathy@|@osteopatie@
@osteoporosis@|@osteoporóza@
@ostler@|@podkoní@
@ostracise@|@vyloučit ze společnosti@
@ostracised@|@vyloučený ze společnosti@
@ostracism@|@ostrakismus@
@ostracize@|@vyloučit ze společnosti, vyobcovat@
@Ostrander@|@Ostrander@
@ostrich@|@pštros@
@ostriches@|@pštrosi@
@Oswald@|@Oswald@
@other@|@další, druhý, jiný, opačný, ostatní@
@other way round@|@opačně@
@otherness@|@rozdílnost@
@others@|@další, jiní@
@otherwise@|@jinak@
@otherworldly@|@na věčnosti@
@otiose@|@bezúčelný, nečinný, planý, zbytečný@
@Otis@|@Otis@
@otitis@|@ortitida@
@Ott@|@Ott@
@Ottawa@|@hl.m. - Kanada, okres v USA@
@otter@|@vydra@
@otters@|@vydry@
@Otto@|@Otto@
@ottoman@|@otoman, podnožka, pohovka@
@Ouagadougou@|@hl.m. - Burkina Faso@
@oubliette@|@hladomorna@
@ouch@|@au@
@ought@|@by měl@
@ought to@|@měl by@
@ounce@|@unce@
@ounces@|@unce@
@our@|@náš, naše, naši@
@our daily bread@|@chléb náš vezdejší@
@ours@|@náš@
@ourselves@|@my sami, sebe@
@oust@|@odstranit, vyhnat@
@ousted@|@vyhnal, vyhnaný@
@ouster@|@vyhoštěnec, vyhoštění@
@out@|@aut, mimo, ven, venku, vně@
@out and out@|@naprostý, skrz naskrz@
@out from curiosity@|@ze zvědavosti@
@out loud@|@nahlas@
@out of@|@z, ze@
@out of breath@|@bez dechu, udýchaný, zadýchaný@
@out of context@|@vytržený z kontextu@
@out of control@|@neovladatelně@
@out of curiosity@|@ze zvědavosti@
@out of hand@|@přímo z ruky@
@out of luck@|@nemající štěstí@
@out of order@|@mimo provoz, nefungující, v nepořádku@
@out of place@|@nemístný, nepříhodný, nevhodný@
@out of range@|@mimo dostřel, mimo rozsah@
@out of sight@|@z dohledu@
@out of the blue@|@z čista jasna@
@out of the question@|@vyloučeno!@
@out of whack@|@rozbitý, v nepořádku@
@out of work@|@bez práce, bez zaměstnání, nezaměstnaný@
@outage@|@výpadek@
@out-and-out@|@skrz naskrz@
@outargue@|@přehádat@
@outback@|@vnitrozemí Austrálie@
@outbalance@|@převážit, převažovat@
@outbid@|@nabídnout více, trumfnutý@
@outboard@|@přívěsný např. motor@
@outbound@|@odchozí@
@outbreak@|@výbuch, vypuknutí@
@outbreaks@|@propuknutí@
@outbuilding@|@přístavba, přístavek@
@outburst@|@meteorický déšť, propuknutí, výbuch, vypuknutí, vzplanutí@
@outcast@|@vyděděnec, vyvrhel@
@outclass@|@deklasovat, předčit, předstihnout, převyšovat, zastínit@
@outcome@|@výsledek, závěr@
@outcomes@|@výsledky, závěry@
@outcrop@|@výchoz@
@outcry@|@bouře hněvu, pobouření, protest, výkřik@
@outdated@|@nemoderní, překonaný, zastaralý@
@outdistance@|@předběhnout, předhonit, předstihnout@
@outdo@|@překonat, překonávat@
@outdone@|@překonaný@
@outdoor@|@venkovní@
@outdoor museum@|@skanzen@
@outdoors@|@venku@
@outer@|@vnější@
@outer space@|@kosmos, meziplanetární prost, vesmír@
@outermost@|@nejzevnější@
@outfall@|@odtok, ústí řeky@
@outfield@|@část hřiště@
@outfight@|@předčit v boji@
@outfit@|@oděv, vybavení, vybavit, výstroj@
@outfits@|@oblečení, úbory, vybavení@
@outfitter@|@obchodník s konfekcí@
@outflank@|@obklíčit@
@outflow@|@odliv, výtok@
@outfox@|@přechytračit@
@outgoing@|@odcházející, vycházející@
@outgrew@|@vyrostl@
@outgrow@|@vyrůst@
@outgrown@|@přerostl@
@outgrowth@|@následek, výrůstek@
@outguess@|@odhadnout@
@outhouse@|@kůlna, latrína@
@outing@|@vycházka@
@outlandish@|@exotický, výstřední, zastrčený, zvláštní@
@outlast@|@přečkat@
@outlaw@|@bandita, psanec, štvanec, vyhnanec, zločinec@
@outlawed@|@nezákonný@
@outlawry@|@protizákonnost, vyhoštění, vypovězení@
@outlay@|@vydání@
@outlet@|@otvor, prodejna, výpust, výtok@
@outlet shop@|@prodejna@
@outlets@|@prodejny, ventily, vývody@
@outlier@|@outsider@
@outline@|@hranice, kontura, načrtnout, nárys, nástin, návod, obrys, osnova, přehled, skica, směrnice, ukázat, vysvětlit@
@outlined@|@načrtnut, obtažen@
@outlines@|@obrysy@
@outlining@|@načrtávání@
@outlive@|@přežít, přežívat@
@outlived@|@přežil@
@outlook@|@náhled, výhled, vyhlídka@
@outlying@|@odlehlý, vzdálený@
@outmanoeuvre@|@přechytračit, vymanévrovat@
@outmatch@|@předčit@
@outmoded@|@zastaralý@
@outnumber@|@přečíslit, převýšit počtem@
@outnumbered@|@přečíslený@
@out-of-court@|@mimosoudní@
@out-of-date@|@zastaralý@
@out-of-door@|@venkovní@
