@English@|@Adyghe@
@Tip of a tooth@|@Tsape@
@Tip of the foot@|@Lhape@
@To awake@|@Qewshyn@
@to bark@|@háqwän@
@to be@|@-'a-@
@to be benumbed@|@q:än@
@to be heard@|@'wä-@
@to be too much@|@'wa-@
@To be under@|@Èlh@
@to bear@|@Lfa-n@
@to beat@|@wa-n@
@to become soft@|@šan@
@to bite@|@jacaq:an@
@to bleat@|@ghwa-n@
@to boil@|@pštan, ža-n@
@to break@|@pqwätan@
@to burn@|@ja-bža-n@
@to butt@|@päžan@
@to buy@|@šafän, shefen@
@to call@|@ža-n@
@to change@|@khojin, xwažän@
@to choose@|@xa-da-n@
@to comb@|@žä-n@
@to come@|@nasän, nasän, qek'on@
@to count@|@pchän@
@to cry@|@ghän@
@to curse@|@xwánan@
@to cut@|@wäpchatan, wäpxwän@
@to dam@|@jwa-@
@to dance@|@wäžä-n@
@To dance@|@Qèsh`en@
@to dare@|@ja-kwä-n@
@to dig@|@tän@
@to do@|@wä-@
@to do sour@|@pcan@
@to drink@|@jašan, yeshon@
@to drop@|@jäghatkwan@
@to eat@|@Shxen, šxä-n@
@to enter@|@jä-ha-@
@to fall@|@wä-kwara-jä-n@
@to fasten@|@chä'wä@
@to fight@|@zewen@
@to filter@|@zän@
@to find@|@Ghotin@
@to fool@|@gha-'wä-La-n@
@to get cold@|@štä@
@to get into@|@dafan@
@to get sour@|@swa-'wä-n@
@To give birth@|@Lhfen@
@to go@|@K'on, q'akwan@
@to go down@|@ja-xä-@
@to graze@|@xwän@
@to grind@|@haža-n@
@to grow@|@xaxwä-@
@to hear@|@zaxa-xä-n@
@to kiss@|@ja-ba-wä-n@
@to knead@|@pšan@
@to knit@|@xan@
@to laugh@|@šxä-n@
@to lay eggs@|@cha-cä-n@
@to lie@|@pts'ä-wsän@
@to lose@|@K'odin@
@to move back@|@-žä-@
@to open@|@wäq:än@
@to paint@|@La-@
@to plait@|@fä-n@
@to play@|@cegun@
@to plough@|@žan@
@to pound@|@wätan@
@to prick@|@-'wä-@
@to raise@|@'atän@
@to rake up@|@txwän@
@to reach@|@nesin@
@to read@|@yecen@
@to reap@|@xän@
@to rear@|@pwän@
@to ripen@|@šan, täghwan@
@to roast@|@zan@
@to roll@|@chara-zä-@
@to rub@|@h'wara@
@to rumble@|@ghwaghwa-n@
@to run@|@cha-n@
@to sale@|@shen@
@to say@|@'wan@
@to scrape@|@jätxän@
@to search@|@läxwan@
@To see@|@Lheghun@
@to sell@|@ša-n@
@to sew@|@da-n@
@to shine@|@q:japsän@
@To sit@|@T'isin@
@to sleep@|@-ja-n@
@To sleep@|@Shiyen@
@to smell@|@pemen@
@to stand@|@ta-žä-n, wäšätän@
@to steal@|@tä-ghwa-n@
@to swim@|@jasän@
@to take@|@exen, ixen@
@to take offense at@|@ja-bgha-n@
@to thatch@|@bgha-@
@to think@|@gwä-gha-n@
@to threaten@|@tálan@
@to thresh@|@'wan@
@to throw@|@jän, pxän@
@to throw oneself upon@|@pxwan@
@to touch@|@nasän@
@to tremble@|@-zazän, chazazä-n@
@to twist@|@ža-n, žä-n@
@to untie@|@ptatan@
@to vomit@|@q:ažä, žawa-@
@to weave@|@san@
@to weed@|@pcha-@
@to whet@|@Lä-n@
@To work@|@Lejen@
@today@|@nepa@
@Tomatoes@|@Tomatos@
@tongue@|@Bzegu@
@too big@|@yinided@
@Too fat@|@psherded@
@too much beautiful@|@dexashe@
@tooth@|@ca, ts'a, tsa@
@Tooth pain@|@Tse-wiz@
@top@|@tsän@
@transformative@|@-w@
@tree@|@chä-gä@
@Tree@|@Sh6agi@
@Triangle@|@Shime@
@Trouser@|@Ghochenc@
@trust@|@ts'äh'a@
@tuberculosis@|@Jaghe-wiz@
@Turkey@|@The-chet@
@twelve@|@pshik'ut'u@
@twenty@|@t'o`i@
@twig@|@kwama@
@two@|@t'u, twä@
@two boys@|@Alit'u@
@two boys and two girls@|@Alit'ure psheshit'ure@
@Two by two@|@T'urut'u@
@two girls@|@Psheshit'u@
@Two shares@|@Ahit'u@
@Uncle@|@S-yanesh@
@Uncoverd head@|@Shhepts'e@
@Under@|@Sh`egh@
@under (preverb)@|@cha-@
@Underneath clothes@|@Shäghän sh`egh èlh@
@Underneath trouser@|@Ghochenc sh`egh èlh@
@upper part of back@|@pla@
@value@|@Psh`e@
@vehicle@|@kwä@
@vein@|@fa@
@very beautiful@|@dexeded@
@Very dusty@|@Sapaye@
@Very good@|@Shu`ä-ded@
@Very long@|@Ch'iheded@
@very much@|@Bao@
@Very much@|@Beded@
@Very red@|@Plhijibz@
@very soft@|@Shebeded@
@very sour@|@Xefeded@
@Very white@|@Fijibz@
@village@|@chäLa@
@Village@|@Quaje@
@Vodka@|@Vodka@
@voice@|@maq:a@
@volunteer@|@shakwa@
@vulva@|@gwädä@
@waist@|@bgä@
@Wake up@|@Qew?sh@
@walk@|@kwa-@
@wall@|@bLänä@
@walnut@|@da@
@Waning moon@|@Mazach'e@
@warm@|@fä-ba@
@Warm bread@|@Haläghu fab@
@wart@|@q:am-cäch@
@water@|@psä@
@water and@|@psäre@
@water and bread@|@Psäre haläghure@
@water; bread and salt@|@Psäre; haläghure shäghure@
@Water-fall@|@Psä-qèfex@
@Watermelon@|@Nash@
@wax@|@šafä@
@we@|@ta@
@we are awaken@|@Tqewishi@
@We are awaken@|@Tqewshigh@
@We are coming@|@Tiqek'o@
@We are partners@|@Tä-zenäqoh@
@We ate@|@Tishxagh@
@we bought@|@Tshefghe@
@we buy@|@Teshefä@
@We came@|@Ti-qek'uagh@
@we change@|@tekhoji@
@we changed@|@Tkhojghe@
@we did the shopping@|@Täshefagh@
@We drank@|@Tèshuagh@
@We drink@|@Tèsho@
@We eat@|@Teshxe@
@we fight@|@Tezawe@
@we find@|@Teghotä@
@we found@|@Tghotghe@
@we gave@|@Ttäghe@
@we get there@|@Tinesi@
@We give@|@T-etä@
@we go@|@Tek'o@
@We have a feast@|@Näsashe ti`@
@We look@|@Teplhe@
@We looked@|@Tiplhagh@
@we make shopping@|@Teshafe@
@we play@|@tecegu@
@we played@|@Ticegugh@
@we read@|@Tèce@
@we read (past)@|@Tècagh@
@we sat@|@Titi'sigh@
@We saw@|@Tlhegho@
@we see@|@Telheghu@
@We sell@|@Teshe@
@we sit@|@Tet'isi@
@We sleep@|@Teshiye@
@We slept@|@Tishiyagh@
@We smell@|@Tepame@
@We smelt@|@Ti-pemagh@
@We sold@|@Tshaghe@
@We stand up@|@Tqeteci@
@We stood up@|@Tqetecigh@
@we take@|@ètexi@
@we took@|@Itxigh@
@We will awake@|@Tqewshisht@
@we will buy@|@Tshefäsht@
@we will change@|@Tkhojisht@
@We will come@|@Tiqek'osht@
@we will do the shopping@|@Täshefesht@
@We will drink@|@Tèshosht@
@We will eat@|@Tishxesht@
@we will find@|@Tghotäsht@
@we will give@|@Ttäsht@
@We will go@|@Tik'osht@
@We will look@|@Tiplhesht@
@we will play@|@Ticegusht@
@we will read@|@Tècesht@
@We will see@|@Tlheghusht@
@We will sell@|@Tshesht@
@we will sit@|@Tit'isisht@
@We will sleep@|@Tishiyesht@
@We will smell@|@Ti-pemesht@
@We will stand up@|@Tqetecisht@
@we will take@|@Itxisht@
@we will write@|@Tätxesht@
@we write@|@Tetxe@
@we wrote@|@Tätxagh@
@weasel@|@wäžä@
@weather@|@Washo, we@
@Wedding feast@|@Näsashe@
@weed@|@sacha@
@welcome@|@Qèblagh@
@Welcome; sit down@|@Qèblagh qet'äs@
@Well; say it..@|@Ada  ze  qao@
@West@|@Qohap'e@
@what@|@säd, sädá@
@What do you eat@|@Säd pshxäre@
@What does he eat?@|@Säd  yäshxäre@
@What I am eating?@|@Säd sshxäre@
@What is your age?@|@Säd winäbjär?@
@What will be@|@Khushtir, qekhushtir@
@What will happen is happened@|@Khushtir khughe@
@What would be is happened@|@Khushtir  khughaxe@
@What you are eating@|@We äd shxäre, We sä pshxäre@
@What you are eating?@|@Säd pshxäre@
@What?@|@Syd?@
@wheat@|@Kotsä, kwacä, kwatsä@
@When it is lost@|@Zi-k'odrem@
@When it is morning@|@Pshedijäm@
@whiskers@|@p'ats'a@
@Whisky@|@Wiski@
@white@|@fä-žä@
@white bread@|@Haläghu fäj@
@White dog@|@he fäj@
@White shirt@|@Cane fäj@
@who@|@xat@
@Who hit the dog?@|@Xet hem yewagher@
@who is eating?@|@Serä shxere, Werä shxere@
@Who likes a man@|@Lh`ä feder@
@why@|@he@
@why are you crying?@|@he wäghre, He wäghre@
@why I am crying?@|@he säghäre?@
@why is he crying?@|@he ghäre@
@wide@|@bghwa@
@Widow@|@Shuzab@
@willow@|@p'ts'ialjä@
@wind@|@Jäbgh@
@Wine@|@Vin, vino@
@wing@|@táma@
@Wing@|@Tame@
@winter@|@chä-maf@
@witch@|@wädä@
@With  respect@|@Wi-nebjeghu Yenal@
@With integrity@|@Shhek'o xelh@
@Without shoes@|@Lhapts'e@
@woman@|@šäz, Shuz@
@wood@|@mchä, pxa@
@Wood@|@Pkhe@
@Wooden fire@|@Pkhe  mashu`@
@Wooden hoe@|@Pkhe  tsuaq@
@woodpecker@|@pxauä@
@wool@|@tsä@
@word@|@gwachä'a@
@worm@|@h'ámläw@
@wound@|@tärq:wa@
@write!@|@txä@
@write! (pl)@|@Shutx@
@yard@|@tsagw@
@Yard@|@Qale@
@year@|@jä-La-s@
@yeast@|@Teceps@
@yellow@|@ghwa-žä@
@Yellow melon@|@Nashe-psush@
@Yellow shirt@|@Cane ghoj@
@Yenal is in front of Zawer@|@Yenal Zawer yipe yit@
@Yes@|@arä@
@yoke@|@bžä@
@you@|@ša, werä@
@you (pl) do the shopping@|@Shushafe@
@You [pl] are awake@|@Shuqewshigh@
@You [pl] ate@|@Shushxagh@
@You [pl] drank@|@Shuèshuagh@
@You [pl] drink@|@Shuèsho@
@You [pl] eat@|@Shoshxe@
@You [pl] sale@|@Shoshe@
@You [pl] saw@|@Shulhegho@
@You [pl] see@|@Sholheghu@
@You [pl] sleep@|@Shoshiye@
@You [pl] slept@|@Shushiyagh@
@You [pl] smell@|@Shopame@
@You [pl] smelt@|@Shu-pemagh@
@You [pl] sold@|@Shushaghe@
@You [pl] stand up@|@Shuqeteci@
@You [pl] will awake@|@Shuqewshisht@
@You [pl] will come@|@Shuqek'osht@
@You [pl] will drink@|@Shuèshosht@
@You [pl] will eat@|@Shushxesht@
@You [pl] will sale@|@Shosht@
@You [pl] will see@|@Shulheghusht@
@You [pl] will sleep@|@Shushiyesht@
@You [pl] will smell@|@Shu-pemesht@
@You [pl] will stand up@|@Shuqetecisht@
@You and I are eating@|@Sere  were  teshxe@
@You and I are eating together@|@Sere were täzedeshxe@
@You are [pl] coming@|@Shuqek'o@
@You are awake@|@Wqewshigh@
@you are crying@|@weghä@
@you are eating@|@Weshxe@
@You are looking@|@W-eplhe@
@You are sitting@|@Wy-shys@
@You are working@|@We-psew@
@You ate@|@Wishxagh@
@You awake@|@Wqewishi@
@you bought@|@Pshefghe@
@you bought (pl)@|@Shushefghe@
@you buy@|@Weshefä@
@you buy (pl)@|@Shoshefä@
@You came@|@Wiqek'uagh@
@You came (pl)@|@Shuqek'uagh@
@You can roast it also@|@Mashu`och'i bghajeme  khusht@
@you change@|@Wekhoji@
@you change (pl)@|@Shokhoji@
@you changed@|@Pkhojghe@
@you changed (pl)@|@Shukhojghe@
@You come@|@Wiqek'o@
@You did not give me@|@Qsep-täghep@
@you did the shopping@|@Wäshefagh@
@you did the shopping (pl)@|@Shushefagh@
@you do the shopping@|@Weshafe@
@You drank@|@Wèshuagh@
@You drink@|@wèsho@
@You eat@|@We-shxe@
@You eat alone@|@Wi-zaqo  weshxe@
@you fight@|@Wezawe@
@you fight (pl)@|@Shozawe@
@You find@|@Weghotä@
@you find (pl)@|@Shoghotä@
@you found@|@Bghotghe@
@you found (pl)@|@Shughotghe@
@you gave@|@Ptäghe@
@You gave@|@Ye-ptägh@
@you gave (pl)@|@Shutäghe@
@You gave me@|@Qseptägh@
@you get there@|@Winesi@
@you get there (pl)@|@Shunesi@
@You give@|@Shu-etä, W-etä@
@you give (pl)@|@Shuetä@
@you go@|@Wek'o@
@you go (pl)@|@Shok'o@
@You have given me@|@Qseptä-ghagh@
@You have not given me@|@Qseptä-ghaghep@
@You look@|@Weplhe@
@You look (pl)@|@Shoplhe@
@You looked@|@Shuplhagh, Wiplhagh@
@You only@|@Wi-zaqu@
@you play@|@wecegu@
@you play (pl)@|@Shocegu@
@you played@|@Wicegugh@
@you played (pl)@|@Shucegugh@
@you read@|@Wèce@
@you read (past)@|@Shuècagh, Wècagh@
@you read (pl)@|@Shuèce@
@you sat@|@Wit'isigh@
@you sat (pl)@|@Shut'isigh@
@You saw@|@Plhegho@
@You see@|@Welheghu@
@You sell@|@Weshe@
@You sit@|@We-t'isi@
@you sit (pl)@|@Shot'isi@
@You sleep@|@Weshiye@
@You slept@|@Wishiyagh@
@You smell@|@Wepame@
@You smelt@|@Wi-pemagh@
@You sold@|@Pshaghe@
@You stand up@|@Wqeteci@
@You stood up@|@Shuqetecigh, Wqetecigh@
@you take@|@Èwexi@
@you take (pl)@|@Èshoxi@
@You too@|@weri@
@You too eat@|@Weri  weshxe@
@You too work@|@Weri we-laje@
@you took@|@Ipxigh@
@you went@|@Wäk'uagh@
@you went (pl)@|@Shuk'agh@
@You will awake@|@Wqewshisht@
@you will buy@|@Pshefäsht@
@you will buy (pl)@|@Shushefäsht@
@you will change@|@Pkhojisht@
@you will change (pl)@|@Shukhojisht@
@You will come@|@Wiqek'osht@
@you will do the shopping@|@wäshefesht@
@you will do the shopping (pl)@|@Shushefesht@
@You will drink@|@Wèshosht@
@You will eat@|@Wishxesht@
@you will find@|@Bghotäsht@
@you will find (pl)@|@Shughotäsht@
@you will give@|@Ptäsht@
@you will give (pl)@|@Shutäsht@
@You will go@|@Shuk'osht, Wik'osht@
@You will look@|@Wiplhesht@
@you will play@|@Wicegusht@
@you will play (pl)@|@Shucegusht@
@you will read@|@Wècesht@
@you will read (pl)@|@Shuècesht@
@You will sale@|@Pshesht@
@You will see@|@Plheghusht@
@you will sit@|@Wit'isisht@
@you will sit (pl)@|@Shut'isisht@
@You will sleep@|@Wishiyesht@
@You will smell@|@Wi-pemesht@
@You will stand up@|@Wqetecisht@
@you will take@|@Ipxisht@
@you will take (pl)@|@Ishuxisht@
@you will write@|@Wätxesht@
@you will write (pl)@|@Shutxesht@
@You work@|@We-laje@
@you write@|@Wetxe@
@you write (pl)@|@Shotxe@
@you wrote@|@Wätxagh@
@you wrote (pl)@|@Shutxagh@
@You[pl] awake@|@Shuqeweishi@
@you[pl] drink@|@Shuèshu@
@young@|@-zäj, cha@
@Young@|@Näbjä`e@
@Young goat@|@Ch'äts'ä@
@Your (pl) name@|@Shuits'e@
@Your age@|@Wi-näbj@
@Your bride@|@Shui-näse@
@Your dignity is your life@|@Ts'ifim  yipsh`e  yishhe  ywas@
@your father@|@w-yat@
@Your father is coming@|@W-yate  ek'o@
@Your grandmother@|@Wi-nenej@
@your grandmother (pl)@|@Shui-nenej@
@Your house@|@Shui-wne, Wi-wne@
@Your mother@|@W-yan@
@Your mother is not fat@|@W-yane  psherep@
@Your nails are long@|@Wi-abjane  ch'ihe@
@Your name@|@Wi-ts'e@
@Your son-in-law@|@Wi-malhkho@
@Your son il law@|@Shui-malhkho@
@youth@|@sáwa, ts'alja@
@zinc@|@cafä@

