@English@|@Japanese@
@R&B@|@ruzumuandoburu-su@
@raayu (kind of spicy oil@|@raayu@
@raayu (kind of spicy oil)@|@ra-yu@
@rabbit@|@usagi@
@rabbit hunting@|@usagigari@
@rabbit meat@|@toniku@
@rabbit-catching net@|@usagiami@
@rabies@|@kyoukenbyou@
@raccoon@|@raku-n@
@raccoon dog@|@tanuki@
@race@|@kyousou, minzoku, minzoku, re-su, shuzoku, zoku@
@race (foot)@|@kakekko@
@race (of people)@|@jinshu@
@race track@|@souro@
@racer@|@re-sa-@
@Rachmaninoff@|@rafumaninofu@
@racial@|@jinshuteki, minzokuteki@
@racial customs@|@minzoku@
@racial discrimination@|@jinshusabetsu@
@racial eugenics@|@jinshukairyou@
@racial identity@|@doujinshu@
@racial spirit@|@minzokuseishin@
@racialism@|@reisharizumu@
@racing (an engine)@|@kuuten@
@racing car@|@re-shinguka-@
@racism@|@reishizumu@
@racist@|@jinshusabetsushugisha@
@rack@|@dai, rakku, tana@
@racket@|@raketto@
@racketeer@|@tekiya@
@racking one's brains@|@fushin@
@racquetball@|@rakettobo-ru@
@racy@|@pirittokuru@
@radar@|@denpatanchiki, re-da-@
@radar gun@|@re-da-gan@
@radial@|@rajiaru@
@radial tire@|@rajiarutaiya@
@radian (math)@|@rajian@
@radiance@|@kagayaki@
@radiant@|@mabushii@
@radiant point@|@fukushaten@
@radiation@|@fukusha, hakkou, hounetsu, housha, houshasen@
@radiation intensity@|@kouryou@
@radiation sickness@|@genshibyou@
@radiator@|@rajie-ta-@
@radical@|@bapponteki, kageki, kyuugeki, kyuushin, radikaru, rajikaru, sen'ei@
@radical (an)@|@kyougeki@
@radical (of a kanji character)@|@bushu@
@radical (person)@|@kyuushinshugisha@
@radical party@|@kagekiha@
@radical realism@|@radikaruriarizumu@
@radical sign@|@kongou@
@radicalist@|@rajikarisuto@
@radio@|@musen, musenki, rajio@
@radio actor@|@seiyuu@
@radio car@|@rajioka-@
@Radio City@|@rajioshiti@
@radio compass@|@rajiokonpasu@
@radio control@|@rajiokontoro-ru@
@radio controlled models (car@|@rajikon@
@radio engineering@|@musenkougaku@
@radio receiver)@|@koukando@
@radio reception@|@choushu@
@radioactive@|@houshasei@
@radioactivity@|@houshanou@
@radiocarbon test@|@rajioka-bontesuto@
@radio-cassette (tape recorder)@|@rajiokasetto@
@radio-cassette player@|@rajikase@
@radio-controlled (plane)@|@musensoujuu@
@radioisotope@|@rajioaisoto-pu@
@radiologist@|@houshasenkai@
@radiology@|@houshasengaku@
@radiology department@|@houshasenka@
@radiology technician@|@houshasengishi@
@radiometer@|@rajiome-ta-@
@radiosensitive@|@houshasenkanjusei@
@radiosensitivity@|@houshasenkanjusei@
@radiosonde@|@rajiozonde@
@radish@|@radisshu@
@radish sprout@|@kaiwari@
@radium (Ra)@|@rajiumu@
@radius@|@hankei, rajiusu, toukotsu@
@radon (Rn)@|@radon@
@raffle@|@chuusen@
@raft@|@rafuto@
@rafter@|@taruki@
@rag@|@boro@
@rag & scrap merchant@|@boroya@
@Ragaraja@|@aizenmyouou@
@rage@|@fundo, funnu, gekido, kyoubou, mouretsu, rippuku, yofun@
@ragged@|@zutazuta@
@raging fire@|@rekka@
@raging stream@|@gekiryuu@
@raging waves@|@aranami@
@raglan@|@raguran@
@ragpicker@|@kuzuhiroi@
@ragpicking@|@kuzuhiroi@
@ragtime@|@ragutaimu@
@raid@|@kyuushuu, nagurikomi, raikou, raishuu, shinnyuu, shinryaku, shuugeki, shuurai, yuugeki@
@raider@|@shinnyuusha@
@rail@|@re-ru, yokoki@
@rail bus@|@rerubasu@
@railing@|@tesuri@
@raillery@|@yayu@
@railroad@|@tetsudou@
@railroad track@|@kidou@
@railway bridge@|@tekkyou@
@railway crossing@|@fumikiri@
@railway crossing gate@|@shadanki@
@railway employee (porter)@|@ekifu@
@railway fare@|@joushachin@
@railway police@|@kouankan@
@railway siding@|@hikikomisen@
@railway station@|@teishaba, teishajou@
@railway switchback@|@kirikaeshi@
@rain@|@ame, kouu, rein@
@rain barrel@|@tensuioke@
@rain clogs@|@ashida@
@rain cloud@|@amagumo@
@rain dragon@|@kouryou, kouryuu@
@rain during the rainy season@|@baiu@
@rain from a cloudless sky@|@tenkyuu@
@rain gauge@|@uryoukei@
@rain gear@|@amagu@
@rain hat@|@amagasa@
@rain shower@|@niwakaame@
@rain then snow@|@amenochiyuki@
@rain water@|@amamizu, tensui, usui@
@rainbow@|@niji@
@rainbow fish@|@reinbo-fisshu@
@rainbow-colored@|@nijiiro@
@raincoat@|@amagappa, amagi, kappa, reinko-to@
@raindrop@|@amatsubu@
@raindrops@|@amadare, tenteki, uteki@
@rainfall@|@hitoame, kousui, kouu, uryou@
@rainy@|@reini-@
@rainy season@|@baiu, baiuki, tsuyu, uki@
@rainy spell@|@kataburi@
@rainy weather@|@uten@
@raise@|@reizu@
@raise a question@|@teiki@
@raise one's eyes@|@miageru@
@raised cloth picture(s)@|@oshie@
@raised part of floor@|@joudan@
@raisin(s)@|@hoshibudou@
@raising@|@choutatsu, hikiage, seiiku, shiiku, sodate, youshoku@
@raising (holding up) one's hand@|@kyoshu@
@raising (money)@|@kumen, saikaku@
@raising a cloud of ashes@|@haikagura@
@raising a number to a power@|@ruijou@
@raising an army@|@hataage, kyohei@
@raising and lowering@|@ageoroshi, agesage@
@raising cattle@|@ushikai@
@raising children@|@kosodate@
@raising of a loan@|@bosai@
@raising of status@|@shoukaku@
@raising one's head@|@taitou@
@raising out-of-season crops with artificial heat@|@sokuseisaibai@
@raising salaries@|@kakyuu@
@raising seedlings@|@ikubyou@
@raising the curtain@|@kaimaku@
@raising the ground level@|@chiage@
@raising the ridgepole@|@joutou@
@rake@|@kumade, re-ki@
@rakugo story@|@rakugo@
@rakugo story teller@|@rakugoka@
@rally@|@kyuugou, rari-, saiki, taikai@
@Ralph Lauren@|@rarufuro-ren@
@ram@|@ohitsuji@
@RAM (random access memory)@|@ramu@
@ram guild@|@ohitsujiza@
@ramble@|@shouyou@
@rambling writings@|@gisho@
@ramming (suicide) attack@|@taiatari@
@ramp@|@ranpu@
@rampancy@|@bakko@
@rampant@|@honpou@
@rampart@|@jouheki@
@rampway@|@ranpuuxe-@
@ranch@|@bokuya@
@random@|@futokutei, iikagen, randamu@
@random firing@|@mekurauchi, ranpatsu@
@random number@|@ransuu@
@random order@|@junjofudou@
@random sample@|@kakuritsuhyouhon@
@random sampling@|@randamusanpuringu@
@random shooting@|@mekurauchi, ransha@
@random speech@|@demakase@
@random talk@|@dehoudai, kuchimakase@
@random thoughts@|@guukan@
@range@|@han'i, ken, kyori, reinji, renji@
@range food@|@renjifu-do@
@range of mountains@|@yamanami@
@range of vision@|@gankai@
@ranger@|@re-nja-, reinja-, renja-@
@rank@|@joretsu, jou, jun'i, kaikyuu, kurai, narabi, outai, ranku@
@rank and file@|@kusanone, mappai, sotsugo, zouhyou@
@rank and official position@|@ikan@
@rank and order of merit@|@ikun@
@rank equal with@|@hiken@
@rank holder (MA)@|@yuudansha@
@rank holding person@|@yuudansha@
@rank insignia@|@kaikyuushou@
@rank with@|@hei@
@rank?@|@nanbanme@
@ranking@|@rankingu@
@ranking list@|@banzuke@
@ranking of entertainers@|@bandzuke@
@ranking order@|@joretsu@
@ranks@|@heisotsu@
@ransom@|@minoshirokin@
@rap@|@rappu@
@RAPCON@|@rapukon@
@rape@|@aburana, goukan, reipu, tegome, teisoujuurin@
@rape (id)@|@tsukkomi@
@rape leaves@|@nappa@
@rapeseed@|@natane@
@rapeseed hulls@|@natanegara@
@rapeseed oil@|@nataneabura@
@rapid@|@hakabakashii, jinsoku@
@rapid (e.g. progress)@|@kyuusoku@
@rapid fire@|@rapiddofaia@
@rapid progress@|@kyuushin@
@rapid promotion@|@unaginobori@
@rapid talking@|@kuchibaya@
@rapid-fire@|@rensha@
@rapidly@|@dondon, doshidoshi, zunzun@
@rapidly (an)@|@hiyakuteki@
@rapids@|@gekiryuu, hayase, kyuuryuu, se, takigawa@
@rapier@|@epe@
@rapport@|@koukan@
@rap-tap@|@tonton@
@rapture@|@man'etsu, yorokobi@
@rare@|@fuseishutsu, han'yake, hibon, kishoukachi, mare, mettaninai, mezurashii, namanie, rea@
@rare (an)@|@chin@
@rare (or peculiar) animal@|@chinjuu@
@rare article@|@chinjuu, chinpin@
@rare book@|@kisho, kosho@
@rare earth (chem)@|@kidorui@
@rare element@|@kigenso@
@rare metal@|@reametaru@
@rare treat@|@kakou@
@rare utensil@|@chinjuu@
@rarified@|@kihaku@
@rarity@|@gyousei, kishou@
@RAS@|@rasu@
@rascal@|@akkan, akuto, akutou, warumono, yarou@
@rash@|@demono, hasshin, mechamecha, mucha, muteppou@
@rash (an)@|@keisotsu@
@rash conclusion@|@hitoribara@
@rash courage@|@hippunoyuu@
@rash decision@|@sokudan@
@rash remark@|@mougen@
@rash(an)@|@soukei@
@rashly@|@namajii@
@rashness@|@isamiashi@
@rasp@|@gangiyasuri, yasuri@
@raspberry@|@kiichigo, razuberi-@
@Rassa (fever)@|@rassa@
@raster@|@rasuta-@
@raster file@|@rasuta-fairu@
@rat@|@nezumi@
@rat poison@|@nezumitori@
@ratbite disease@|@sokoushou@
@rate@|@bu, buai, bun, re-to, ryou, sokudo, wari, wariai@
@rate (suf)@|@ritsu@
@rate of expansion@|@bouchouritsu@
@rate of magnification@|@kakudairitsu@
@rate per thousand@|@senbunritsu@
@rated capacity@|@teikakukajuu@
@rated value (engineering)@|@teikaku@
@rates@|@ryouritsu@
@rather@|@isso, kaette, kyaku, mushiro@
@rather large@|@oomeni@
@ratification@|@hijun, tsuinin@
@ratify@|@hijun@
@rating@|@kakudzuke, kouka@
@ratings (of a television program)@|@shichouritsu@
@ratio@|@buai, hi, hiritsu, reshio, ritsu, tai, wari, wariai@
@ration@|@bun, fuchi, teigaku@
@rational@|@gouri, gouriteki, rashonaru@
@rational expression@|@yuurishiki@
@rationalism@|@gourishugi, rashonarizumu, yuiriron@
@rationalist@|@rashonarisuto@
@rationality@|@gourisei@
@rationalization@|@gourika, rashonarize-shon@
@rationalize@|@gourika@
@rationing@|@warifuri@
@ration-point coupon@|@tensuukippu@
@rations@|@shokuryou@
@Ratnasambhava@|@houshou@
@ratproof cupboard@|@nezumiirazu@
@rat's nest@|@sosou@
@rat-tailed anchovy@|@etsu@
@rattan blind@|@sudare@
@rattle@|@gatagata@
@rattlesnake@|@garagarahebi@
@rattling@|@biribiri@
@rattling of a house@|@yanari@
@rattrap@|@nezumiotoshi@
@ravages@|@sangai, tsumeato@
@ravages of war@|@heika, senka@
@raven@|@karasu@
@ravenousness@|@donshoku@
@ravine@|@keikan, keikoku, kyoukoku, sankyou, shin'en, tanima@
@raving drunkenness@|@suikyou@
@ravioli@|@rabiori@
@raw@|@ki, mijuku, namanamashii@
@raw (a-no)@|@nama@
@raw cotton@|@genmen, men@
@raw egg@|@namatamago@
@raw fibers@|@gensen'i@
@raw food@|@namamono@
@raw materials@|@genryou, genzairyou, sozai@
@raw sewage@|@shinyou@
@raw silk products@|@suzushi@
@raw silk thread@|@kiito@
@raw wool@|@genmou@
@ray@|@rei@
@ray (fish)@|@ei@
@Ray-Ban@|@reiban@
@rayon@|@jinken@
@rayonne@|@re-yon@
@rays of the rising sun@|@kyokkou@
@rays of the sun@|@hizashi, taiyoukousen@
@ray-tracing@|@reitore-shingu@
@razor@|@kamisori, reza-@
@razor clam@|@mategai@
@razor cut@|@reza-katto@
@razor rash@|@kamisorikabure, kamisorimake@
@razor strop@|@kamisorido@
@RBI@|@taimuri-@
@re- (pre)@|@sai@
@reach@|@ri-chi@
@reachable@|@ri-chaburu@
@reaching a decision by using a circular letter@|@ringi@
@reaching age of 60@|@honkegaeri@
@reaching the mark@|@atari@
@reactance@|@riakutansu@
@reaction@|@fukusayou, handou, hankyou, hannou, hanraku, hansayou, riakushon, tegotae@
@reactionary@|@handouteki@
@reactionary ideas@|@handoushisou@
@reactionary price rise@|@hantou@
@reactionism@|@handoushugi@
@reactivity (chemical)@|@hannousei@
@reactor@|@riakuta-@
@read@|@hiken@
@read sea bream@|@madai@
@read(ing)@|@ri-do@
@readability@|@kadokusei, ri-dobiriti-@
@readable@|@kadoku@
@reader@|@aidokusha, dokusha, ri-da, ri-da-@
@reader (person)@|@yomite@
@readily@|@assari, iidakudaku, jikini, nakanaka@
@readiness@|@kakugo, kokorogake, kokorogamae@
@reading@|@dokusho, etsudoku, etsuran, haidoku, koudoku, ri-dingu, yomi, yomidashi, yomitori@
@reading & writing@|@yomikaki@
@reading aloud@|@ondoku, roudoku@
@reading and recording@|@hakurankyouki@
@reading Chinese in the Japanese order@|@touku@
@reading comprehension@|@dokkai@
@reading for another@|@daidoku@
@reading in unison@|@ikkudouon@
@reading material@|@yomimono@
@reading matter@|@yomimono@
@reading of a kanji by meaning@|@gikun@
@reading responsively@|@koudoku@
@reading room@|@etsuranshitsu@
@reading the sutras@|@jukyou@
@reading too much@|@yomisugi@
@reading while standing (in a bookstore)@|@tachiyomi@
@reading with pleasure@|@aidoku@
@reading-and-discussion meeting@|@kaidoku@
@reading-book@|@dokuhon, tokuhon@
@readmission to a school@|@sainyuugaku@
@read-only@|@ri-doonri-@
@read-only memory@|@romu@
@readout (computer)@|@yomidashi@
@ready@|@dekiagari@
@ready consent@|@kaidaku@
@ready money@|@genkin@
@ready wit@|@saikaku@
@ready writer@|@kenpitsuka@
@ready-made@|@dekiai, kisei, redi-me-do@
@ready-made clothes@|@kiseifuku@
@ready-made clothing@|@tsurushi@
@ready-made seal@|@sanmonban@
@reaffirmation@|@saikakunin@
@reagent@|@shiyaku@
@real@|@riaru@
@real (an)@|@shinko@
@real (own) father@|@jippu@
@real (own) mother@|@jitsubo@
@real condition@|@jikkyou, jitsujou@
@real estate@|@fudousan@
@real estate agent@|@fudousan'ya@
@real existence@|@genson@
@real form@|@hontai@
@real harm@|@jitsugai@
@real intention@|@honne, naishin, shin'i, uchibutokoro@
@real intentions@|@jitsui@
@real name@|@honmyou, jitsumei@
@real nature@|@honshou@
@real picture@|@shajitsu@
@real politics@|@riaruporitikkusu@
@Real Presence@|@genson, genzon@
@real price@|@riarupuraisu@
@real situation@|@shinsou@
@real thing@|@jitsubutsu@
@real time@|@jitsujikan@
@real worth@|@shinka@
@realignment@|@saihaichi@
@realism@|@genjitsushugi, riarizumu, shajitsu, shajitsushugi@
@realism (an)@|@genjitsuteki@
@realist@|@riarisuto@
@realistic@|@riarisutikku, shajitsuteki@
@reality@|@genjitsu, honshitsu, hontou, inzen, jijitsu, jitsu, jitsuzai, nyojitsu, riariti, riariti-, shin, shinjitsu, tai@
@reality (a-no)@|@hakushin@
@realization@|@jitsugen, jouju, kantetsu, taitoku@
@realize@|@kankin@
@real-life story@|@ninjoubanashi@
@reallocation@|@saihaichi@
@really@|@genni, hatashite, ikanimo, makotoni, mattaku, shinni, sou, tsukudzuku@
@really?@|@ittai@
@Really?@|@nesupa@
@realm@|@bun'ya, kokudo@
@realm of the dead@|@meifu, meikai, yominokuni, yuukai, yuumeikai@
@realtime@|@riarutaimu@
@real-time system@|@riarutaimushisutemu@
@realtor@|@fudousan'ya@
@reamer@|@ri-ma-@
@reanimated corpse@|@kyonshi@
@reap@|@kai@
@reaper@|@karite@
@reapers@|@kariirebito@
@reaping machine@|@karitoriki@
@reappearance@|@saigen, saishutsu@
@reappointment@|@saikin, sainin@
@reappraisal@|@saihyouka, saikentou@
@rear@|@ato, haigo, karamete, koubu, kouretsu, ria, shingari, ushiro@
@rear admiral@|@shoushou@
@rear area@|@kouhouchiiki@
@rear area security@|@kouhouchiikikeibi@
@rear drive@|@riadoraibu@
@rear engine@|@riaenjin@
@rear entrance@|@uraguchi@
@rear garden@|@uraniwa@
@rear guard@|@dengun, gote@
@rear light@|@bitou, bitou@
@rear seat@|@riashi-to@
@rear tenement@|@uradana, uranagaya, uraya@
@rear window@|@riauindo-@
@rear-end collision@|@tsuitotsu@
@rearing@|@boudachi, hoiku, ikusei, ikusei, shiiku, youiku@
@rearmament@|@saibusou, saigunbi@
@rearrangement@|@saihaichi@
@rearrangement (of classes)@|@kumikae@
@reason@|@douri, gen'yuu, iware, jiri, jiyuu, jouri, rikutsu, risei, riyuu, sujiai, sujimichi, tohou, wake, yoshi, yue, yuen, yuen, yurai, zentei@
@reason for concern@|@fuannotane@
@reason for living@|@re-zonde-toru@
@reasonable@|@gouriteki, kakuyasu, kikiwakenoii, ontou, ri-zunaburu@
@reasonable (an)@|@tekisei@
@reasonable price@|@negoro@
@reasonableness@|@gourisei@
@reasoning@|@suiri, yushi@
@reasons@|@shisai@
@reassembling of a legislature@|@kyuukaiake@
@reassessment@|@saihyouka@
@reassuring@|@chikaradzuyoi, kokorodzuyoi@
@rebaptism by immersion@|@saijushin, saishinrei@
@rebar@|@tekkin@
@rebate@|@ribe-to, waribiki, warikaeshi@
@rebate money@|@warimodoshikin@
@Rebecca@|@rebekka@
@rebel@|@hangyakunin, hangyakusha, hanransha, hanzoku, hizoku, kokuzoku, kyouto, kyouto, reveru@
@rebel army@|@hangun, hanrangun, zokugun@
@rebel leader@|@hanshou@
@rebellion@|@boudou, hangyaku, hanran, hanran, muhon, nairan, soudou@
@rebellious retainer@|@hanshin@
@rebellious spirit@|@hanshin@
@rebels@|@hanto@
@rebirth@|@kousei, shinsei, sosei, umarekawari@
@reblocking@|@saifuusa@
@reboot@|@ribu-to@
@rebound@|@hanpatsu, hazumi, ribaundo@
@rebuff@|@hijitetsu@
@rebuilding@|@saiken, saikenchiku@
@rebuilding (temple or shrine)@|@saikon@
@rebuke@|@kenseki, shisseki, shitta@
@reburial@|@kaisou@
@rebuttal@|@benbaku, benpaku, hanbaku, hanpaku, hanron@
@recall@|@riko-ru, shoukan, souki@
@recalling the old days (a-no)@|@kaiko, kaikyuu@
@recap@|@soukatsu@
@recapture@|@dakkai, dakkan@
@recasting@|@kaichuu, saichuu@
@receipt@|@reshi-to, ryoushuu, ryoushuusho, ryoushuushou, uketori, uketsuke@
@receipt (of letter)@|@juryou@
@receipt of goods@|@niuke@
@receipts@|@agaridaka, shuunou, shuunyuu@
@receipts & expenditure (disbursements)@|@suitou@
@receive@|@baku, reshi-bu, setsuju, tai@
@receive an electric shock@|@kanden@
@receive error@|@jushin'era-@
@receive favor@|@sewaninaru@
@received opinion@|@ukeuri@
@receiver@|@reshi-ba, reshi-ba-@
@receiver (telephone)@|@juwaki@
@receiver's address@|@todokesaki@
@receiving@|@outai, shuuju, shuutoku, ukeire@
@receiving teller@|@shuunoukakari@
@recent (a-no)@|@konji@
@recent publication@|@kinkan@
@recent state (condition)@|@kinkyou@
@recent times@|@kinsei@
@recent years@|@kinnen@
@recently@|@chikagoro, imadoki, imahodo, kahan, kajitsu, kinrai, konaida, konoaida, konogoro, konpan, sakigoro, sakkon, sendatte, sendo, senkoro@
@receptacle@|@ire, iremono, kibutsu@
@reception@|@chouba, choudai, demukae, juyou, kangei, koukankai, kuchiatari, kyouju, ousetsu, resepushon, sekkyaku, settai, shuuju, shuutoku, shuuyou, taiguu@
@reception (desk)@|@uketsuke@
@reception (e.g. radio)@|@jushin@
@reception (section)@|@uketsukegakari@
@reception (wedding)@|@hirouen@
@reception clerk@|@choubanomono@
@reception hall@|@geihinkan@
@reception office@|@ousetsushitsu@
@reception room@|@ousetsuma@
@recess@|@honeyasume, kyuukai, kyuukei, kyuusokujikan, nakayasumi, shoukei, yasumi@
@recession@|@fukyou, risesshon, taikyo@
@recessive@|@ressei@
@recidivism@|@joushuuhan@
@recipe@|@ryourihou, seihou, tsukurikata@
@recipient@|@juyousha, kyoujusha@
@reciprocal@|@kougo, sougo, tagai@
@reciprocal (an)@|@souhansei, souhanteki@
@reciprocal number@|@gyakusuu, hansuu@
@reciprocally@|@katamini, tagaini@
@reciprocally (adv)@|@souhanteki@
@reciprocity@|@gokei, koukan@
@reciprocity (math)@|@soutai@
@reciprocity theorem (physics)@|@souhanteiri@
@recital@|@ginshou, ongakukai, risaitaru@
@recital (i.e. of music@|@happyoukai@
@recital contest@|@kyouen@
@recitation@|@anshou, anshou, anshou, gin'ei, reshite-shon, roudoku, utai@
@recitation (of Japanese or Chinese poem)@|@rouei@
@recitative dance@|@kusemai@
@reciter@|@katarite@
@reciter's book@|@marubon@
@reciting Chinese poems@|@shigin@
@reciting poetry@|@eigin, eishou@
@reckless@|@metta, nonki@
@reckless (an)@|@gamushara, mubou, muteppou@
@reckless action@|@boukyo@
@reckless deforestation@|@ranbatsu@
@reckless firing@|@ranpatsu@
@reckless remark@|@bougen@
@reckless valor@|@banyuu@
@recklessly@|@munimusan, muyamini, shanimuni, yamikumo, yatsuatarini@
@recklessness@|@ban'yuu, bankotsu, inochishirazu, mekurameppou, mubou, mukoumizu@
@reckoning@|@kanjou, keisan@
@reclaim@|@kyuushutsu@
@reclaimed goods@|@saiseihin@
@reclaimed land@|@umetatechi@
@reclaimed paper@|@senkashi@
@reclaimed wool@|@hanmou@
@reclamation (of wasteland)@|@kaitaku@
@recline on@|@hei, hyou@
@reclining chair@|@motareisu@
@reclining dragon@|@garyou, garyuu@
@reclining seat@|@rikurainingushi-to@
@recluse@|@inshi, yosutebito@
@recognition@|@eshaku, mioboe, ninchi, ninshiki, shounin@
@recognition of services@|@irou@
@recoil@|@handou, ishuku@
@recoiless rifle@|@muhandouhou, muhandoujuu@
@recoiling@|@tajitaji@
@recollect@|@sai, shi@
@recollection@|@jukkai, kaiko, kioku, mioboe, souki, tsuioku, tsuisou@
@recollections@|@omoide@
@recombinant gene splicing@|@iden'inshikumikae@
@recommend@|@kan@
@recommendable@|@osusume@
@recommendation@|@kankoku, kankokuan, kensaku, osusume, rekomende-shon, rikomende-shon, shuusen, suikyo, suisen, suishou, susume, susume, tasen, tazen@
@recompense@|@houshuu, tsugunai@
@recomposition@|@kumikae@
@reconciliation@|@nakanaori, waboku@
@reconditioning@|@saisei@
@reconnaissance@|@teisatsu@
@reconnaissance plane@|@teisatsuki@
@reconnaissance satellite@|@teisatsueisei@
@reconnoitering party@|@sekkouhei, sekkoutai@
@reconsideration@|@hansei, saigi, saikou, saikouryo, saishi@
@reconstitution@|@saikousei@
@reconstruction@|@fukkou, kaichiku, rikonsutorakushon, saiken, saikenchiku, saikousei@
@record@|@ban, kiroku, onban, reko-do, seiseki, touroku@
@record groove@|@reko-donomizo@
@record holder@|@reko-dohoruda-@
@record of a game of go@|@kifu@
@record of an interview@|@kaikenki@
@record of proceedings@|@gijiroku@
@record player@|@reko-dopure-ya-@
@record separator (RS)@|@reko-dobunrikyarakuta@
@record shop@|@reko-doya@
@record-breaking@|@kuuzen, zendaimimon@
@recorder@|@reko-da, reko-da-, riko-da-@
@recording@|@kakitome, reko-dingu, sairoku, sairoku, shuuroku@
@recording (audio)@|@rokuon@
@records@|@bunsho, shi@
@records out of production@|@haiban@
@recover@|@hanpatsu, rikaba-@
@recoverable@|@kaifukukanou@
@recovery@|@bankai, chiyu, dakkai, dakkan, heiyu, kaifuku, kaishuu, rikabari-, saiki, tachinaori@
@recovery (from illness)@|@kaifuku@
@recovery shot@|@rikabari-shotto@
@recreation@|@honeyasume, hoyou, kibarashi, kyuuyou, rekurie-shon, rikurie-shon, saisouzou@
@recreation room@|@gorakushitsu@
@recruit@|@rikuru-to@
@recruit (J)@|@sanshi@
@recruit fashion@|@rikuru-tofasshon@
@recruiter@|@rikuru-ta-@
@recruiting@|@boshuu@
@recruiting of students@|@aotagai@
@recruitment@|@chouhei, hikinuki@
@recruits@|@juuin@
@rectangle@|@chouhoukei, kukei@
@rectangular figures@|@chokusenkei@
@rectification@|@kousei@
@rectum@|@chokuchou@
@recuperation@|@hoyou, yogo, youjou@
@recurrence@|@kaiki, saihatsu, sainen@
@recurrent@|@rikarento@
@recurrent fever@|@saikinetsu@
@recurrent neural network@|@rikarentonyu-rarunettowa-ku@
@recursion@|@kaiki, kaikimato, rika-jon@
@recursive@|@rika-shibu, saiki@
@recycle@|@risaikuru, saijunkan@
@recycle shop@|@risaikurushoppu@
@recycled waste-water@|@chuusuidou@
@recycling@|@risaikuringu, saiseiriyou@
@red@|@aka, akai, gosai, ni, niiro, reddo, ru-@
@red & white@|@kouhaku@
@red (an)@|@akairo, sekishoku@
@red (lacquer)@|@shunuri@
@red algae@|@kousou@
@red and black@|@shuboku@
@red and blue@|@tansei@
@red and green@|@tanpeki@
@Red Army@|@sekigun@
@red beans@|@azuki@
@red blood cell@|@sekkekkyuu@
@red color@|@beniiro, koushoku@
@Red Cross@|@sekijuuji@
@red earth@|@ni@
@red faced@|@akaragao@
@red flame@|@kouen@
@red hot@|@sekinetsu@
@red hot (a-no)@|@shakunetsu@
@red ink pad@|@shuniku@
@red light@|@kikenshingou@
@red light district@|@yuukaku, yuuri@
@red lips@|@koushin, shushin@
@red mark@|@shuten@
@red ocher@|@taisha@
@red painted@|@ninurino@
@red pepper@|@nanban, tougarashi@
@red poppy@|@hinageshi@
@red purge@|@reddopa-ji@
@red rice (beans & mochi) for auspicious occasions@|@sekihan@
@Red Sea@|@koukai@
@red seal@|@shuin@
@red snapper@|@kinmedai@
@red spider lily@|@manjushage@
@red tape@|@reddote-pu, rishuu@
@red tide@|@akashio@
@red turnip@|@akakabu@
@red-blossomed plum tree@|@koubai@
@redcap@|@akabou@
@reddish brown@|@sekkasshoku@
@redeeming feature@|@torie@
@redefinition (math)@|@saiteigi@
@redeliberation@|@saigi@
@redemption@|@shoukan, shoukin, shoukyaku@
@red-handed@|@genkouhande@
@redhead@|@akage, ru-@
@redial@|@ridaiaru@
@red-ink brush@|@shuhitsu@
@red-ink stick@|@shuboku, shuzumi@
@redirect@|@ridairekuto@
@redirection@|@ridairekushon@
@rediscount@|@saiwaribiki@
@redisplay@|@ridisupurei@
@redistribution@|@saibunpai, saihaibun@
@red-lacquered gate@|@shumon@
@red-lacquered sword sheath@|@shuzaya@
@redlight district@|@magai, makutsu@
@red-light district@|@akasen, hanamachi, kagai, okabasho@
@redoing@|@yarinaoshi@
@redoubled@|@hitoichibai@
@redoubled (a-no)@|@baikyuu@
@redraft@|@saitoukou@
@red-spotted masu trout@|@amago@
@reduce@|@ridyu-su, tsuubun@
@reduced drawing@|@shukuzu@
@reduced price@|@hikine@
@reduced scale@|@shukushaku@
@reducing the mouths to feed@|@kuchiberashi@
@reduction@|@benkyou, genshou, hikisage, kangen, ridakushon, sakugen, shukushou, tanshuku, teigen, waribiki@
@reduction & exemption@|@genmen@
@reduction (of crop size)@|@gentan@
@reduction by half@|@hangen@
@reduction in a dividend@|@genpai@
@reduction in area of rice under cultivation@|@ichiritsugentan@
@reduction in pay@|@koukyuu@
@reduction in production@|@gensan@
@reduction of armaments@|@gunbishukushou@
@reduction of capital@|@genshi@
@reduction of penalty@|@genkei@
@redundancy@|@choufuku, dasoku, joubun, joubutsu, jouchoudo, jouchousei, jougo, juufuku@
@redundant@|@yojou@
@redundant phrase@|@jouku@
@redwood@|@amerikasugi@
@Reebok (sneakers)@|@ri-bokku@
@reed@|@ashi, ri-to@
@reed pipe@|@ashibue, kusabue@
@reed screen@|@yoshizu@
@re-education@|@saikyouiku@
@reef@|@anshou, ganshou, koumyaku, ri-fu, sasu@
@reefy coast@|@araiso@
@reel@|@furafura, kase, ri-ru@
@reelection@|@juunin@
@re-election@|@kaisen, saisen, saisenkyo@
@re-emergence@|@saishutsu@
@re-enlistment@|@saifukueki@
@re-entry into a country@|@sainyuukoku@
@re-entry permit@|@sainyuukokukyoukasho@
@re-establishment@|@saisetsu@
@reexamination@|@saishin@
@re-examination@|@saichousa, saiginmi, saijinmon, saikensa, saikentou, saishiken, saishinsa@
@reexplanation@|@juusetsu@
@re-exportation@|@saiyushutsu@
@refacing (tatami) mats@|@omotegae@
