@Q'anjob'al@|@English@
@maxb'eyi@|@walked@
@maxb'ot ayoq@|@wrapped it up, wrapped it@
@maxch'ib'i@|@grew@
@maxchewb'i'eloq@|@it froze@
@maxchiwaji@|@barked@
@maxilchaj yuj@|@found it, got it@
@maxjiq'wi@|@choked, drowned@
@maxjorxi yul snuq'@|@snored@
@maxk'ay toq@|@he lost it@
@maxkami@|@died@
@maxmaq' ekoq@|@nailed it, hammered it@
@maxmaq ayi@|@it closed@
@maxmeltzaji@|@was returned@
@maxmulnaji@|@he worked@
@maxnupayi@|@got married@
@maxpatx'ine'@|@braided it@
@maxpoj ayoq@|@split it (with the hand)@
@maxpoj toq@|@broke it (an item from the kitchen)@
@maxq'a toq@|@it rotted (the fruit or wood)@
@maxq'aj toq@|@it broke (a pencil or ruler)@
@maxq'ayi@|@got accustomed, was found@
@maxqay xolaq@|@inserted it@
@maxsaqchi@|@he played@
@maxsaya'@|@looked for it, searched for it@
@maxsb'al toq@|@rolled it@
@maxsb'alejoq@|@rolled it up, coiled it@
@maxsb'olo'@|@roasted it@
@maxsb'uq'u@|@swallowed it@
@maxsb'utu'@|@put it out@
@maxscha'@|@received it, took it@
@maxsche'npixne'@|@knotted it@
@maxscheqa'@|@he sent it, he ordered it@
@maxschi'@|@bit it (or him or her), he or she ate (meat), stung him@
@maxsik'a'@|@chose it, selected it, picked it out@
@maxsik'ajoq@|@collected it, gathered it@
@maxsjala'@|@weaved it, wove it@
@maxsjatx'a'@|@harvested it, got the corn ready for storage@
@maxsjitz'toq@|@scratched it (especially with something sharp like scratching the paint of a car)@
@maxsjoso'@|@sculpt, carve@
@maxsjutx'u'@|@ground it@
@maxsk'exa'@|@changed it, changed it (barter)@
@maxsk'isa'@|@swept it@
@maxsk'ocho'@|@removed the grain from it (especially the corn from the cob once it is dried)@
@maxsk'ub'e'@|@kept it, saved it@
@maxsk'up ajoq@|@chopped it (to chop meat in pieces)@
@maxsk'uxu'@|@ate it@
@maxskach'a'@|@chewed it@
@maxskol 'o@|@helped it@
@maxskol sb'a@|@he defended or protected himself, she defended or protected herself, it defended or protected itself@
@maxskolo'@|@saved it@
@maxskuy'u'@|@learned it@
@maxskuyu'@|@he or she taught (speaking of education)@
@maxslaja'@|@finished it, used it up@
@maxslaq'a'@|@hugged it, hugged him@
@maxsleq'a'@|@licked it@
@maxslo'@|@ate (at a meal)@
@maxsloyaytoq@|@consumed it@
@maxsmana'@|@bought it@
@maxsmaq' pojoq@|@cracked it, split it@
@maxsmaq'a@|@hit it@
@maxsmaq'a'@|@hit him@
@maxsmaqche'@|@covered it@
@maxsmasa'@|@rubbed it (softly), gently passed the hand over something@
@maxsmitx'a'@|@grasped it, held it@
@maxsmuqu'@|@burried it@
@maxsmutz'ay sat@|@closed (the eyes)@
@maxsna'@|@thought it@
@maxsnistz'ahoq@|@burned it@
@maxspakalne'@|@mended it@
@maxspaqa'@|@folded it@
@maxspoj ayoq@|@split it (halved it)@
@maxsq'ana'@|@utilized it, used it, asked, requested@
@maxsq'anb'ene'@|@browned it, toasted it@
@maxsq'ol eloq@|@peeled it@
@maxsqixayoq@|@tied it@
@maxstek' toq@|@stepped on it, walked on it@
@maxstek'a'@|@kicked it@
@maxsten toq@|@pushed it@
@maxstojlene'@|@he paid it@
@maxstx'a'@|@chewed it@
@maxstx'aja'@|@washed it@
@maxstx'alne'@|@threaded it@
@maxstx'oxo'@|@pointed it out@
@maxstxal toq@|@scratched it (with a sharp instrument or the fingernails), scratch it, scrape it, claw it@
@maxstxala'@|@scratched it@
@maxstxaya'@|@strained it@
@maxstxika'@|@cooked it@
@maxstxono'@|@sold it@
@maxstz'ib'e@|@wrote it@
@maxstz'isa'@|@sewed it@
@maxstz'ub'u'@|@kissed him or her or it, nursed (a baby at the breast), smoked it, sucked it (candy or whatever)@
@maxstz'unu'@|@planted it (the seed), seeded it@
@maxstzok'o'@|@cut (this past tense word is used when wood has been cut with an instrument)@
@maxswatx'jene'ajoq@|@built it, made it, constructed it@
@maxswaychene'@|@dreamt it, dreamed it@
@maxsxu'@|@blew on it@
@maxsyatz'el yal@|@twisted it, squeezed it out@
@maxsyuk'e'@|@drank it@
@maxtechaj yuj@|@suffered, endured@
@maxtoji@|@went, left (He left earlier), traveled@
@maxtxonji@|@did business, commerce@
@maxtz'a toq@|@burned down, burned@
@maxwayi@|@slept@
@maxworwoni@|@bubbled (The water will bubble when it begins to boil)@
@maxxiwi@|@got scared@
@maxyab'e'@|@heard it, understood it@
@maxyab'ekoq@|@listened to it, paid attention to it, knew it@
@maxyab'le'@|@tried it, tasted it@
@maxyak yechel@|@marked it@
@maxyal b'aytet yeji@|@explained it@
@maxyala'@|@he or she said, related it, told it@
@maxyaq' lajwoq@|@hurt it@
@maxyaq' owal@|@fought@
@maxyeb'e 'eloq@|@hid it@
@maxyeche'@|@measured it@
@maxyechwene'@|@waited for it@
@maxyetne'@|@fooled it, fooled him, fooled her, tricked it (him or her)@
@maxyetne' eloq@|@damaged it@
@maxyetne toq@|@destroyed it, took it apart, decomposed it, spoiled it@
@maxyi toq@|@carried it@
@maxyila'@|@saw it, observed it, looked at it@
@maxyiqa'@|@carried it (on the back)@
@maxyoche'@|@liked it, wanted it@
@maxyoche'ajoq@|@wanted it@
@maxyuqte'@|@ran it off, herded it@
@mayal@|@completely, it is done, it is finished@
@me@|@ram (sheep)@
@me'@|@ewe (sheep), lamb@
@meb'a'@|@orphan, poor@
@meb'ixh@|@orphan@
@Mekel@|@Mike, Michael@
@mem@|@dumb, mute, stupid@
@menuha@|@liver@
@mi@|@can be combined with an adverb that describes the way something happened to indicate desire or doubt (watx' mi means it would be good), or@
@mich'@|@shell (of a shellfish)@
@Mikin@|@Micaela@
@miman@|@a lot, big, large@
@miman hayej@|@river@
@miman hon@|@we are big, we are many@
@miman q'a'@|@big fire (like a bonfire)@
@miman sat@|@ample, wide@
@miman stel@|@long, tall@
@miman tel@|@long@
@miman yich@|@deep (literally this means big its bottom or butt), profound@
@mimanilej@|@body@
@mimank'ulal@|@pardon, forgiveness@
@mimej@|@big@
@mimeqwal stel@|@very long@
@mis@|@cat@
@mis no'@|@The animal is a cat@
@mitx'@|@clench, grab@
@mitx'b'il@|@holding on@
@mitxajoq@|@hold@
@mixt'b'il@|@held in the hand, grasp (Get a good grasp on that)@
@mochan@|@classifier for a group of things that is piled together@
@mojan@|@mate, pair, spouse@
@mok@|@container made of glass or clay that is a lot wider around the center used for water oil or other liquids, jar, jug, pitcher@
@motx@|@basket@
@motz@|@seven little goats (this has to do with the children's story of The Wolf And Seven Little Goats)@
@moyan@|@fog, sky (when there is bad weather)@
@mu@|@blackberry bush, hierba mora is a favorite among the Mayan people it is botanically known as Solanum americanum (used medicinally and in making traditional dishes such as tamales@
@mub'@|@smoke@
@muhej@|@brother in law or sister in law(woman's brother or sister in law), sister in law (man's sister in law)@
@mukun@|@squash, winter squash, zucchini@
@mul@|@sin, crime@
@mulej@|@crime, defect, error, fault, sin@
@mulnaj@|@work@
@mulnajil@|@work@
@muluq'@|@larva@
@muq@|@bury@
@mutz'@|@to close the eyes@
@mutz'utz'@|@little fish@
@muxukej@|@belly button@
@na@|@house, his house@
@na'@|@house, think@
@na ch'en@|@cave@
@nab'@|@rain@
@nab'il@|@winter@
@naj@|@classifier used in Acatan and San Rafael to indicate respect for a man @
@najab'@|@lake, sea@
@najat@|@far, long@
@nal@|@ear of corn@
@nam@|@butterfly, moth@
@nan@|@half (Mayal ay snan te' mansan The apple is cut in half), lower back, middle, waist@
@nanb'e@|@in the middle of the road@
@nanej@|@waist@
@nani'@|@today@
@nansan@|@apple@
@naq@|@classifier used with reference to the young man, he, boy@
@naq ach'ej@|@the teen@
@naq tx'ijan winaq@|@the smart man@
@naq unin@|@the little boy@
@naq winaq tu@|@that one man, that man@
@nawal@|@witch or sorcerer who casts fire through his eyes and has the power to transform himself into a coyote or dog or another animal, animal of Guatemalan indigenous tradition that is an inseparable companion of a person and is considered a spiritual protector throughout his life, witch@
@nawux@|@knife@
@nawxu@|@knife@
@ne@|@tail@
@ne'@|@tail@
@nehej@|@tail@
@nen@|@mirror, glass@
@nene'@|@baby@
@net'an yeji@|@very fat person@
@ni'@|@father in law@
@nihej@|@son in law, man's mother or father in law@
@nilan@|@classifier for an uncountable group of things@
@nip@|@patch, jimmy rig, temporary repair or fix@
@niqb'al@|@sharpening stone@
@no@|@the (no tx'i' the dog), classifier meaning the and employed only with animals or things derived from animals (like leather items etc)@
@no'@|@animal (this comes from the classifier 'no')@
@no' ib'atx@|@armadillo@
@No' leche aj piyiyoq' no'@|@The milk rose (and spilled)@
@no chej tu@|@that one horse, that horse@
@no chib'ej@|@the meat@
@no tx'i'@|@the dog@
@noche@|@night@
@noj@|@to become full@
@nojan@|@with the head bent forward@
@nojan 'ayoq@|@bent forward, face down (The body was found face down on the ground)@
@nojan yeji@|@bent forward@
@nojnaq@|@full@
@numan@|@calmed down@
@nup@|@to marry@
@nuq'@|@neck@
@nuq' a q'ab'@|@wrist (literally neck of the hand)@
@nuq'ej@|@neck, throat@
@och@|@want, handle (of an agricultural tool like a hoe)@
@oj'ojtaq@|@five by five, five at a time@
@ojob'@|@cough@
@ojtaq@|@to know (Hojtaq maktxel max mulnaj kayti? - Do you know who worked here?)@
@ojtaqb'il@|@famous, well-known, already known@
@ojtaqnej@|@to come to know (Haq' yojtaqnej hamam k'al hatxutx - literally 'Give to know your father and your mother - Let your father and mother know)@
@ok@|@directional meaning in or into, to enter@
@okan@|@come ahead, come on in (Okan yul na Come on into the house)@
@olajon k'al@|@three hundred@
@olan@|@empty, hole@
@on@|@avocado@
@onon@|@May Beetle@
@oq@|@coyote, wolf@
@oq'@|@cry@
@ostok@|@buzzard@
@ow@|@anger@
@owal@|@fight, war@
@owalej@|@anger, wrath@
@owan hex@|@there are five of you@
@ox@|@achiote (or annatto a tropical American evergreen shrub or small tree that has showy flowers the seed is used as coloring and a flavoring)@
@oxeb'@|@three@
@oxej@|@within three days, in three days@
@oxji@|@three days ago@
@oxlajuneb'@|@thirteen@
@oy@|@pillar, stake, support@
@oyal a'ej@|@puddle@
@oyeb'@|@five@
@oytol@|@mushroom@
@pa@|@rustic bag-shaped net that is made from vegetable fibers (such as maguey) to transport fruits and other loads, knapsack, backpack@
@pachom@|@ear of corn with several heads@
@paj@|@acidic, sour@
@pajaj@|@waterfall@
@pajich@|@tomato@
@pajtza'@|@frog@
@pak'@|@wooden spoon or spoon made of calabash@
@pak'an 'ajoq@|@face up (He fell backwards and landed face up)@
@palan@|@forehead@
@palanej@|@forehead@
@palta@|@but@
@pan@|@wheat bread@
@panan@|@flat, level, plane@
@panb'uq@|@mushroom@
@paqan@|@face down, fold, to bend or twist something into a curve@
@paqb'il@|@fold, folded@
@paqb'il ayoq@|@folded, fold@
@paqyom@|@brooding hen (hen sitting on her eggs)@
@pat@|@hut, hut with a straw roof, shack, small house, tortilla@
@pata@|@guava@
@patan@|@rose@
@patej@|@tortilla@
@patix@|@dried fruit@
@patx'ilej@|@braid@
@patxan@|@classifier for things that are flat@
@patzab'@|@beam, rafter, girder, shade cloth@
@pax@|@instead@
@pay@|@fox, skunk@
@payxa@|@since before, long ago@
@payxataxi@|@long ago@
@pech@|@duck@
@penek@|@knee@
@penekej@|@knee@
@peqey@|@toad@
@peru@|@but@
@petet@|@an instrument for spinning thread, spindle@
@petxaq'@|@prickly pear, cactus@
@petzan@|@seated on his feet@
@pichan@|@wrapped in something@
@pichil@|@clothing@
@pichilej@|@clothing, a piece of clothing@
@pilalixh@|@pillar@
@pim@|@bushy (The tree is so bushy it gives great shade), dense (this sweater is of dense wool so it keeps me very warm), thick (said of flat objects like a book)@
@pisanex@|@heart@
@pitalej@|@callus, corn (hard bump on the foot)@
@pitz'okoq@|@squeeze@
@pixan@|@heart (Kawal ya' hinpixan 'my heart hurts'), tied up@
@pixanej@|@heart@
@pixb'al@|@place where something can be tied (like an animal)@
@pixb'il@|@held in the hand, grasp (Get a good grasp on that)@
@pixton@|@thick tortilla@
@poj@|@to break@
@pojan@|@split@
@pojil@|@simple, broken@
@pojow@|@pus, matter (from a wound)@
@polb'il@|@cut@
@pom@|@the resin of a tree (the resin smells like incense), incense@
@pon@|@jocote tree (related to the cashew it produces edible fruit)@
@pop@|@mat@
@popej@|@mat@
@poq@|@sand@
@poqoq@|@dust (noun)@
@poqoqal@|@sand@
@poratonixh@|@banana@
@porque yuj wal Dyos b'ay koman Dyos@|@Because thanks to God - literally Because thanks to God to our father God)@
@poyan@|@loose clothing@
@poyej@|@mecapal (a sash with two cords on the ends that is used to carry heavy loads by putting part of the sash on the forehead and suspending the load by the cords behind the back)@
@premo@|@brake@
@puj@|@Venus@
@pural@|@slow, delay, late@
@puro@|@all, really@
@puylan sek'@|@big clay bowl@
@q'a@|@bitter, warm (weather)@
@q'a'@|@fire, to rot, torch@
@q'a'ej@|@fire@
@q'ab'@|@hand@
@q'ab'ej@|@cloth, hand@
@q'aja'@|@bridge@
@q'ajil@|@broken@
@q'ala'@|@tie@
@q'alem@|@garbage@
@q'alneb'al@|@question@
@q'amb'il@|@used@
@q'amb'ilxa@|@used@
@q'an@|@mature, to ask, to love, to want, yellow@
@q'an te'@|@sycamore pole@
@q'an tx'otx'@|@yellow dirt, yellow earth@
@q'anb'il@|@used@
@q'anej@|@commission, language, message, talk, word, pillow@
@q'anejal yib'an@|@introduction (as in the introduction in a book)@
@q'anleb'al@|@interview, question, consultation@
@q'antaq@|@yellowish, a little yellow, half-yellow@
@q'anyin@|@yellow@
@q'ap@|@clothing@
@q'aq@|@flea@
@q'aq'@|@fire@
@q'aq' q'aq'@|@the fire@
@q'axan@|@hot (like the son or hot from the sun), hot (water or food etc), warm@
@q'axep@|@numeric classifier for half of something like half an orange@
@q'ayi@|@to accustom or get used to something@
@q'ayil@|@rotten@
@q'eq@|@black (yin), dark@
@q'eq tx'otx'@|@black earth, black ground@
@q'eqyin@|@black@
@q'exan@|@left@
@q'in@|@party, fiesta@
@q'inal@|@terrain, land@
@q'o'@|@fig leaf gourd@
@q'och@|@ladder@
@q'oj@|@mask, trunk (of a tree), log@
@q'ojoch@|@cane, walking stick, walking stick that is taller than a man and has an iron tip@
@q'ol@|@pitch@
@q'opoj@|@girl, youth (female), young woman@
@q'opoj ix@|@virgen (in reference to a young unmarried woman)@
@q'opox@|@young woman@
@q'oq'@|@fig leaf gourd, winter squash@
@q'oqtoq@|@throw@
@q'oy@|@classifier for family members of the feminine gender or intimate friends (only in San Juan)@
@q'oy Matal@|@Magdalena@
@q'u'@|@quetzal (Quetzals are beautiful birds with iridescent green or golden-green bodies and red bellies)@
@q'ucheloq@|@cut@
@q'uq'@|@quetzal (Quetzals are beautiful birds with iridescent green or golden-green bodies and red bellies)@
@q'utej@|@coat (something to protect against the weather)@
@ropil@|@Capixay or Lopil is the typical suit of clothes that men from San Mateo Ixtatan wear (it consists of white shirt and pants handmade black vest cowboy type boots and cowboy type hat)@
@ropilej@|@man's shirt@
@roxax@|@roses@
@s-@|@third person singular possessor of a noun that begins with a consonant, his, hers, its@
@s- heb'@|@third person plural possessor of a noun that begins with a consonant, their@
@sa uk'@|@nit, lice egg@
@sachil@|@small hard seeds of fleshy fruits and vegetables (such as grapes apples melons or tomatoes), squash seed@
@sachilal k'um@|@squash or pumpkin seed@
@sak'@|@cricket, grasshopper, locust@
@sal chop@|@itchy skin rash@
@sam@|@comal, thin unglazed clay or metal disk that is used to cook tortillas etc@
@sanan yayji@|@thick@
@sanik@|@ant@
@sanik'@|@ant@
@sapato@|@shoe@
@saq@|@clean, white (yin)@
@saq'a'@|@carbon, coal, ember@
@saq asum@|@fog, mist, haze@
@saq b'ak'om@|@ice@
@saq b'ak'um@|@ice@
@saq b'at@|@hail@
@saq ch'ech@|@any of several plants of the agave, fiber from the agave plant, rope made from agave fiber@
@saq jolom@|@white head@
@saq puminaq'eloq@|@washed out, depleted, discolored, for the original color of something to fade out, to make a color less intense@
@saq tx'otx'@|@white earth or dirt@
@saq uk'@|@body lice@
@saq xilej@|@white hair, grey hairs@
@saqach@|@game@
@saqachwom@|@player (in a game)@
@saqb'at@|@hail@
@saqchi@|@play@
@saqyin@|@white@
@saran yeji@|@thick stick or pole@
@sat@|@eye, fruit, this is the classifier for fruit and it means 'the' or 'a', his eye, face@
@sat k'ix@|@blackberry bush@
@sat kan@|@sky, heaven@
@sat kenei@|@banana@
@sat mansan@|@apple@
@sat naq@|@his eye@
@sat penek@|@leg (below the knee)@
@sat penekej@|@shin, calf@
@sat te'@|@fruit@
@sat tx'otx'@|@ground, land@
@sat xan@|@wall@
@sataq@|@in front of@
@satej@|@evil eye, eye (as a part of the body), face@
@satkan@|@sky@
@satxil@|@seed (squash)@
@say@|@to look for, search@
@saya'@|@to look for, to obtain@
@sb'a@|@herself, himself, itself (b'a plus a person from Set A indicates that action is a reciprical action where both parties receive the action or it is reflexive so the person who does the action is the one who suffers the effects of that action so - they did it to each other or she did it to herself), to herself, to himself@
@sb'a heb'@|@themselves (b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - they did it to themselves), to themselves@
@sb'ak'sb'a@|@for two people or animals to curl up together@
@sb'aq'@|@its seed (small hard seeds of fleshy fruits and vegetables like apple seeds or watermelon seeds etc@
@sb'aqil jolomej@|@skull@
@seb'@|@light weight@
@seb'ach@|@come@
@sek'ej@|@plate@
@sekoj@|@easy@
@setan yayji@|@circumference, round (the pan lid is round)@
@setan yeji@|@round@
@si'@|@wood (especially firewood)@
@si'b'al@|@place where they cut firewood@
@sik@|@cold, cold (water food ambiance day)@
@sik'@|@tabacco@
@sikaloq@|@freeze@
@sip@|@tick@
@sit'an yeji@|@short and fat person@
@sjolom imej@|@nipple@
@sjolom witz@|@summit, peak@
@sjolom xik'@|@shoulder@
@sjun k'al@|@twentieth@
@sk'atan@|@alongside, close to, next to, beside@
@sk'ultaqil chej@|@deer@
@sk'ultaqil txitam@|@javalina, collared peccary@
@skab'@|@second@
@skamixh@|@his shirt@
@skan@|@fourth@
@skan hach@|@you are four@
@skawil@|@its hardness (Manxa skawiloq st'oklay tx'otx' tx'otx' The earth is very hard to hit) @
@skol@|@help@
@skolon@|@he helps, he helped, he help@
@skonob@|@your town@
@skultaqil ak'atx@|@ocellated turkey@
@slajon@|@tenth@
@smaqil na@|@door of the house (its door house)@
@smasanil@|@all@
@sna@|@his house@
@snan@|@in half (Mayal ayk'ewnaj snan te' chulul The zapote is already cut in half), in the middle of, middle (They are in the middle of the field)@
@snanb'e@|@in the middle of the road@
@snohal aqan@|@black wasp@
@snuq' ha'@|@source of running water, headwaters, spring, water source@
@snuq' q'ab'ej@|@wrist@
@so'@|@fifth, loosen@
@somk'ulal@|@loss of control or order or discipline, out of control@
@soq'om@|@swamp@
@sot@|@maraca@
@sotz'@|@bat@
@spat@|@his tortilla, her humble house (ranch)@
@spichil@|@his clothes@
@sputal@|@its bitterness (unripe)@
@sq'ab'@|@branch, his hand@
@sq'ab' jakub'@|@sculling oar for a canoe@
@sq'ab' ka'@|@a simple hand turned grain mill, a stone used as a pestle to grind paint or drugs by hand@
@sq'ab' na@|@key@
@sq'inib'@|@early@
@stel@|@height, size, stature@
@sti@|@bank, entrance of the house or town etc, riverside@
@sti'@|@edge, border@
@stiq'il tan@|@ash@
@stojol@|@price, value@
@stx'otx@|@his land, her land@
@stx'otx' heb@|@their land@
@stxam@|@point (it's point)@
@stxikin@|@corner@
@stxowal satej@|@eyelash@
@stz'aqb'al q'anej@|@his lie, his falsehood@
@stz'umal@|@scales (of fish)@
@sub'oj@|@easy@
@sun@|@sunflower@
@suq'te'@|@smell@
@suq'xi@|@breathe@
@sutz'an@|@cloud@
@swaqlajon k'al@|@three hundred and twentieth@
@swol@|@its offshoot, its shoot, its sprout@
@sxaq te te'@|@leaf@
@sxil@|@his hair@
@sxumakil@|@its flower (flower of a plant)@
@syajawil@|@kingdom, government@
@syajiloq@|@to despise or scorn someone@
@t'eb'eb'i@|@smooh@
@t'enan yeji@|@bald@
@t'eq'@|@stab@
@t'erjolom@|@bald, shaved (head)@
@t'inan@|@straight@
@t'inan yeji@|@full or ready to give birth@
@t'int'in@|@arrow@
@t'isan xak'al yeji@|@part of the body that has been hit or kicked@
@t'ujan@|@drop (noun), drop (of water etc)@
@t'unan@|@hanging@
@t'uxan yeji@|@very slim, very thin@
@ta@|@introduces a clause that gives the condition for which the main phrase can take place (If you do this you will get that), if@
@taj@|@pine, Montezuma pine@
@tak'al b'aytu'@|@up to there, until there@
@tan@|@ash, ashes, lime (not the fruit), positional root that indicates the placement or form of the object@
@tanaq@|@ripe@
@taqin@|@dry@
@taqin tihal@|@thirst, drought@
@tat@|@thick, dense@
@tawak@|@tabacco@
@te'@|@stick, this is the classifier for trees and any wooden products and some fruits it means 'the' or 'a', tree, pole, wood, stake, jail@
@te' k'ewex@|@the sweetsop tree@
@te' pahich@|@the tomato@
@te' tulus@|@the peach@
@te' turusna@|@the peach@
@te'ej@|@pole, stick@
@te miman taj@|@the large pine@
@te pajich@|@the tomato@
@te taj@|@the pine tree@
@tejan@|@because@
@tek'an@|@full, standing, stopped@
@tel@|@height, positional meaning lying down@
@telan@|@lying down, resting@
@telan ayoq@|@lie, lying down (people animals or logs)@
@telaq@|@mountain@
@telk'oji@|@fall@
@ten@|@spinal column, to move, to push@
@tena'@|@push@
@tenaj toq@|@push@
@tenam@|@Mayan Temple (There are quite a few Mayan Temples in Huehuetenango), village (?)@
@tenu@|@cotton@
@tenuq'@|@cotton@
@teq@|@directional meaning to or toward@
@teqan maj@|@perhaps not, I don't believe so@
@tet@|@a preposition that indicates to whom the action is directed or for whom the action was carried out (tet hintxutx 'for my mother' - tet xutx 'to his mother'), for, to@
@texhelixh@|@scissors@
@ti@|@locative and demonstrative that makes reference to a person animal or thing that is found near to the speaker and appears with or without the glottal stop consonant ', edge, that, that one, this, this one@
@ti'@|@locative and demonstrative that makes reference to a person animal or thing that is found near to the speaker and appears with or without the glottal stop consonant ', mouth, this, that, this one, that one@
@ti'ej@|@mouth@
@tihej@|@beak, language, mouth, tongue@
@tiq'al tan@|@ashes@
@tixhtoq@|@irrigate it@
@tjol@|@straight, direct, good attitude@
@to@|@still (I still have that book you gave me)@
@toj@|@pay, to go, verb root meaning to pay or to go@
@toj jupupoq@|@fly@
@toji@|@intransitive go (Ta chach toji chin toj k'apaxoq 'If you are going I will go too' the first go 'going' is intransitive but the second go is transitive and therefor lacks the -i)@
@tojol@|@direct, good attitude, just, right, straight, upright@
@tok'elteq@|@pull@
@tol@|@particle that introduces a non-verbal predicate and functions as the object of the main clause, particle that introduces an adverbial clause of reason (I stayed home because I got sick), because, what, particle that functionas as a subordinator meaning 'what', that (The girl said that you were hitting her brother)@
@tolto'@|@new@
@ton@|@we go@
@tonton@|@owl@
@topan@|@armfull, handful, bunch@
@toq@|@directional meaning from or away, negative particle meaning 'not', no, it wasn't, it isn't@
@toxak'al@|@the act of making (Frank makes a lot of noise when he cuts firewood), the act of doing (His hat is very bright)@
@toxal@|@the act of making (Frank makes a lot of noise when he cuts firewood), the act of doing (His hat is very bright)@
@trenta@|@thirty@
@tu@|@makes reference to a person animal or thing that is found far from the speaker it can be combined with either jun or juntzan to make a demonstrative pronoun (Max stx'aj jun tu an is - that one washed the potatoes)@
@tu'@|@makes reference to a person animal or thing that is found far from the speaker it can be combined with either jun or juntzan to make a demonstrative pronoun (Max stx'aj jun tu an is - that one washed the potatoes)@
@tuktuk@|@woodpecker@
@tumi ja'@|@particle of negation tumi with the required emphatic particle ja' together meaning 'is that not' or 'it isn't', is that not, it isn't@
@tumin@|@money@
@turusna@|@peach (te turusna 'the peach')@
@tutz'utz'i@|@smooth, even@
@tuxkum@|@ear of corn with few grains@
@tx'ab'in@|@legumenous plant from central america whose leaves are edible and are used to make tamales or to cure a hangover, rattlepod@
@tx'aja'@|@wash@
@tx'ajb'al@|@altar (place where prayer is recited)@
@tx'akb'aj@|@hawk@
@tx'alej@|@cotton thread@
@tx'amb'alej@|@hair ribbon@
@tx'an@|@classifier used with things made of fibers (tx'an un notebook), climbing plant, cord, lasso, rope, vine@
@tx'an txim tu@|@that net@
@tx'an unej@|@paper@
@tx'anej@|@rope@
@tx'anilej@|@vein@
@tx'ankan@|@guts, intestines@
@tx'ap te'@|@wooden peg, pin@
@tx'at@|@bed@
@tx'atej@|@his bed@
@tx'atxa'@|@gum@
@tx'eken@|@leaf-cutter ant@
@tx'eq'an yeji@|@tall person@
@tx'etx@|@rope, twine, cord, agave fiber or rope made from the agave@
@tx'i@|@dog@
@tx'i'@|@dog, eyetooth, fang, mutt@
@tx'i' no'@|@The animal is a dog@
@tx'ik eh@|@fang, eyetooth@
@tx'ina'@|@cut@
@tx'ix@|@liver, small corn tamale@
@tx'otx'@|@earth, ground, land, soil@
@tx'otx' wilux tu@|@that clay whistle (or flute like instrument)@
@tx'otx'ej@|@earth@
@tx'ow@|@rat, mouse@
@tx'uxub'@|@fine agave fiber, twine (thin)@
@txala'@|@scratch@
@txam@|@nose@
@txam sk'ul@|@breast@
@txamej@|@mucus from the nose, nose, snot@
@txanej@|@woman's dress@
@txay@|@fish@
@txayb'al@|@fishing net@
@txayib'@|@sifter (for nixtamal)@
@txekel@|@I wonder (txekel maktel max kami I wonder who died), it is to say, it shows, who knows@
@txennej@|@few@
@txetan yeji@|@tall@
@txikin@|@ear@
@txikinej@|@ear (as a part of the body)@
@txim@|@net, large net made of agave fibers@
@txim pa@|@rustic bag-shaped net that is made from vegetable fibers (such as maguey) to transport fruits and other loads on the arm@
@txinupaiyi@|@wedding@
@txitam@|@pig, hog@
@txitx@|@grandmother, rabbit@
@txomb'al@|@market place@
@txon@|@sale, sell@
@txonb'al@|@market, marketplace, plaza@
@txowej@|@poncho, blanket@
@txul@|@urine, pee@
@txulj@|@pee, urinate@
@txuljinaq@|@peed, urinated@
@txutx@|@mother@
@txutxa'@|@sea@
@txutxej@|@mother@
@tyempo@|@time@
@tz'ab'@|@rainbow@
@tz'aqb'al tx'otx'@|@mud, clay@
@tz'aqom q'anej@|@liar@
@tz'atoq@|@burn@
@tz'eyan@|@sideways, on its side@
@tz'ib'@|@scripture, write, writing@
@tz'ikin@|@bird@
@tz'il@|@dirt, dirtiness, dirty, disgusting, grime@
@tz'il pichilej@|@dirty clothing@
@tz'in@|@yuca, cassava@
@tz'inan@|@quiet (environment), silent (environment)@
@tz'is@|@sew@
@tz'ub'@|@to suck, to kiss @
@tz'ub'u'@|@suck@
@tz'uj@|@drop (of water etc)@
@tz'um@|@hide, rubber, skin@
@tz'umal@|@bark, skin, skin (of a person)@
@tz'umal te'@|@bark (skin)@
@tz'umalej@|@husk, outer layer that surrounds eggs and fruits etc, peel, rind, skin (of a human)@
@tz'unb'al itaj@|@vegetable garden, vegetable@
@tz'unun@|@hummingbird, sparrow@
@tz'up@|@feather@
@tz'uqb'al@|@chisel@
@tz'usub'@|@grape@
@tz'utz'@|@coati, coatimundi, white-nosed coati@
@tza'@|@excrement, manure, poop@
@tzak'@|@cricket@
@tzalej k'ulal@|@happiness@
@tzalojk'ulal@|@joy, happiness@
@tzan@|@some, some (tzan winaq iloni Those men who saw)@
@tzapan@|@short@
@tzayej@|@excrement, manure, poop@
@tzeqelen@|@locust, cicada@
@tzes@|@pigweed@
@tzet@|@interrogative marker (question marker), how (how did you heal it?), what (What did you do to heal it?), what is?, why@
@tzet-xami@|@to want to know, to wonder (I wonder why they charged me so much)@
@tzet-xhi@|@What do you say? (Tzet-xhi - chim hoche' chach toj konob'? - What do you say - do you want to go to town?)@
@Tzet hab'i chikay?@|@How are you ma'am?@
@Tzet k'al xyun@|@How (it was done or how it happened)@
@Tzet max hala'@|@What did you say?@
