@English@|@Ligurian@
@patch@|@tapóllo, péssa@
@patent@|@brevétto@
@paternity@|@paternitæ@
@path@|@camìn@
@patience@|@paçiénsa@
@patient@|@paçiénte@
@patrimony@|@patrimònio@
@patriotic@|@patriòtico@
@patrol@|@patùggia@
@Paul@|@Poulìn, Pòulo@
@pause@|@pàoza, pösa@
@pavement@|@marciapê (nm)@
@Paveto (GE)@|@Pavê@
@pavilion@|@padigión@
@paw@|@sànpa@
@pawn (chess)@|@pedón, pedìnn-a@
@pay attention!@|@fànni atençión!@
@payment@|@pagaménto@
@pea@|@poiscétto, poîscio, poéixo@
@peace@|@pâxe (nf)@
@peaceful@|@paxìfico@
@peach@|@pèrsego, pèrsiga (Savona), pèrsega@
@peach tree@|@èrbo de pèrseghe, pèrsego@
@peak (of a cap)@|@padelétta@
@peanut@|@pistàccio@
@pear@|@péi (nm)@
@peasant@|@vilàn, paizàn@
@peasant (f)@|@paizànn-a@
@Pedemonte (GE)@|@Pedemónte@
@pedestal@|@pedestàllo@
@pedestrian@|@pedón@
@pee@|@pìscio@
@peel@|@scòrsa@
@peeled boiled chestnuts@|@pelæ (nfpl), piæ (nfpl)@
@Pegazzano (SP)@|@Pegasàn@
@Pegli (GE)@|@Pêgi@
@pen@|@pénna@
@penalty@|@pénn-a@
@penance@|@peniténsa@
@pencil@|@làppi (nm)@
@pendulum@|@péndolo@
@peninsula@|@penìzoa@
@pension@|@pensción@
@pensioner@|@penscionòu@
@Pentema (GE)@|@Péntema@
@people@|@génte (nf), persónn-e (nfpl), pòpolo@
@pepper (fruit)@|@peverón, pevión@
@pepper (spice)@|@péivie (nm)@
@perfect@|@perfètto@
@perfection@|@perfeçión@
@perfectly@|@a-a perfeçión@
@perfume@|@fragrànsa@
@perfumed@|@fragrànte@
@perhaps@|@fòscia@
@Perinaldo (IM)@|@Preinàodo@
@period of five years@|@lùstro (nm)@
@permission@|@permìsso@
@perpetual@|@perpétoo@
@persecution@|@persecuçión@
@person@|@persónn-a@
@personal@|@personâle@
@personality@|@personalitæ@
@perturbation@|@confuxón@
@Peru@|@Perù@
@Peruvian@|@peruviàn@
@perversion@|@dezàndio, perversción@
@perverted@|@pervèrso@
@pest@|@scrocón@
@pestle@|@pestéllo@
@pesto (Ligurian basil sauce)@|@pésto@
@petard@|@fùrgou (ant.), petàrdo, trichetràcche (nm)@
@Peter@|@Pê (nómme), Pedrìn, Pêo@
@petrol@|@petròlio@
@pharmacy@|@farmacîa, speçiàia@
@pheasant@|@faxàn@
@phenomenon@|@fenòmeno@
@philately@|@filatelîa@
@Philip@|@Pìppo@
@Philippines@|@Filipìnn-e (fpl)@
@philosopher@|@filòzofo@
@philosophy@|@filozofîa@
@phlegm@|@flémma, paciòrnia@
@phone@|@teléfono@
@phone call@|@telefonâ (nf)@
@phonetics@|@fonética@
@photograph@|@fotografîa@
@photographer@|@fotògrafo@
@phrase@|@frâze@
@physical@|@fîxico@
@physicist@|@fîxico@
@physics@|@fîxica@
@Pian Carnese (GE)@|@Ciàn Carnéize@
@Pian dei Preti (GE)@|@Ciàn di Prævi@
@Pian di Latte (IM)@|@Ciàn de Làite@
@pianist@|@pianìsta@
@piano@|@pianofòrte@
@pickling brine@|@scabéccio@
@pickpocket@|@tîabórsa, borsaiòllo, borsaieu, mandilâ (nm)@
@picture@|@figûa@
@picturesque@|@pitorésco@
@pie@|@bonétto@
@pie dish@|@tésto@
@piece@|@pestùmmo, pésso, tòcco@
@piece of furniture@|@mòbile (nm)@
@piece of gossip@|@ciæto@
@piece of junk@|@ravàtto, angæzo@
@Piedmont@|@Piemónte@
@Piedmontese (from Piedmont)@|@piemontéize@
@pier@|@banchìnn-a, meu@
@Pietra Ligure (SV)@|@A Prîa@
@Pietrabissara (GE)@|@Prîa Bisciæa@
@Pieve di Sori (GE)@|@Céive de Söi@
@Pieve di Teco (IM)@|@Cêve@
@Pieve Ligure (GE)@|@Céive@
@pig@|@maiâle (nm), pòrco@
@pigeon@|@cónbo, cónba@
@piggy bank@|@biscioêta@
@pigheaded@|@sucón@
@pigsty@|@stàggio@
@pike pole@|@mezomainâ (nm)@
@pile@|@sàcco@
@pilgrim@|@pelegrìn@
@pilgrimage@|@pelegrinàggio@
@pill@|@pìloa@
@pillow@|@oêgê (nm), cuscìn@
@pilot@|@pilöta (nm)@
@pimp (n)@|@xatâ (nm)@
@pimple@|@brìgoa@
@pin@|@pontaieu@
@pinch@|@spelinsigâ (nf)@
@pine@|@pìn@
@pine cone@|@pìgna@
@pine kernel/nut@|@pigneu@
@pinkie@|@dîo marmelìn@
@pinwheel@|@ventoêla@
@pip@|@axinélla, seménsa@
@pipe (to smoke)@|@pìppa@
@pirate@|@làddro de mâ@
@pirouette@|@piroétta@
@Pisa (Tuscany)@|@Pîza@
@pistachio@|@festécco@
@pistol@|@masagàtto (nm), pistòlla@
@pistol (small)@|@masagàtto@
@piston@|@stantùffo@
@pit@|@armélla@
@pitch (substance)@|@péixe (nf)@
@pitted@|@camoòu@
@pity@|@pénn-a@
@pizza@|@pìssa@
@pizzeria@|@piserîa@
@place@|@pòsto@
@plague@|@pèsta@
@plain (n)@|@cianûa@
@plain-spoken@|@sccétto@
@planet@|@planêta@
@planetary@|@planetâio@
@plant@|@ciànta@
@plant pot@|@vâzo, vâzo de ciànte@
@plate@|@tóndo, piâto@
@platform@|@tribùnn-a@
@plausible@|@versocìmile@
@player@|@zugòu@
@players@|@zugoéi (nmpl)@
@playing card@|@càrta da zêugo@
@pleasant@|@amàbile@
@please@|@pe cortexîa, pe piaxéi@
@pleasure@|@piaxéi (nm)@
@plein-air@|@a l'avèrto@
@plentiful@|@abondànte@
@plenty@|@abondànsa@
@plough@|@arâtro, aò@
@plum@|@brìgna, brigneu, brignón@
@plumber@|@latonê (nm), stagnìn (nm)@
@plural@|@plurâle@
@Pluto@|@Plutón@
@pocket@|@stàcca@
@pocket/fob watch@|@relêuio da stàcca@
@podesta' (medieval magistrate)@|@poistæ@
@poet@|@poêta@
@poet (f)@|@poetéssa@
@poetry@|@poexîa@
@Pogliasca (SP)@|@Pogiàsca@
@point@|@pónta@
@poison@|@venìn, velêno (it.)@
@poisoned@|@inveninòu@
@poisonous@|@velenôzo@
@Poland@|@Pològna@
@Polcevera (GE)@|@Ponçéivia@
@Polcevera (Genoese river)@|@Ponçéivia@
@pole@|@pölo@
@polecat@|@gàtto spùsso@
@police@|@poliscîa@
@police commissioner@|@questô@
@police headquarters@|@questûa@
@policeman@|@carbinê, carabinê@
@Polish@|@polàcco@
@political@|@polìtico@
@politician@|@polìtico@
@politicians@|@polìtichi (mpl)@
@politics@|@polìtica@
@pollack@|@rætìn (nm)@
@Pollanesi (GE)@|@Polànexi@
@pollock@|@rætìn (nm)@
@polluted@|@inquinòu@
@pollution@|@inquinaménto@
@Pontedecimo (GE)@|@Pontedêximo@
@Ponticello (square)(GE)@|@Pontexéllo (Zêna)@
@pony@|@polêo@
@Ponzano (SP)@|@Ponsàn@
@pool@|@póssa@
@poor@|@desperòu, despiòu, meschìn, meschinétto, mìscio, pövio, pövou@
@poor me!@|@ahimì!, ahimè mi!@
@poppy@|@papàveo@
@poppycock@|@móssa@
@popular@|@popolâre@
@popular lyric@|@stornéllo@
@population@|@popolaçión@
@porcelain@|@porçelànn-a@
@porch@|@pòrtego@
@porcupine@|@riseu@
@pornography@|@pornografîa@
@port@|@pòrto@
@port worker@|@portoâle@
@porter@|@portê@
@portico@|@pòrtego@
@portion@|@porçión, quöta@
@Portofino (GE)@|@Pòrtofìn@
@Portoria (GE)@|@Portöia@
@Portovenere (SP)@|@Pòrtovénere@
@portrait@|@ritræto@
@Portugal@|@Pòrtogàllo@
@Portuguese@|@pòrtoghéize@
@position@|@poxiçión@
@positive@|@poxitîvo@
@possesion@|@posèsso@
@possessive@|@posescîvo@
@possibility@|@poscibilitæ@
@possible@|@poscìbile@
@post@|@pòste (fpl), pòsta@
@postage@|@spediçión@
@postcard@|@cartolìnn-a@
@posting@|@spediçión@
@postman@|@postìn (nm)@
@potato@|@patàtta@
@potato masher@|@sciacapatàtte (nm)@
@potato sprout@|@nàscio de patàtta@
@poultry farmer@|@polaieu (nm)@
@poultry shop@|@bitêga da polaieu (nf)@
@pound@|@lìbbra@
@poverty@|@bezéugno, povertæ@
@powder@|@pûa@
@powder magazine@|@poviêa@
@power@|@poéi (nm), poténsa@
@Pra (GE)@|@Prà@
@practical@|@pràtico@
@practically@|@praticaménte@
@practice@|@pràtica@
@prairie@|@cianûa@
@pram@|@pasegìn@
@prawn@|@grìtta@
@pray@|@preghêa@
@precious@|@preçiôzo@
@precipice@|@derûo, preçipìçio@
@precipitous@|@a pìcco@
@precise@|@precîzo, menuçiôzo@
@precision@|@precixón, precizûa@
@precocious@|@tenpoîo@
@prediction@|@prediçión@
@prefix@|@prefìsso@
@pregnant@|@incìnta, grâvia (ag.f)@
@preliminary@|@preliminâre@
@prelude@|@prelùdio@
@preparation@|@preparaçión@
@presence@|@prezénsa@
@present@|@regàllo, prezénte@
@present time@|@atoalitæ@
@presentation@|@prezentaçión@
@presidence@|@prescidénsa@
@president@|@prescidénte@
@pressure@|@presción@
@prevention@|@prevensión@
@preview@|@anteprìmma@
@previous@|@anteriôre@
@price@|@prêxo, préixo (Savona)@
@prick@|@pontûa@
@pride@|@supèrbia, orghéuggio@
@priest@|@præ, præve (nm)@
@primitive@|@òriginâio@
@prince@|@prìnçipe@
@princess@|@prinçipéssa@
@principal@|@préscide@
@Principality of Monaco@|@Principâto de Mónego@
@principle@|@prinçìpio@
@printed@|@stanpòu (ag.)@
@printer@|@stanpànte (nf), stanpòu (nm)@
@prisoner@|@prexonê@
@private@|@privòu@
@probably@|@probabilménte@
@problem@|@problêma, goâio@
@procedure@|@procedûa@
@process@|@procèsso@
@procession@|@procesción, proçesción@
@prodigy@|@prodìggio@
@product@|@prodûto@
@production@|@produçión@
@productor@|@produtô@
@profession@|@mestê, òcupaçión@
@professor@|@profesô@
@professor (f)@|@profesoréssa@
@profile@|@sàgoma@
@profit@|@goâgno, goadàgno@
@programme@|@progràmma@
@progress@|@progrèsso@
@prohibition@|@proibiçión@
@projector@|@proietô@
@promiscuous woman@|@scixerboétta@
@promise@|@promìssa@
@promoción@|@promoxón@
@pronoun@|@pronómme@
@proof@|@prêuva@
@propeller@|@élice (nf), èliçe (nf), èrbo de l'élice@
@property@|@propiêtæ@
@proportion@|@proporçión@
@prosperous@|@pròspero@
@prostitute@|@bagàscia@
@prostitute (augmentative)@|@bagasciónn-a@
@protected@|@protezûo@
@protection@|@proteçión@
@protector@|@protetô@
@protest@|@protèsta@
@protuberance@|@bernòcolo (it.), bòrlo@
@proud@|@supèrbio, supèrbo, orgogiôzo@
@Provence@|@Provénsa@
@province@|@provìnsa@
@prune@|@brìgna sécca@
@pruning hook@|@penàcco@
@pruning shears@|@poænn-a@
@Prussia@|@Prùscia@
@psalm@|@sàlmo@
@psychologist@|@psicòlogo@
@psychology@|@psicologîa@
@psychopath@|@psicopàtico@
@psychopathic@|@psicopàtico@
@public@|@pùblico, pùbrico@
@published@|@édito@
@publishing company@|@editrîce@
@pudding@|@bonétto@
@puddle@|@póssa@
@puff@|@sciùscio@
@puff pastry@|@pàsta sféuggia@
@pulley@|@poêza, tàggia@
@pulp@|@pórpa@
@pulse@|@pôso@
@pumpkin@|@sùcca@
@pumpkinhead@|@sucón@
@punch@|@zonchetâ (nf), ponsón@
@puncture@|@pontûa@
@punishment@|@puniçión@
@pupil@|@scolâio, aliêvo, alêvo@
@pupil (f)@|@studentéssa@
@pupil (m)@|@studénte@
@puppet@|@buratìn (nm), marionétta@
@pure@|@pûo@
@pure wine@|@vìn sccétto@
@purgatory@|@purgatêuio@
@purity@|@puréssa@
@purple@|@moêlo, amoelòu@
@purpose@|@propòxito@
@purposely@|@apòsta@
@purse@|@pòrtamonæe (nm)@
@pursuit@|@persecuçión@
@push@|@ùrto, ronsón@
@quack@|@mêgón@
@quail@|@quâgia@
@quality@|@qualitæ@
@quantity@|@quantitæ@
@quantity of fifteen items@|@chinzénn-a@
@quarrel@|@lîte (nf), ratélla, barùffa, bæga@
@quarter@|@quàrto@
@Quarto dei Mille (GE)@|@Quàrto (Zena)@
@quay@|@banchìnn-a, meu@
@queen@|@regìnn-a@
@question@|@questión, domànda@
@queue@|@côa@
@Quezzi (GE)@|@Quéssi@
@quick@|@svèlto, spedîo (ag.), spedîo@
@quickly@|@a-a spedîa, spedîo (av.), fîto@
@quiet@|@sìtto@
@Quiliano (SV)@|@Cugén@
@quince@|@méi cotógno (nm)@
@Quinto al Mare (GE)@|@Quìnto (Zêna)@
@quite many@|@bén de@
@quite much@|@asæ@
@quota@|@quöta@
@quotation@|@quòtaçión@
@rabbit@|@conìggio@
@race@|@ràzza@
@Rachel@|@Racæle@
@racism@|@razìsmo@
@racist@|@razìsta@
@racket@|@calabâ, reciòcco@
@radar@|@ràdar@
@radicchio@|@radìccia@
@radio@|@ràdio@
@radish@|@ravanéllo, ravanétto, armoasétta@
@raftsman@|@barcaieu@
@rag@|@picagétta@
@rag-and-bone man@|@repesìn@
@rage@|@fótta, ràggia@
@ragged@|@rebelón, strasón@
@rags@|@stràsse (nfpl)@
@railing@|@ringhêa@
@rails (train)@|@rotâie (fpl)@
@railway@|@stràdda ferâ (nf), stràdda ferâ, ferovîa@
@rainbow@|@archinçê (nm), arcobalén (nm)(it.), èrco in çê@
@raisin@|@ûga pàssa@
@raising@|@alevaménto, alevéuia@
@rake@|@rastéllo@
@ram@|@æo@
@rancid@|@stantîo, rànçio, pöso@
@rancour@|@rouxîa@
@randomly@|@a câxo, a-a rinfûza, a-a sbæra, abrétio@
@range@|@ràngo (nm)@
@ranging rod@|@xalón@
@ranking@|@clascìfica@
@Rapallo (GE)@|@Rapàllo@
@Raphael@|@Rafaêle@
@rarely@|@raraménte@
@rareness@|@raritæ@
@rarity@|@raritæ, stranéssa@
@rash (n)@|@zèrbia@
@rashly@|@de premûa, de spréscia@
@rat@|@ràtto@
@rather@|@tòsto@
@raven@|@crövo@
@ravioli@|@raieu, ravieu@
@raw@|@crûo@
@ray@|@ràggio@
@razor@|@razô@
@reach@|@portâ (nf)@
@reader@|@letô@
@ready@|@prónto@
@real@|@reâle@
@reality@|@realtæ@
@really@|@pe in davéi, pe 'n davéi, davéi, in realtæ@
@reason@|@raxón@
@reasonable@|@raxonòu@
@reasonable charge@|@prêxo raxonòu@
@reasonable price@|@prêxo raxonòu@
@reasoning@|@raxonaménto@
@rebel@|@ribèlle@
@rebellion@|@ribelión@
@receiver@|@reçetô@
@recent@|@reçénte@
@recently@|@pöco fa, da no goæi, reçenteménte, da pöco@
@recipe@|@riçètta@
@recipient@|@reçetô@
@recollection@|@ricòrdo@
@recommendation@|@racomandaçión@
@recording@|@registraçión@
@recovery@|@repìggio@
@recreation@|@ricreaçión@
@rector@|@préscide@
@red@|@rósso@
@red porgy (fish)@|@pâgou@
@red wine@|@vìn rósso@
@redcurrant@|@rîbe (nf), rîbes (nf)@
@reduction@|@riduçión@
@reed@|@cànna@
@reeds@|@zónchi (nmpl)@
@reef@|@mùggio de schéuggi, scugêa, schéuggio@
@reference@|@riferiménto@
@refined@|@rafinòu@
@refined (f)@|@fìnn-a (ag.f)@
@refined (m)@|@fìn@
@refinement@|@riçercatéssa@
@reflect@|@riflèsso@
@reflection@|@riflesción@
@reflexion@|@riflesción@
@reform@|@refórma@
@refraction@|@refraçión@
@refrain@|@ritornéllo@
@refreshment@|@rinfrésco@
@refuge@|@pòrtopighéuggio, rifûgio@
@refusal@|@refûo@
@refuse@|@ruménta@
@regard@|@salûo@
@regarding...@|@rigoàrdo a..., a propòxito de@
@regards@|@salûi (nmpl)@
@regatta@|@regàtta@
@regime@|@regìmme (nm)@
@region@|@región@
@regional@|@regionâle@
@register@|@regìstro@
@registration@|@registraçión@
@regret@|@laménto@
@regretful@|@pentîo@
@regular@|@regolâre@
@rein@|@brìlla@
@rejection@|@refûo@
@relationship@|@relaçión, rapòrto@
@relative@|@relatîvo@
@relative (n)@|@parénte@
@releif@|@ripözo@
@reliance@|@dipendénsa@
@relic@|@relìquia@
@relief@|@recûvio, soliêvo@
@religion@|@religión@
@religious@|@religiôzo@
@reluctantly@|@mâvoentêa@
@remark@|@riflesción@
@remorse@|@rimòrscio@
@removal (house)@|@stramûo@
@renewal@|@renovaçión@
@renowned@|@rinomòu@
@rent@|@afìtto, noêzo, nölo (it.), nöo, pixón (nf)@
@repair@|@riparaçión@
@repeat@|@ripetiçión@
@repentant@|@pentîo@
@repertoire@|@repertöio@
@replacement@|@rinpiàsso@
@reply@|@rispòsta@
@report@|@ripòrto@
@repose@|@ripözo@
@reproduction@|@riproduçión@
@reptile@|@retîle, rétile@
@republic@|@repùbrica, repùblica@
@Republic of Genoa@|@Repùblica de Zêna@
@repugnance@|@schîfo, schìnfio@
@reputation@|@reputaçión@
@request@|@petiçión@
@requirement@|@requixîto@
@requisite@|@requixîto@
@rescue@|@sarvatàggio@
@research@|@riçèrca, investigaçión@
@reserve@|@risèrva@
@residence@|@rescidénsa, rexidénsa@
@resident@|@rescidénte@
@resignation@|@rasegnaçión@
@resin@|@rexìnn-a@
@resinous@|@rexinôzo@
@resistance@|@rexisténsa@
@resolution@|@risoluçión, resoluçión@
@resource@|@risórso@
@respect@|@rispètto@
@respectful@|@rispetôzo@
@respectfully@|@rispetozaménte@
@respiration@|@respiaçión@
@responsibility@|@responsabilitæ@
@responsible@|@responsàbile@
@rest (relax)@|@ripözo@
@rest (what remains)@|@rèsto@
@restart@|@repìggio@
@restaurant@|@ristorànte (nm), restoràn (nm)@
@restless@|@inquiêto@
@restoration@|@repìggio@
@restriction@|@restriçión@
@resurgence@|@risorgiménto@
@retail@|@in detàlio, a-o menûo@
@retard@|@deficénte@
@rethoric@|@retòrica (nf)@
@rethorical@|@retòrico@
@reticulated@|@fæto a ræ@
@retinue@|@ségoito@
@retirement@|@pensción@
@return@|@ritórno, rédito@
@revelation@|@rivelaçión@
@revenge@|@vendétta@
@reverse side@|@revèrso@
@revision@|@revixón@
@revitalization@|@rilàncio@
@revival@|@rilàncio, risorgiménto@
@revolting@|@vomitîvo@
@revolution@|@revoluçión@
@revolver@|@revòlvero@
@reward@|@tagión@
@Rezzoaglio (GE)@|@Rezoâgio@
@rheumatism@|@reuimatìsmo, réuima@
@rhinoceros@|@rinoçerónte (nm)@
@rhombus@|@rónbo@
@rhyme@|@rìmma@
@rhythm@|@rìtmo@
@ribbon@|@picàggia@
@ribbon (silk)@|@frexétto@
@rice@|@rîzo@
@rice field@|@rizêa@
@rich@|@rìcco@
@Richard@|@Ricàrdo@
@rift@|@avenéuia, crepatûa@
@right (adj.)@|@giùsto, corètto@
@right (n)@|@dirìtto (it.), drîto (nm)@
@right after@|@sùbito dòppo@
@right before@|@sùbito prìmma@
@right-side@|@drîto (ag.)@
@rigid@|@réncio, réuido@
@rigor@|@rigô@
@rigorous@|@rigôzo@
@rim@|@zìnn-a, oêxìn, òrlo@
@rind@|@scòrsa@
@ring (burner)@|@fornéllo@
@ring finger@|@dîo anulâre, dîo spozanéllo@
@ring of a bell@|@bonbón@
@rinsing@|@aruxentâ (nf)@
@Riomaggiore (SP)@|@Rimazô@
@ripe@|@méuio@
@rise@|@montâ (nf), ouménto@
@risk@|@réizego@
@risky@|@reizegôzo@
@rite@|@rîto@
@rival@|@rivâle@
@rivalry@|@rivalitæ@
@Rivarolo (GE)@|@Rieu, Roieu@
@river@|@sciùmme (nm)@
@Riviera@|@rivêa@
@road@|@vîa@
@roar@|@reciòcco@
@roasted meat@|@ròsto@
@robber@|@làddro@
@robbery@|@fùrto, rapìnn-a@
@robin (bird)@|@pecétto@
@rock@|@magheu, ròccia, rócca@
@rocking@|@vànni e vêgni (nm)@
@rod@|@trapétta, bachétta@
@roe deer@|@craieu@
@rogue@|@rufiàn@
@roll@|@ròtolo (it.), rolò (nm)@
@Romairone (GE)@|@Romaión@
@Roman@|@romàn@
@Romania@|@Romanîa@
@Romanian@|@romêno@
@Romansh@|@romàncio@
@Rome@|@Rómma@
@Romeo@|@Romê@
@roof@|@téito@
@room@|@sâla, stànsia, stànsa@
@root@|@réixe (nf)@
@rose@|@rêuza@
@Rose (name)@|@Rêuzo, Rozìnn-a, Rozìn, Rozétta, Rozinìn@
@rosemary@|@rosmanìn, romanìn@
@rotten@|@màrso@
@rotter@|@baràbba (nm)@
@rough@|@sgréuzzo@
@rough throat@|@ràntega@
@roughly@|@a-a bagàrda, a-a biscanbìggia, a-a biscöchìnn-a, a-a buzarónn-a, a-a carlónn-a@
@round (adj.)@|@rióndo@
@round Ligurian pasta in soup@|@scocozó (nm)@
@route@|@percórso@
@Rovereto (GE)@|@Roveòu@
@roving@|@bìndolo@
@row (argument)@|@bæga@
@rubber@|@gómma@
@rubbish@|@ruménta@
@rubble@|@zétto@
@ruby@|@rubìn@
@rude@|@mæducòu, sgréuzzo, maleducòu@
@Rudolph@|@Rodórfo@
@ruin@|@rovìnn-a@
@rule@|@rêgola, rêgoa, nórma@
@rung@|@scæn@
@ruse@|@manézzo@
@rush@|@premûa, spréscia@
@rushing@|@a-a córsa@
@Russia@|@Rùscia@
@Russian@|@rùsso@
@rust@|@rùzene (nf), rùzze (nf)@
@rusty@|@ruzenénto@
@Ruta (GE)@|@Rûa, A Rûa@
@saber@|@sciàbbra@
@saber slash@|@sciabrâ (nf)@
@sacrifice@|@sacrifìçio@
@sad@|@intristîo, trìste, trìsto@
@safe@|@sàn, segûo@
@safe (f)@|@sànn-a (ag.f)@
@safety@|@seguéssa@
@safety belt@|@çénta de seguéssa@
@saffron@|@safràn@
@sage (herb)@|@sàrvia@
@sail@|@véia@
@sail boat@|@bàrca a véia@
@sailor@|@navegatô, mæn (nm), mainâ (nm), marìn (nm)@
@sailors (pl)@|@mainæ (mpl)@
@saint (f)@|@sànta@
@saint (m)@|@sànto@
@Saint Peter@|@Sàn Pê@
@salad@|@insalàtta@
@salami@|@salàmme (nm)@
@sale@|@véndia@
@sale (cut price)@|@sbaràsso@
@Salema porgy (fish)@|@sàrpa@
@salesman@|@venditô@
@saline@|@salìn@
@saliva@|@spûo@
@salt@|@sâ (nf)@
@salt shaker@|@salìn@
@saltcellar@|@salìn@
@salted fish@|@pésci sæ (nmpl)@
@Salto (GE)@|@Sâto (Zêna)@
@saltpeter@|@salìn@
@salty@|@salòu, salìn, savoîo@
@salty (pl)@|@salæ (mfpl), sæ (ag.mfpl)@
@salutation@|@salûo@
@same@|@egoâle, mæximo, pægio@
@Sampierdarena (GE)@|@Sàn Pê d'Ænn-a@
@sample@|@canpión@
@San Biagio (IM)@|@Sàn Giâxo@
@San Cipriano (GE)@|@Sàn Çepriàn@
@San Colombano (GE)@|@Sàn Conbàn@
@San Francesco d'Albaro (GE)@|@Sàn Françésco d'Arbâ, Arbâ@
@San Fruttuoso (GE)@|@Sàn Frutôzo@
@San Marino@|@Sàn Marìn@
@San Quirico (GE)@|@Sàn Chîgo@
@San Salvatore dei Fieschi (GE)@|@Sàn Sarvòu@
@San Teodoro (GE)@|@Sàn Tiodöo@
@sanctuary@|@santoâio@
@sand@|@ænn-a, sàbia (it.)@
@sanity@|@sanitæ@
@Sanremo (IM)@|@Sanrémmo@
@Santa Giustina (SV)@|@Sànta Giustìnn-a@
@Santa Margherita Ligure (GE)@|@Sànta Margàita@
@Sant'Antioco (Sardinia)@|@Sant'Antiòcco@
@Sant'Apollinare (GE)@|@Sàn Poinâ@
@Sant'Eusebio (GE)@|@Sànto Zéuggio@
@Sant'Ilario Ligure (GE)@|@Sant'Ilâio@
@santity@|@santitæ@
@Santo Stefano d'Aveto (GE)@|@Sàn Stêva d'Avêto@
@Saorge (now France)@|@Savórgio, Saórgio@
@Sardinia@|@Sardégna@
@Sardinian (from Sardinia)@|@sàrdo@
@Sarissola (GE)@|@Saisêua@
@Sarzana (SP)@|@Sarzànn-a@
@Sarzano (hill of Genoa)@|@Sarzàn@
@Sassello (SV)@|@Sascéllo, Sascê@
@Satan@|@Sàtana@
@satiety@|@saçietæ@
@Saturday@|@sàbbo@
@sauce@|@bagnétta, sàrsa, tócco, ùmido (nm)@
@sausage@|@sâsìssa@
@saving@|@rispàrmio@
@savings@|@rispàrmi (mpl)@
@saviour@|@sarvatô@
@Savona (SV)@|@Savónn-a, Sànn-a@
@Savonese (from Savona)@|@savonéize@
@Savoy cabbage@|@cöo garbûxo, garbûxo@
@saw@|@særa@
@sawdust@|@seréuia@
@say yes!@|@dìnni de sci!@
@scabies@|@rógna@
@scabious@|@rognôzo@
@scald@|@scotatûa, bruxéuia@
@scale@|@bànsa@
@scale (of fish)@|@scàggia@
@scalpel@|@scöpelìn, scöpéllo@
@scam@|@fròuxo, gazìbba, sfròuxo, trùffa (it.)@
@scandal@|@scàndalo@
@Scandinavia@|@Scandinàvia@
@Scandinavian@|@scandìnavo@
@scapula@|@pæta da spàlla@
@scarce@|@scàrso@
@scarcely@|@a fadîga, a îsa a îsa, a malapénn-a@
@scare@|@poîa, resâto@
@scarf@|@sciàllo, sciàrpa@
@scene@|@scenâio, scêna@
@scenery@|@scenâio@
@scholar@|@scensiòu@
@school@|@schêua@
@science@|@scénsa@
@scissors@|@tezoîe (fpl)@
@Scoffera (GE)@|@Scofæra@
@score@|@pontézzo@
@score (music)@|@partitûa, spartîo@
@scorn@|@desprêxo@
@scorpion@|@tàncoa@
@Scotland@|@Scòçia@
@Scottish@|@scoçéize@
@scoundrel@|@rufiàn@
@scrap merchant@|@freciamìn (nm)@
@scratch@|@granfignâ (nf), granfignéuia@
@scrawl@|@scarabòccio@
@screen@|@schèrmo@
@screw@|@vîa@
@screw (nautical)@|@élice (nf), èliçe (nf)@
@screwdriver@|@cacciavîe (nm)@
@scribble@|@scarabòccio@
@sculptor@|@scultô@
@sculpture@|@scultûa@
@scurvy@|@scorbûto@
@sea@|@mâ (nm)@
@sea bass (fish)@|@loàsso@
@sea urchin@|@zìn@
@sea-blue@|@bleu maræn@
@seafaring (adj.)@|@mainaésco@
@seagull@|@gabiàn, öchìn de mâ (nm)@
@seal (animal)@|@vitéllo marìn, föca@
@seamanship@|@mainàia@
@seamen's beret with pompom@|@camogìn@
@search@|@riçèrca, çèrca@
@seas@|@mâ (nmpl)@
@seashore@|@mænn-a@
@seaside@|@mænn-a@
@season@|@stagión@
@seat belt@|@çénta de seguéssa@
@seaward@|@a-o làrgo@
@seaweed@|@æga@
@sebaceous cyst@|@lùggia@
@Seborga (IM)@|@Sebórga@
@second (n)@|@segóndo@
@second (number)@|@segóndo (ag.)@
@secondary@|@segondâio@
@secrecy@|@clandestinitæ@
@secret@|@segrêto@
@secretary@|@segretâio, segretâia (f)@
@section@|@gælo, seçión@
@secular@|@làico@
@security@|@seguéssa@
@security guard@|@cantonê@
@seducer@|@sedutô@
@seduction@|@seduçión@
@seductive@|@seduxénte@
@see you!@|@se vedémmo!, a rivédise!, a revéise!@
@seed@|@seménsa, axinélla@
@seedy@|@malandæto@
@segment@|@gælo@
@seism@|@teremöto, scìsma (nm)@
@seldom@|@raraménte@
@selection@|@çèrnia, seleçión@
@selective@|@seletîvo@
@self-determination@|@outodeterminaçión@
@self-portrait@|@outoritræto@
@Semorile (GE)@|@Semorî@
@senator@|@senatô@
@Senegalese@|@senegaléize@
@seniority@|@ansianitæ@
@sensation@|@sensaçión@
@sense@|@sénso@
@senselessly@|@a-a rinfûza, a-a sbæra@
@sensitive@|@senscìbile@
@separation@|@separaçión@
@September@|@seténbre@
@Serbia@|@Sèrbia@
@Serbian@|@sèrbo@
@Serravalle Scrivia (Piedmont)@|@Saravàlle@
@serum@|@schéuggia@
@service@|@servìçio@
@servitude@|@servitù@
