@English@|@Abenaki Penobscot@
@sea@|@sobagw+ol@
@sea: high ~@|@mamili sobagua@
@sea: it's ~@|@sobagoo@
@sea: open ~@|@mamili sobagua@
@sea: there is ~@|@sobagoo@
@sea-coast@|@senojisobagwa@
@seal@|@akigw+ak@
@seal (v)@|@kebikwahigamuk, kebikwahômuk@
@sealskin@|@akigwawa@
@seaman@|@nodaksit+ik@
@seamster@|@nojiguônsad+k@
@search (v)@|@kwilawatôzik@
@second@|@nis akwôbabit, nis alagimguak@
@secondly@|@nis alagimguak@
@see@|@namihômuk, namitôzik@
@seldom@|@nadawiwi@
@sell (v)@|@ônkohlômuk@
@senseless@|@pizwi@
@September@|@skamonkas@
@serpent@|@skog+ak@
@set in order@|@walitebahlômuk, walitebahtôzik@
@seven hundred@|@tôbawôz kasatgua@
@seven times@|@tôbawôz kasta@
@seventeen@|@tôbanôz kasônbaw@
@seventy@|@tôbawôz kasinska@
@sew (v)@|@aliguawômuk, aliguônsamuk, aliguôzik@
@shallot@|@winosis+ak@
@shawl@|@kchi-moswa+al@
@she@|@agmah'@
@she (pr. nom.)@|@w'@
@sheep@|@azib+ak@
@sheep: flock of ~@|@azibak@
@sheepskin@|@azibawa+ak@
@shell@|@pasktahôzik@
@shells@|@als+ak@
@shilling@|@silôn@
@ship@|@ktolagw+ol@
@shirt@|@wôhôbaks+ak@
@shoe@|@mkezen+al@
@shoemaker@|@notkezenikad+ik@
@shore@|@senojiwi+al@
@shore (variation)@|@senodkamigwa+al@
@shore wind@|@senodlômsen@
@short breath@|@taakui nasawôgan@
@shorten (v)@|@taakwenômuk@
@shoulder@|@mdelmôgan+ak, wdlemogan@
@shovel@|@wôlkogan+al@
@shovel: a wooden ~@|@magôlhigan+ak@
@show (v)@|@namitlowamuk@
@shuffle cards@|@awskatastigamuk@
@shut@|@kabh(muk@
@sideboard@|@papkuedanôzik+il@
@sigh@|@msinasawôgan@
@sign (v)@|@sinawwimuk, sinawwôdôzik@
@silk@|@silki+al@
@silver@|@môni@
@Simon@|@simo@
@sing: he ~s@|@linto@
@sing: I ~@|@n'linto@
@sing: she ~s@|@linto@
@sing:(v)@|@lintomek@
@sister: my ~ (speaker female)@|@nitsakaso+ak@
@sister: my ~ (speaker male)@|@nidôbso+ak@
@sister: my father's ~@|@nokem+ak@
@sister: my husband's ~ (speaker female)@|@nadôgw+ak@
@sister: my mother's ~@|@nokemisis+ak@
@sister: my older ~@|@n'messis+ak@
@sister: my wife's ~ (speaker male)@|@nilem+ok@
@sister: my younger ~@|@nichemis+ak@
@sister-in-law: my ~@|@nilem+ok@
@sit@|@abimek@
@six@|@nguedz@
@six hundred@|@nguedôz kasatgua@
@six times@|@ngedôz kasta@
@sixteen@|@nguedôz kasônkaw@
@sixty@|@nguedôz kasinska@
@skate@|@alôgmapozimuk, lôgmapozowan+ak@
@skate (v)@|@lôgmapozimek@
@skate: I ~@|@logmapozi@
@skater@|@lôgmapozowinno+ak@
@skating rink@|@lôgmapoziwiganek@
@ski@|@skaïpozowan+ak@
@ski (v)@|@skaipozimek@
@skier@|@skaïpoziwinno+ak@
@skunk@|@segôgw+ak@
@sky@|@asokw@
@sky is clear@|@kakasokwad@
@slander (v)@|@tablogamimuk@
@slate@|@asen, sen@
@sled@|@chipozigan, wawabigôdhigan+al@
@sled (v)@|@chipozimek@
@sledder@|@chipoziwinno+ak@
@sleep@|@kawimek@
@sleep (v)@|@kawimuk@
@sleep: go to ~!@|@Gawi!@
@sleep: he ~s@|@kao@
@sleep: he/she ~s.@|@gao@
@sleep: I ~@|@n'kawi@
@sleep: she ~s@|@kao@
@sleep: you@|@n'kawi@
@sleet@|@kottlijakpo, sikwla@
@sleet: it's ~@|@ôpchikadenwisoglôn@
@sleeve@|@ptenôgan+ak@
@sleigh@|@wawabigôdhigan+al@
@small@|@tsi'-dzis@
@small clay pipe@|@odamôpôganis@
@small-pox@|@maskilhôgan@
@smiter-hawk@|@seguanilha+k@
@smoke@|@pekeda@
@smoke (v.)@|@odamômek@
@smoke a pipe: he ~s@|@odamapôgan@
@smoke a pipe: she ~s@|@odamapôgan@
@smoker: the ~@|@odamôd@
@smoking small thing@|@odamôganis@
@smoking: act of ~@|@odamôwôgan@
@snake@|@skog+ak@
@snake: garter ~@|@makwaaskadamôd@
@sneezing@|@nakwhômowôgan@
@snoring@|@chigualakwsowôgan@
@snow@|@wazôli+ak@
@snow drift@|@wawiôbwan+al@
@snow flake@|@wazôli+ak@
@snow flakes: small ~@|@wazôlisisak@
@snow gets deeper: the ~@|@chitôpsôngwata@
@snow lies drifted: the ~@|@ôgwaôbônsen@
@snow on the ground.@|@wazolis kik.@
@snow shoe@|@ôgama+k@
@snow shoe (v)@|@ôgamakamek, ogmakamek@
@snow shoer@|@ôgamakawinno+ak@
@snow shower@|@pmipsôn@
@snow: a little ~@|@wazôlis@
@snow: blowing ~@|@wawiobwan@
@snow: hard-packed ~@|@sôglôliagezo@
@snow: it ~s@|@psôn@
@snow: it will ~@|@psônji@
@snow: it's ~ing@|@psôn@
@snow: soft-packed ~@|@nokôliagezo@
@snow: there is ~.@|@wazolika@
@snow: there is deep ~@|@msôgwata@
@snowing a little: it's ~@|@psônoso@
@snowing deep: it's ~@|@psôngwata@
@snows: when it ~@|@psônga@
@snowshoe@|@ogma+k@
@snowshoes@|@ôgemak@
@snowy weather: it's ~@|@psôonwikisgad@
@so@|@ni@
@so many@|@kassi@
@so much@|@kassi@
@sock@|@medas+al@
@soft@|@noki, nokigek, nokigit, nokigit@
@soft: it's ~@|@nokigen@
@soil@|@ki@
@solid@|@sôgli, sôglizit@
@some of the summer@|@naoji niben@
@Son (trinity)@|@wamitôgwsit@
@song@|@lintowôgan+al@
@song-sparrow@|@kaskaljas+ak@
@song-sparrow (variant)@|@kaskaljasis+ak@
@son-in-law: my ~@|@wazilmegoa, wazilmit@
@soon@|@nabiwi@
@soot@|@wiboda@
@Sophia@|@sopi@
@soul@|@mjejakw@
@soup@|@kzôbo@
@soup-tureen@|@kchi wlôgan+al@
@south@|@sôwanaki, swanaki@
@south wind@|@sôwanessen@
@south: from the ~@|@nibenakik@
@south: the ~@|@ali-paskuat, nibenaki@
@south: to the ~@|@nibenakik@
@southern people@|@nibenakiak@
@southward@|@nibenakik, sôwanakik@
@sow (v)@|@akikamuk+ak@
@sower@|@notkikad+ak@
@Spain@|@Spôniolki@
@Spaniard@|@Spôniol@
@spark@|@chekelas+ak, ohekelas@
@speak (v)@|@kalozimuk, klozimek@
@speak to (v)@|@kalolômuk@
@speak: he ~s@|@klozo@
@speak: I ~@|@n'klozi@
@speak: she ~s@|@klozo@
@spectacle (eye-wear)@|@wsizugwaigan+al@
@speech@|@kelozowôgan@
@spider@|@mamselabika+k@
@spoil@|@wagiômuk, wagitôzik@
@spoon@|@amkuôn+ak@
@sportsman@|@nadialowinno+ak@
@spotty clouds@|@menasokwad@
@spouse: my ~@|@nizwia@
@spouse: my son's ~@|@n'sem@
@spring@|@siguan@
@spring water@|@tkobi@
@spring: a year ago last ~@|@nialisiguana@
@spring: in ~@|@siguaniwi@
@spring: last ~@|@siguana@
@spring: next ~@|@siguaga@
@squirrel@|@mikowa+ak@
@squirrel: black ~@|@psanigw+ak@
@squirrel: flying ~@|@planigw@
@squirrel: striped ~@|@anikwses+ak@
@St. Francis river@|@Alsigôntegw@
@St. Hyacinthe@|@Wigwômadensisek@
@stable@|@kaozigamigw+ol@
@star@|@alakws@
@star: evening ~@|@kchi alakws@
@star: morning ~@|@kchi alakws@
@starry heaven@|@kakasakw@
@start@|@môjimuk@
@steal (v)@|@kamodnamuk@
@steam-boat@|@stimbot+al@
@steel-trap@|@telaps+ak@
@steel-trap: my ~@|@n'telapsem+ak@
@steep rock@|@kajigapskw@
@steep rock: extended ~@|@kôkajigapskw+ol@
@stem for smoking@|@odamôilinôgan@
@step-father: my ~@|@nôjikw+ak@
@Stephen@|@atian@
@step-mother: my ~@|@nokemis+ak@
@stew@|@lago@
@still@|@askua, mina@
@still yet@|@askua mina@
@stocking (women's)@|@phanemi-medas+al@
@stomach@|@mdolka+al, wdolka@
@stone@|@asen, sen@
@stone for smoking@|@odamôganisen@
@stonecutter@|@nodapskaigad+ik@
@stop@|@channômuk, channozik@
@storm: sudden ~@|@salki kinlôn@
@stout@|@sôgli@
@stout (inan)@|@malkigit@
@straight@|@sasagiwi@
@straight (anim)@|@sasagigek@
@straight (inan)@|@sasagigit@
@strait (waterway)@|@wisawôgamak+il@
@strait: at the ~@|@wisawôgamak+il@
@strait: in the ~@|@wisawôgamak+il@
@strawberry@|@mskikoimins+ak@
@straw-hat@|@mskikoasolkwôn+al@
@stream@|@sibosis+al@
@street@|@ôwdi+al@
@strike (v)@|@tagadôzik, tagamômuk@
@strong@|@malkigit, mliki, sôglizit@
@strong (anim)@|@malkigek@
@strong wind: it's a ~@|@kingzelômsen@
@sturgeon@|@kabasa+k@
@sucker@|@kikômkwa+k@
@sugar@|@sogal@
@sugar-basin@|@sogali kwat@
@summer@|@niben@
@summer arrives@|@nibenasin@
@summer comes@|@nibenhla@
@summer is coming@|@nibegihlan@
@summer is finished@|@niben tagwagwiwi@
@summer is: the way ~@|@alinibenek@
@summer it's in the beginning of ~@|@môjaiwigen nibeniwi@
@summer: a few ~s@|@wakasiniben@
@summer: a year ago last ~@|@nialinibena@
@summer: after ~@|@kizi nibenek@
@summer: after this ~@|@kizi pamnibenek@
@summer: all ~@|@mziwiniben@
@summer: at the beginning of ~@|@môjanibeniwi@
@summer: at the end of ~@|@wanaskiwi niben@
@summer: before ~@|@asma nibenek@
@summer: before this ~@|@asma pamnibenek@
@summer: during ~@|@paminibenek@
@summer: early ~@|@wskiniben@
@summer: every ~@|@nônibegi@
@summer: for many ~s@|@kasinibenwaiwi@
@summer: in early ~@|@wskinibeniwi@
@summer: in late ~@|@zibkiwi nibeniwi@
@summer: in the ~@|@nibeniwi@
@summer: it's ~@|@niben@
@summer: it's an early ~@|@wskiwigen niben@
@summer: it's at the end of ~@|@wanaskiwigen niben@
@summer: it's late ~@|@zibkiwigen niben@
@summer: it's next ~@|@nakwaltak nibenek@
@summer: it's the beginning of ~@|@môjaiwigen niben@
@summer: it's the end of ~@|@matanaskiwigen niben@
@summer: it's the following ~@|@nosokak nibenek@
@summer: it's the middle of ~@|@nanôwigen niben@
@summer: last ~@|@nibena@
@summer: late ~@|@zibkiwi niben@
@summer: many ~s@|@kasiniben@
@summer: next ~@|@nibega@
@summer: the end of ~@|@machiwi niben@
@summer: this ~@|@pamnibenek@
@summer: this very ~@|@nibeniwitta@
@sun@|@gizos, kizos@
@Sunday@|@sanda@
@sunny: it's ~@|@kisosoo@
@sunny: it's a little ~@|@kisosiosi@
@sunrise@|@skhipozit kisos, sokhipozit kisos, sôkhipozit kisos@
@sunrise: after ~@|@kizi sôkhipozid kisos@
@sunrise: at ~@|@sokhipozit kisos, sôkhipozit kisos@
@sunrise: before ~@|@asma sôkhipozid kisos@
@sunrisee: during ~@|@sôkhipozidiwi kisos@
@sunset@|@nakilhôt kisos@
@sunset: after ~@|@kizi nakilhôd kisos@
@sunset: at ~@|@nakilhôt kisos@
@supper@|@adlôgwipowôgan@
@Susan@|@sozn@
@suspender@|@lobakhigan+al@
@swallow (bird)@|@soglônilhasis+ak@
@swallow (v)@|@kwaziadôzik, kwazialômuk@
@swallow: chimney ~@|@chimeliilhasis+ak@
@swan@|@wigualha+k@
@swear an oath (v)@|@walômasokamuk@
@sweat lodge@|@kzabzowigom@
@sweet-flag tree@|@moskwaswaskw+ol@
@swelling@|@maguizowôgan@
@sword@|@tmokuataigan+al@
@table@|@tawipodi+al@
@table utensils@|@wlôganinôkwkil@
@tablecloth@|@tawipodiagen+al@
@tailor@|@nodagisôwad@
@take (v)@|@wadnômuk, wadnôzik, wikwnômuk, wikwnôzik@
@take away (v)@|@môkadôzik@
@take care of (v)@|@nanawaldôzik, nanswalmômuk@
@talk@|@kalozimuk@
@tamarac@|@pôbnôdageso@
@tanner@|@nodatsigad+ik@
@tart@|@pata@
@tavern@|@soghebaigamigw+ol@
@tea@|@ti@
@teach (v)@|@agukimômuk@
@teacher: great ~@|@kchiagakigamwinno+ak@
@tear up (v)@|@talaginaadôzik, talaginaalômuk@
@temple (of head)@|@wdagwa@
@ten@|@mdala@
@tender (anim)@|@nokigek@
@tender (inan)@|@nokigit@
@tent@|@woôbaksigamigw+ol@
@tenth@|@mdala akwôbabit, mdala alagimguak, mdala kasi chebenozik@
@terminate (v)@|@taguaguitôzik@
@testicles@|@askoksial@
@thanks@|@oliwni@
@that@|@ali, ni, waji, wajiji@
@thaw: it ~s@|@weskata@
@thee (thou) (pr. obj.)@|@kia@
@theirs (poss. pr.)@|@agmôwô@
@them@|@agmôwô@
@them: to ~ (they) (pr. obj.)@|@agmôwô@
@themselves@|@agmôwôtta@
@themselves: to ~ (pr. reflective)@|@agmôwôtta@
@then@|@ni, ni adogi, ni nawa@
@there@|@ni enni, ni tali@
@therefore@|@ni nawa, ni wattak@
@Theresa@|@talaz@
@these are parts of the years@|@pagaiyawigenol gadenal@
@they@|@agmôwô@
@thick@|@kapagak, kapagizit, kpagi@
@thigh@|@wikwa@
@thimble@|@liguônsôgan+al@
@thin@|@wazabak, wazabi, wazabizit@
@thine(poss. pr.)@|@kia@
@think (v)@|@alidahômômuk@
@thinness@|@matôlwzowôgan@
@third@|@nas akwôbabit, nas alagimguak, nasi chebenôzik@
@thirdly@|@nas alagimguak@
@thirsty: be ~ (v)@|@kadawosmimuk@
@thirteen@|@nsônkaw@
@thirty@|@nsinska@
@this@|@yo@
@this year@|@pamgadenek@
@Thomas@|@tom@
@thorn-tree@|@chignazakuam+ak@
@though@|@minaguiha@
@thousand@|@nguedômkuaki@
@three@|@nas@
@three hundred@|@nsatgua@
@three times@|@nseda@
@thresher@|@noji-pakhiminad+ik@
@throat@|@wkedôgan, wkedongan@
@thunder@|@padôgi+ak@
@thundering: it's ~@|@padôgioo@
@thunderstorm@|@padôgiiwik@
@Thursday@|@iawda alokan, Jawda alokan@
@thus@|@kôdak@
@thyself (pr. reflective)@|@kiatta@
@tie: neck ~@|@nôpkowan+al@
@tinsmith@|@noji-papawijokad+ik@
@to ourselves (excl. pr. reflective)@|@niunatta@
@to us (pr. obj.)@|@niuna@
@toad@|@mamaska+k, maska+k@
@tobacco@|@wdam, wdamô@
@today@|@bamegizegak, pamkisgak@
@toe@|@witkwazit@
@together@|@kassiwi@
@tomahawk@|@alni-temahigan+al@
@tomorrow@|@saba@
@tomorrow afternoon@|@saba kizi paskwak@
@tomorrow evening@|@saba wlôgok@
@tomorrow morning@|@achakwiwik@
@tomorrow night@|@saba tebokok@
@tongue@|@wilalo@
@too@|@atsi@
@too much@|@wzômi@
@tooth@|@wibid@
@tooth-ache@|@obidôgwôgan@
@tornado: it's a ~@|@pedegwelômsen@
@towel@|@kasiljawwan+al@
@town@|@odana+al@
@transgress (v)@|@poskwkôzik@
@treasurer@|@noji-môniad+ik@
@tree@|@abazi@
@tree: dead ~@|@msoakw+ok@
@trigger@|@nhanesnôsik+il@
@trinity (Christian)@|@nasi chebikinawsit@
@trip: Did you have a good ~?@|@Golibamkanni?@
@trip: Have a good ~.@|@Olibamkanni.@
@trip: I had a good ~.@|@nolibamkanni.@
@triple@|@nseda pkawiwi@
@trouble (v)@|@awskônkamuk, wagawnakamuk, wagawnômuk, wagawnôzik@
@trousers@|@plejes+al@
@trout: lake ~@|@namagw+ok@
@trout: salmon ~@|@namagw+ok@
@truly@|@kalaata@
@trunk@|@lessagahigan@
@tuberculosis@|@mannachôgowôgan@
@Tuesday@|@nisda alokan@
@tumbler@|@kchi aazasit+ik@
@turkey@|@nahama+k@
@turn around (v)@|@kwalbosamuk@
@turn over (v)@|@kwalbenômuk, kwalbenôzik@
@turnips@|@channap-sak@
@turtle@|@tolba+k@
@twelve@|@nisônkaw@
@twentieth@|@nisinska akwôbabit, nisinska alagimguak@
@twenty@|@nisinska@
@twenty-five cents@|@tlôtso@
@twenty-one@|@nisinskataba pazekw@
@twice@|@nisda@
@two@|@nis, nisoak@
@two hundred@|@nisatgua@
@ugliness@|@majigowôgan@
@uncle: my ~@|@nôjikw+ak@
@uncle: my cross-~@|@n'zasis+ak@
@uncle: my parallel-~@|@n'nôjikw+ak@
@under-petticoat@|@alômabizowan+al@
@United States of America@|@Patonki@
@unless@|@aiga, chaga ôda@
@unload (v)@|@kajimijebikamuk@
@untie (v)@|@ôbenômuk, ôbenôzik@
@upon@|@tasiwi@
@us@|@kiuna, niona, niuna@
@us: to ~ (we) (pr. obj.)@|@kiuna@
@use (v)@|@alokamuk@
@useless@|@piziwadoik, piziwadoit@
@vagina@|@bloti@
@vapour@|@awan@
@vast@|@mamsi@
@veal@|@kaozisiia@
@vein@|@kôjo+ak@
@venison@|@nolka'iia+k@
@very@|@pita@
@very cloudy@|@kiniasokwad@
@vessel@|@ktolagw+ol@
@village@|@odana+al@
@vinegar@|@pinagel@
@violet: it's ~@|@minôbowigen@
@violet: the ~@|@minôbowigek@
@virgin Mary@|@sôgmôwi mali@
@voice (the voice)@|@lalômowôgan@
@void (anim)@|@piziwadoik@
@void (inan)@|@piziwadoit@
@wagon@|@wagin+ak@
@waistcoat@|@silad+al@
@wait for (v)@|@askawihômuk@
@wake up!@|@Omki!@
@walk@|@pmossamek@
@Walk.@|@alosa.@
@walk: he ~s@|@pmossa@
@walk: I ~@|@n'pmossa@
@walk: she ~s@|@pmossa@
@walk: you ~@|@n'pmossa@
@walking stick@|@ôbadahon+al@
@walnut@|@pagôn+al@
@want@|@achwaldamek@
@want: he ~s@|@achwalda@
@want: I ~@|@nd'achwaldam@
@want: I ~ something@|@nadachowaldam@
@want: she ~s@|@achwalda@
@want: you ~@|@nd'achwaldam@
@warm returning wind from the south: the ~@|@azawanlômsen@
@warm weather: it's ~@|@wlôda@
@warm wind: it's a ~@|@kzabdalômsen@
@warn@|@wawôdokawômuk@
@warn (v)@|@wawôjemimuk@
@wash (v)@|@kazebaadigamuk, kazebaalmuk@
@washer-woman@|@nodbaadigat+ik@
@wasp@|@wawilômwa+k@
@watch@|@tbahikisosôgan+al@
@watch (v)@|@pazôbimuk@
@watchmaker@|@noji-tbaikisosôganikad+ik@
@water@|@nebi@
@water: muddy ~@|@pibganbi@
@water: rain ~@|@solgônbi@
@water: river ~@|@sibobi@
@water: spring ~@|@tkobi@
@water: well ~@|@whawdazibôminebi@
@waterfall@|@panjahlôk+il@
@wave@|@tego+ak@
@we@|@niona@
@we (pr. excl.)@|@n'@
@we (pr. incl.)@|@k'@
@weasel@|@saguasis+ak@
@weather@|@alikisgak, kisokw@
@weather: fair ~@|@wlekisgad@
@weather: fine ~@|@wlekisgad@
@weather: it's bad ~@|@majekisgad, majikisgad@
@weather: it's cold ~@|@tekakisgad@
@weather: it's damp ~@|@odagikisgad, wdagkisgad@
@weather: it's dry ~@|@pakwsatakisgad@
@weather: it's fine@|@walikisgad@
@weather: it's good ~@|@wlikisgad@
@weather: it's hot ~@|@kzabdakisgad@
@weather: it's rainy ~@|@soglônkisgad, soglônwikisgad@
@weather: it's stormy ~@|@kinlônwikisgad@
@weather: it's sunny ~@|@kisosowikisgad@
@weather: it's very bad ~@|@kinimajikisgad@
@weather: it's very damp@|@kiniodagikisgad@
@weather: it's very dry ~@|@kinipakwsatakisgad@
@weather: it's very fine ~@|@kiniwalikisgad@
@weather: it's very hot ~@|@kinikzabdakisgad@
@weather: it's very hot and humid ~@|@kinjagabdakisgad@
@weather: it's warm ~@|@wilôdakisgad, wlôda@
@weather: it's wet ~@|@nibikisgad, wdagkisgad@
@wedding-ring@|@nibawiljahon+al@
@Wednesday@|@nseda alokan@
@week@|@negwedsanda+al, nguetsanda@
@week later: a ~@|@sipkinewedsandak@
@week long: all ~@|@kwansandak@
@week: after the ~@|@kizi negwedsandak@
@week: before the ~@|@asma negwedsandak@
@week: last ~@|@pabmalokamgak@
@week: the following ~@|@nosokak sandak@
@week: this ~@|@negwedsandak@
@week: two ~s@|@nisda sanda@
@weep (v)@|@malisjômuk@
@well water@|@whawdazibôminebi@
@well: Dream ~.@|@Olegwasi.@
@well: sleep ~.@|@Oligawi.@
@west@|@ali-nkihlôt, ali-nkihlt@
@west: from the ~@|@ali-nkihlôt@
@westward@|@ali-nkihlôt@
@wet weather: it's ~@|@wdagkisgad@
@what@|@toni, tôni@
@What are you doing?@|@Kagui k'd-elalokaba?@
@what did you say?@|@Gagwi gedidam?@
@what is that?@|@Gagwi ni?, Gagwi ni?@
@What is that?@|@Kagui?, Kagwes ni?@
@what is this?@|@Gagwi yo?@
@What is your name?@|@Kagui k'd-eli vizi?@
@what?@|@gagwi?@
@wheat@|@malomen+al@
@wheat-ear (bird)@|@pokui sigoskuasis@
@wheel@|@wakôlikws+il@
@when@|@chiga, tôni adoji@
@when it's summer@|@nibek@
@when it's windy@|@gzelômsenok@
@where@|@toni, tôni@
@whereas@|@oji ala, oji ali, wzomi@
@wherefore@|@ni wattak@
@whin chat (bird)@|@alômsaguilhasis@
@whip@|@sazamhigan@
@whip-poor-will@|@papoles+ak@
@whirlpool@|@kokw+ak@
@whirlwind: there is a ~@|@petguelômsen@
@whiskey@|@weski@
@white@|@wôbi@
@white fish@|@wôbamagw+ak, wôbi namas+ak@
@white liquid@|@wôbbagak@
@white liquid: it's ~@|@wôbbaga@
@white spruce@|@msazesso+ak@
@white: he is ~@|@wôbigo@
@white: it's ~@|@wôbigen, wôbigo@
@white: she is ~@|@wôbigo@
@white: the ~@|@wôbigek@
@who are you?@|@awani gia?@
@who is she/he?@|@awani agema?@
@Who is that?@|@awani na?@
@whooping cough@|@majimalômilhawôgan@
@wicked@|@majigek, majigit@
@widow@|@sigweskwa@
@widower@|@sigwid@
@wife@|@behanem@
@wife: his ~@|@niswiidiji@
@wife: my ~@|@niswiak@
@wife: my brother's ~ (speaker female)@|@nilem+ok@
@wife: my brother's ~ (speaker male)@|@nilem+ok@
@wife: thy ~@|@niswiakw@
@wig@|@pilwôntukw+al@
@wild-cherry tree@|@maskwazimenakuam+ak@
@wilderness@|@pisowakamigw+ol@
@willingly@|@wigôdamiwi@
@willow@|@kanozas+ak@
@win (v)@|@kawhoamuk@
@wind@|@kzelômsen@
@wind (that which blows)@|@alômsek@
@wind : it's a damp ~@|@odagelômsen@
@wind approaches: the ~@|@pedelômsen@
@wind blows in a certain direction: the ~@|@lagwelômsen@
@wind falls: the ~@|@awanbenihla@
@wind: an offshore ~@|@mamillômsen@
@wind: an upward blowing ~@|@spigwelômsen@
@wind: fair ~@|@wlelômsen@
@wind: fresh ~@|@wlelômsen@
@wind: it's a cold ~@|@tekalômsen@
@windfall@|@kawasen+ok@
@windy@|@gzelômsen@
@windy in spots: it's ~@|@pagatlômsen@
@windy: it's ~@|@gzelômseno@
@windy: it's a little ~@|@gzelômsenoso@
@windy: it's very ~@|@kinilômsek@
@wine@|@makwbagak@
@Winnipisaukee@|@Wiwninbesaki@
@Winooski@|@Winoski@
@winter@|@pbon, pebon@
@winter: a year ago last ~@|@nialippona@
@winter: in ~@|@peboniwi@
@winter: last ~@|@pbona, pebona@
@winter: next ~@|@pboga, peboga@
@wizard (any type of yellow bird)@|@wisôwihlasis+ak@
@wolf@|@môlsem+ok@
@wolf cub@|@môlsemis+ok@
@wolverine@|@alaskana@
@woman@|@behanem, phanem@
@woman: Indian ~@|@Alnôbai phanem@
@wood: decayed ~@|@msoakw+ok@
@woodchuck@|@agaskw+ok@
@woodcutter@|@nodkwahid+ik@
@wooden-trap@|@klahigan+al@
@woodman@|@nodkwahid+ik@
@woodpecker@|@ôbasas+ak@
@woodpecker: black ~@|@mama+k@
@work@|@alokawôgan@
@work (v)@|@aloka., awakamuk@
@work: Let's ~.@|@aloka.@
@worm@|@skoks+ak@
@worst@|@chitôiwi@
@write (v)@|@awighôzilk@
@Yamaska@|@Wigwôkadenik@
@yard: half a ~@|@pabasi llakwnôso@
@yard: one ~@|@nguet'akwnôso, pazegueda llakwnôso@
@yawl@|@abodes+al@
@year@|@gaden+al@
@year is ended: the ~@|@matgaden@
@year long@|@kwanigadenek@
@year: after very many ~s@|@kôkasigadenwaiwi@
@year: all ~@|@mziwigaden@
@year: at the beginning of the ~@|@môjagadeniwi@
@year: before this ~@|@asma pamgadenek@
@year: beginning of the ~@|@môjagaden@
@year: end of the ~@|@machiwigaden@
@year: full ~@|@pasanôgaden@
@year: half of the ~@|@pabasôgaden@
@year: it's a ~@|@ligaden@
@year: it's a good ~@|@wligen gaden@
@year: it's half of the ~@|@pabasiwigen gaden@
@year: it's next ~@|@nakwaltak gadenek@
@year: it's the end of the ~@|@machiwigen gaden@
@year: it's the following ~@|@nosokak gadenek@
@year: it's the middle of the ~@|@nanôwigen gaden@
@year: middle of the ~@|@nanôwigaden@
@year: one ~@|@nguejigaden@
@year: some of the ~@|@naoji gaden@
@year: the ~ is…@|@aligadenek@
@year: very many ~s@|@kôkasigaden@
@yellow@|@wizôwi@
@yellow dye@|@wizôw'atsigan@
@yellow fever@|@wizôwi kezabezowogan@
@yellow: it's ~@|@wizôwigen@
@yes@|@Oho, ôhôô@
@yesterday@|@wlôgwa@
@yesterday morning@|@wlôgwa spôzowik@
@yesterday: after ~@|@kizi wlôgwak@
@yet@|@askua mina, mina@
@you@|@gia, kia, kiuwô@
@you (formal)@|@kiona@
@you: to ~ (pr. obj.)@|@kiuwô@
@young@|@wski@
@young dog@|@wski alemos+ak@
@young girl@|@n'ôkskuasis@
@young man@|@wski alnôba@
@your father@|@k'mitongwes@
@yours (poss. pr.)@|@kiuwô@
@yourselves@|@kiuwôtta@
@yourselves: to ~ (pr. reflective)@|@kiuwôtta@

