@English@|@Koine Greek@
@I imitate@|@μιμέομαι@
@I impress@|@ἀγγαρεύω@
@I imprison@|@φυλακίζω@
@I increase@|@πληθύνω@
@I increase exceedingly@|@ὑπεραυξάνω@
@I inflame@|@φλογίζω@
@I inflate@|@φυσιόω@
@I inflict loss upon@|@ζημιόω@
@I inhabit@|@οἰκέω@
@I inherit@|@κληρονομέω@
@I initiate@|@μυέω@
@I instruct@|@προστάσσω@
@I instruct orally@|@κατηχέω@
@I insult@|@ἐνυβρίζω, ἐπηρεάζω, ὑβρίζω@
@I intercede for@|@ὑπερεντυγχάνω@
@I interrogate@|@ἐπερωτάω@
@I interrupt@|@ἐγκόπτω@
@I invigorate@|@ἐνισχύω@
@I invite@|@συμπαρακαλέω@
@I invite in return@|@ἀντικαλέω@
@I irritate@|@ὀργίζω@
@I join closely@|@προσκολλάω@
@I jostle@|@ἀποθλίβω@
@I journey@|@ὁδεύω@
@I journey into@|@εἰσπορεύομαι@
@I journey out@|@ἐκπορεύομαι@
@I journey through@|@διαπορεύομαι, διοδεύω@
@I journey to@|@ἐπιπορεύομαι@
@I journey together with@|@συμπορεύομαι@
@I journey with@|@συνοδεύω@
@I judge@|@κρίνω@
@I keep@|@τηρέω, φυλάσσω@
@I keep a feast@|@ἑορτάζω@
@I keep company with@|@συναναμίγνυμι@
@I keep safe@|@διατηρέω@
@I keep silence@|@σιωπάω@
@I keep silent@|@σιγάω@
@I kick@|@λακτίζω@
@I kindle@|@ἀνάπτω, ἅπτω@
@I kiss affectionately@|@καταφιλέω@
@I knock@|@κρούω@
@I know@|@οἶδα, ἐπίσταμαι, σύνοιδα@
@I know accurately@|@διαγινώσκω@
@I know beforehand@|@προγινώσκω@
@I laugh@|@γελάω@
@I laugh at@|@καταγελάω@
@I lay a case before@|@ἀνατίθημι@
@I lay down@|@κατατίθημι, ὑποτίθημι@
@I lay hold of@|@καθάπτω, κρατέω, πιάζω@
@I lay my hands upon@|@διαχειρίζομαι@
@I lay off or aside@|@ἀποτίθημι@
@I lay waste@|@πορθέω@
@I lead@|@ἄγω, ἀπάγω, ἡγέομαι, ὁδηγέω@
@I lead about@|@περιάγω@
@I lead around@|@θριαμβεύω@
@I lead astray@|@πλανάω@
@I lead away@|@ἀφίστημι@
@I lead away with@|@συναπάγω@
@I lead by the hand@|@χειραγωγέω@
@I lead down@|@κατάγω@
@I lead forth@|@προάγω@
@I lead in@|@εἰσάγω@
@I lead into@|@εἰσφέρω@
@I lead onward by example@|@προηγέομαι@
@I lead out@|@ἐξάγω@
@I lead up@|@ἀνάγω@
@I leap@|@ἅλλομαι@
@I leap for joy@|@σκιρτάω@
@I leap into@|@εἰσπηδάω@
@I leap up@|@ἐξάλλομαι@
@I leap upon@|@ἐφάλλομαι@
@I learn@|@μανθάνω@
@I leave@|@ἀπολείπω, μεταβαίνω@
@I leave alone@|@μονόω@
@I leave behind@|@καταλείπω, περιλείπω, ὑπολείπω, ὑπολιμπάνω@
@I leaven@|@ζυμόω@
@I lend@|@δανείζω, χράω@
@I lengthen@|@μηκύνω@
@I let down@|@καθίημι, χαλάω@
@I let go@|@ἀνίημι@
@I lick off@|@ἀπολείχω@
@I lie@|@κεῖμαι, ψεύδομαι@
@I lie down@|@ἀναπίπτω@
@I lie in wait for@|@ἐνεδρεύω@
@I lie upon@|@ἐπίκειμαι@
@I lift up@|@ἐξαίρω, ὑψόω@
@I lighten@|@κουφίζω@
@I linger@|@ἀργέω@
@I listen@|@ὑπακούω@
@I listen to@|@ἐπακούω, ἐπακροάομαι@
@I live@|@βιόω, ζάω@
@I live a luxurious life@|@τρυφάω@
@I live as a Jew@|@Ἰουδαΐζω@
@I live extravagantly@|@σπαταλάω@
@I live luxuriously@|@στρηνιάω@
@I live the life of a citizen@|@πολιτεύομαι@
@I live together with@|@συζάω@
@I load@|@φορτίζω@
@I lodge@|@αὐλίζομαι@
@I long for@|@ἐπιθυμέω, ἐπιποθέω, ὁμείρομαι@
@I look@|@βλέπω@
@I look around on@|@περιβλέπομαι@
@I look at attentively@|@ἀναθεωρέω@
@I look away from@|@ἀποβλέπω, ἀφοράω@
@I look down upon@|@περιφρονέω@
@I look into@|@ἐμβλέπω@
@I look up@|@ἀναβλέπω@
@I look upon@|@ἐπισκέπτομαι@
@I look with favor on@|@ἐπιβλέπω@
@I looked upon@|@ἐπεῖδεν@
@I loose@|@λύω@
@I lose heart@|@ἀθυμέω@
@I love@|@ἀγαπάω, φιλέω@
@I make a distinction@|@ἀποδιορίζω@
@I make a fair outward appearance@|@εὐπροσωπέω@
@I make a heritage@|@κληρόω@
@I make a model of a calf@|@μοσχοποιέω@
@I make a prior accusation@|@προαιτιάομαι@
@I make a public show of@|@θεατρίζω@
@I make a public speech@|@δημηγορέω@
@I make a reckoning@|@συναίρω@
@I make a sign to by nodding@|@ἐννεύω@
@I make a sound@|@ἠχέω@
@I make alive together with@|@συζωοποιέω@
@I make an agreement@|@συντίθημι@
@I make blind@|@τυφλόω@
@I make clean@|@καθαρίζω@
@I make clear@|@διασαφέω, φανερόω@
@I make disciples@|@μαθητεύω@
@I make drunk@|@μεθύσκω@
@I make excuse@|@παραιτέομαι@
@I make foolish@|@μωραίνω@
@I make holy@|@ἁγιάζω@
@I make jealous@|@παραζηλόω@
@I make known@|@γνωρίζω@
@I make known to again@|@ἀναγνωρίζω@
@I make less@|@ἐλαττόω@
@I make like@|@ὁμοιόω@
@I make liquid@|@τήκω@
@I make narrow@|@θλίβω@
@I make old@|@παλαιόω@
@I make peace@|@εἰρηνοποιέω@
@I make ready@|@ἑτοιμάζω@
@I make rich@|@πλουτίζω@
@I make righteous@|@δικαιόω@
@I make room@|@χωρέω@
@I make safe@|@ἀσφαλίζω@
@I make straight@|@εὐθύνω, κατευθύνω@
@I make straight again@|@ἀνορθόω@
@I make sufficient@|@ἱκανόω@
@I make to live@|@ζῳοποιέω@
@I make to recline@|@ἀνακλίνω@
@I make to rest@|@ἀναπαύω@
@I make to rise@|@ἀνατέλλω@
@I make unclean@|@κοινόω@
@I make visible@|@ἐμφανίζω@
@I make war@|@πολεμέω@
@I make wise@|@σοφίζω@
@I manage a household@|@οἰκοδεσποτέω@
@I marry@|@γαμέω@
@I marry a deceased brother’s wife@|@ἐπιγαμβρεύω ’@
@I measure@|@μετρέω@
@I measure in return@|@ἀντιμετρέω@
@I mediate@|@μεσιτεύω@
@I meditate beforehand@|@προμελετάω@
@I meditate upon@|@ἐνθυμέομαι@
@I meet@|@ἀπαντάω, ἐντυγχάνω, συναντάω, ὑπαντάω@
@I meet with@|@συντυγχάνω@
@I mingle with myrrh@|@σμυρνίζω@
@I minister@|@λειτουργέω@
@I minister in holy things@|@ἱερουργέω@
@I minister to@|@ὑπηρετέω@
@I mirror@|@κατοπτρίζομαι@
@I miss the mark@|@ἀστοχέω@
@I mix@|@κεράννυμι, μίγνυμι@
@I mix with@|@συγκεράννυμι@
@I mock@|@ἐμπαίζω, χλευάζω@
@I moisten@|@βρέχω@
@I mourn@|@πενθέω@
@I move@|@κινέω, σαίνω@
@I move about@|@περιέρχομαι@
@I move away@|@μετακινέω@
@I move out of its place@|@μεθίστημι@
@I move together@|@συγκινέω@
@I mow@|@ἀμάω@
@I murder@|@φονεύω@
@I murmur greatly@|@διαγογγύζω@
@I muzzle@|@ἐπιστομίζω, φιμόω@
@I nail to@|@προσηλόω@
@I name@|@ἐπονομάζω@
@I narrate at length@|@ἐκδιηγέομαι@
@I need@|@χρῄζω@
@I neglect@|@ἀμελέω, παρίημι@
@I nod@|@κατανεύω, νεύω@
@I nod continually@|@διανεύω@
@I nod in sleep@|@νυστάζω@
@I nod to@|@ἐπινεύω@
@I note@|@σημειόομαι@
@I notify@|@παραγγέλλω@
@I nourish@|@ἐκτρέφω@
@I nourish on@|@ἐντρέφω@
@I number@|@ἀριθμέω@
@I number among@|@καταριθμέω@
@I obey one in authority@|@πειθαρχέω@
@I obstinately prevent@|@διακωλύω@
@I obtain@|@τυγχάνω@
@I obtain by lot@|@λαγχάνω@
@I offer@|@δίδωμι, παρέχω@
@I offer here and there@|@διαδίδωμι@
@I open@|@ἀνοίγω@
@I open fully@|@διανοίγω@
@I oppose@|@ἀντιδιατίθεμαι@
@I oppress@|@συγκάμπτω@
@I ordain@|@νομοθετέω@
@I outrun@|@προτρέχω@
@I overdo@|@περιεργάζομαι@
@I overlook@|@παραθεωρέω, ὑπερεῖδον@
@I overpower@|@καταδυναστεύω@
@I overshadow@|@ἐπισκιάζω, κατασκιάζω@
@I over-stretch@|@ὑπερεκτείνω@
@I overturn@|@ἀναστρέφω, καταστρέφω@
@I owe@|@ὀφείλω@
@I owe in addition@|@προσοφείλω@
@I pain@|@λυπέω@
@I partake with@|@συμμερίζομαι@
@I participate in@|@μετέχω@
@I pass@|@διαγίνομαι@
@I pass away time@|@παροίχομαι@
@I pass by@|@παράγω, παρέρχομαι@
@I pass opposite@|@ἀντιπαρέρχομαι@
@I pass the winter@|@παραχειμάζω@
@I pass through@|@διέρχομαι, διϊκνέομαι@
@I pay@|@τίνω@
@I pay attention to@|@προσέχω@
@I perceive@|@αἰσθάνομαι@
@I perform good deeds@|@ἀγαθοεργέω@
@I perish along with@|@συναπόλλυμι@
@I permit one to approach@|@προσεάω@
@I persecute@|@ἐκδιώκω@
@I persevere@|@καρτερέω@
@I persist@|@ἐπισχύω, προσκαρτερέω@
@I persuade@|@πείθω@
@I pervert@|@ἀνασκευάζω, διαστρέφω@
@I pierce through@|@ἐκκεντέω, περιπείρω@
@I pitch a tent@|@πήγνυμι@
@I pity@|@ἐλεέω, οἰκτείρω@
@I place in or upon@|@ἐνίστημι@
@I place under@|@ὑποτάσσω@
@I place upon@|@ἐπιβιβάζω@
@I plant@|@φυτεύω@
@I play@|@παίζω@
@I play on the harp@|@κιθαρίζω@
@I play the flute@|@αὐλέω@
@I please@|@ἀρέσκω, εὐαρεστέω@
@I plow@|@ἀροτριάω@
@I pluck@|@τίλλω@
@I plunder@|@διαρπάζω, συλαγωγέω@
@I point out@|@δείκνυμι@
@I ponder@|@συμβάλλω@
@I postpone@|@ἀναβάλλω@
@I pour out@|@ἐκχέω@
@I pour out as a libation@|@σπένδω@
@I pour out so that it overflows@|@ὑπερεκχύνω@
@I pour over@|@καταχέω@
@I pour upon@|@ἐπιχέω@
@I practice soothsaying@|@μαντεύομαι@
@I practice sorcery or magic@|@μαγεύω@
@I praise@|@αἰνέω, ἐπαινέω@
@I pray@|@εὔχομαι, προσεύχομαι@
@I preach beforehand@|@προκηρύσσω@
@I preach the gospel beforehand@|@προευαγγελίζομαι@
@I precede@|@προπορεύομαι@
@I predict@|@προμαρτύρομαι@
@I prepare@|@παρασκευάζω@
@I prepare beforehand@|@προετοιμάζω, προκαταρτίζω@
@I prepare for a journey@|@ἀποσκευάζομαι@
@I preserve@|@συντηρέω@
@I preserve alive@|@ζωογονέω@
@I press down@|@πιέζω@
@I press together@|@συνέχω@
@I press upon@|@στενοχωρέω@
@I pretend@|@προσποιέω@
@I prevail against@|@κατισχύω@
@I prevent@|@κωλύω@
@I prick@|@νύσσω@
@I proclaim@|@κηρύσσω@
@I produce@|@προφέρω@
@I profane@|@βεβηλόω@
@I promise@|@ἐπαγγέλλομαι@
@I promise beforehand@|@προεπαγγέλλομαι@
@I prop up@|@ἐπιστηρίζω@
@I propose@|@προαιρέω@
@I provide@|@προβλέπομαι@
@I provide for@|@προνοέω@
@I provoke@|@παροξύνω, προκαλέομαι@
@I provoke to anger@|@θυμόω, παροργίζω@
@I puff up@|@τυφόω@
@I punish@|@τιμωρέω@
@I purpose@|@προτίθεμαι@
@I pursue@|@διώκω@
@I push or thrust away@|@ἀπωθέω@
@I put@|@ἐπιτίθημι, τίθημι@
@I put apart@|@διΐστημι@
@I put around@|@περιτίθημι@
@I put forth@|@ἐκφύω, προβάλλω@
@I put in order@|@ἐπιδιορθόω@
@I put into a genealogy@|@γενεαλογέω@
@I put into order@|@κοσμέω@
@I put off@|@ἐκδύω@
@I put on@|@ἀμφιέννυμι, ἐνδιδύσκω, ἐνδύω@
@I put on my feet@|@ὑποδέω@
@I put on over@|@ἐπενδύομαι@
@I put out@|@ἐπανάγω@
@I put out or expose a child@|@ἐκτίθημι@
@I put to@|@προστίθημι@
@I put to death@|@ἀποκτείνω, θανατόω, νεκρόω@
@I put to open shame@|@παραδειγματίζω@
@I put to the test@|@δοκιμάζω, ἐκπειράζω@
@I rack@|@στρεβλόω@
@I rail off@|@ἀφορίζω@
@I raise@|@αἴρω, ἐπαίρω@
@I raise a tent over@|@ἐπισκηνόω@
@I raise along with@|@συνεγείρω@
@I raise beyond@|@ὑπεραίρω@
@I raise myself@|@ἀνακύπτω@
@I raise smoke@|@τύφω@
@I raise up@|@ἀνίστημι, ἐξανίστημι, ἐξεγείρω@
@I ransom@|@ἐξαγοράζω, λυτρόω@
@I ratify@|@κυρόω@
@I ravage@|@λυμαίνομαι@
@I reach maturity@|@ἀκμάζω@
@I read@|@ἀναγινώσκω@
@I reap@|@θερίζω@
@I rear@|@ἀνατρέφω@
@I reason@|@διαλογίζομαι, συλλογίζομαι@
@I rebuild@|@ἀνοικοδομέω@
@I rebuke@|@ἐλέγχω, ἐπιπλήσσω, ἐπιτιμάω@
@I receive@|@ἀποδέχομαι, λαμβάνω, παραδέχομαι@
@I receive as a guest@|@ὑποδέχομαι@
@I receive in my turn@|@διαδέχομαι@
@I reckon@|@λογίζομαι, ψηφίζω@
@I recline@|@ἀνάκειμαι, κατάκειμαι, κατακλίνω@
@I recline at a table@|@ἀνακλίνω@
@I recline at table with@|@συνανάκειμαι@
@I reconcile@|@ἀποκαταλλάσσω, καταλλάσσω@
@I reduce to ashes@|@τεφρόω@
@I refresh@|@ἀναψύχω@
@I refuse to hear@|@παρακούω@
@I reign@|@ἄρχω@
@I reign together with@|@συμβασιλεύω@
@I reject after testing@|@ἀποδοκιμάζω@
@I rejoice@|@χαίρω@
@I rejoice with@|@συγχαίρω@
@I relate in full@|@διηγέομαι@
@I relax@|@παραλύω@
@I release@|@ἀπολύω@
@I remain@|@διαμένω, ἐπιμένω, μένω, προσμένω@
@I remain behind@|@ὑπομένω@
@I remain by@|@παραμένω@
@I remain or abide in@|@ἐμμένω@
@I remain or continue together with@|@συμπαραμένω@
@I remember@|@μιμνήσκομαι, μνάομαι, μνημονεύω@
@I remind@|@ἀναμιμνήσκω, ἐπαναμιμνήσκω, ὑπομιμνῄσκω@
@I remove@|@ἐξαιρέω@
@I rend@|@σχίζω@
@I renew@|@ἀνακαινίζω, ἀνακαινόω, ἀνανεόω@
@I renounce@|@ἀπεῖπον@
@I repay@|@ἀποτίνω@
@I repent@|@μετανοέω@
@I report@|@ἀπαγγέλλω, διαφημίζω@
@I reproach@|@ὀνειδίζω@
@I request@|@δέομαι@
@I rescue@|@ῥύομαι@
@I resemble@|@παρομοιάζω@
@I resist@|@ἀνταγωνίζομαι, ἀντικαθίστημι, ἀντίκειμαι@
@I rest@|@ἡσυχάζω, καταπαύω, κλίνω@
@I rest along with@|@συναναπαύομαι@
@I rest upon@|@ἐπαναπαύομαι@
@I restore@|@ἀποκαθίστημι@
@I retire@|@ἐκνεύω@
@I return@|@ἀνακάμπτω, ἀναχωρέω, ἐπανέρχομαι@
@I return to soberness of mind@|@ἐκνήφω@
@I reveal@|@μηνύω@
@I revel in@|@ἐντρυφάω@
@I reverence@|@σέβομαι@
@I revile@|@λοιδορέω@
@I rise@|@ἀνατέλλω@
@I rise early@|@ὀρθρίζω@
@I rise up against@|@ἐπανίστημι@
@I rise up together against@|@συνεπίστημι@
@I roar@|@φρυάσσω, ὠρύομαι@
@I rob@|@νοσφίζω, συλάω@
@I roll@|@ἑλίσσω, κυλίω@
@I roll away@|@ἀποκυλίω@
@I roll or gather together@|@συστρέφω@
@I roll to@|@προσκυλίω@
@I root@|@ῥιζόω@
@I root out@|@ἐκριζόω@
@I rub@|@κνήθω, ψώχω@
@I rub in@|@ἐγχρίω@
@I rule@|@βασιλεύω, βραβεύω, προΐστημι@
@I rule over as a tetrarch@|@τετραρχέω@
@I run@|@τρέχω@
@I run a straight course@|@εὐθυδρομέω@
@I run around@|@περιτρέχω@
@I run down@|@κατατρέχω@
@I run in@|@εἰστρέχω@
@I run to@|@προστρέχω@
@I run together to@|@ἐπισυντρέχω@
@I run under shelter of@|@ὑποτρέχω@
@I run with@|@συντρέχω@
@I rush@|@κατεφίστημι, ὁρμάω@
@I rust@|@κατιόω@
@I sacrifice@|@θύω@
@I sail@|@πλέω@
@I sail away@|@ἀποπλέω@
@I sail down@|@καταπλέω@
@I sail out@|@ἐκπλέω@
@I sail over@|@διαπλέω@
@I sail past@|@παραπλέω@
@I sail slowly@|@βραδυπλοέω@
@I sail under@|@ὑποπλέω@
@I salt@|@ἁλίζω@
@I save@|@διασώζω, σῴζω@
@I saw@|@πρίζω@
@I say@|@ἀληθεύω, ἐρεῶ, λέγω, φημί@
@I say already@|@προερέω@
@I say previously@|@προέπω@
@I scatter@|@διασκορπίζω@
@I scatter like seed@|@διασπείρω@
@I scatter on the ground@|@καταστρώννυμι@
@I seal and thus close@|@κατασφραγίζω@
@I search diligently@|@ἐξερευνάω, ἐρευνάω@
@I season@|@ἀρτύω@
@I see@|@θεάομαι, ὁράω@
@I see beforehand@|@προείδω@
@I see clearly@|@καθοράω@
@I see through@|@διαβλέπω@
@I seek@|@ζητέω@
@I seek after@|@ἐπιζητέω@
@I seek out@|@ἀναζητέω, ἐκζητέω@
@I seek together@|@συζητέω@
@I seize@|@ἁρπάζω, ἐπιλαμβάνομαι, συλλαμβάνω, συναρπάζω@
@I seize tight hold of@|@καταλαμβάνω@
@I sell@|@πιπράσκω, πωλέω@
@I send@|@πέμπω@
@I send away@|@ἀφίημι@
@I send back@|@ἀναπέμπω@
@I send for@|@μετακαλέω, μεταπέμπω@
@I send forth@|@ἀποστέλλω, ἐξαποστέλλω@
@I send forward@|@προπέμπω@
@I send out@|@ἐκπέμπω@
@I send together with@|@συμπέμπω, συναποστέλλω@
@I send up@|@ἀναδίδωμι@
@I send up to a higher tribunal@|@ἀναπέμπω@
@I separate@|@χωρίζω@
@I separate from@|@ἀποχωρίζω@
@I separate from some one@|@ἀπορφανίζω@
@I separate myself from@|@διαχωρίζομαι@
@I serve@|@λατρεύω@
@I serve as priest@|@ἱερατεύω@
@I set@|@καθίζω, καθίστημι@
@I set a seal upon@|@σφραγίζω@
@I set at variance@|@διχάζω@
@I set before@|@παρατίθημι@
@I set myself against@|@ἀντιτάσσομαι@
@I sew on@|@ἐπιρράπτω@
@I shake@|@κατασείω, σαλεύω, σείω@
@I shake off@|@ἀποτινάσσω, ἐκτινάσσω@
@I shake up@|@ἀνασείω@
@I shame@|@καταισχύνω@
@I share@|@κοινωνέω, μεταδίδωμι@
@I share in@|@μεταλαμβάνω@
@I shave@|@ξυράω@
@I shear@|@κείρω@
@I shed tears@|@δακρύω@
@I shepherd@|@ποιμαίνω@
@I shine@|@λάμπω, στίλβω, φαίνω@
@I shine around@|@περιλάμπω@
@I shine forth@|@αὐγάζω, ἐκλάμπω@
@I shine through@|@διαυγάζω@
@I shine upon@|@ἐπιφαύω@
@I shorten@|@συστέλλω@
@I shout@|@βοάω@
@I shout aloud@|@ἀνακράζω@
@I shout upwards@|@ἀναβοάω@
@I show@|@δηλόω, ἐπιδείκνυμι@
@I show by proof@|@ἀποδείκνυμι@
@I show favor to@|@χαρίζομαι@
@I show forth@|@ἀναδείκνυμι, ἐνδείκνυμι@
@I show partiality@|@προσωποληπτέω@
@I show plainly@|@ὑποδείκνυμι@
@I shrink@|@δειλιάω@
@I shudder@|@φρίσσω@
@I shut@|@ἀποκλείω, κλείω@
@I shut out@|@ἐκκλείω@
@I shut up@|@κατακλείω@
@I sift@|@σινιάζω@
@I sight@|@ἀναφαίνω@
@I signify@|@σημαίνω@
@I sin@|@ἁμαρτάνω@
@I sin previously@|@προαμαρτάνω@
@I sing@|@ᾄδω, ὑμνέω@
@I sing psalms@|@ψάλλω@
@I sink@|@δύνω, ἐπιδύω@
@I sink in the sea@|@καταποντίζω@
@I sit@|@κάθημαι@
@I sit down beside@|@παρακαθίζω@
@I sit up@|@ἀνακαθίζω@
@I sit upon@|@ἐπικαθίζω@
@I sit with@|@συγκάθημαι@
@I slander@|@διαβάλλω@
@I slap@|@ῥαπίζω@
@I slaughter@|@κατασφάζω@
@I slay@|@σφάζω@
@I sleep@|@καθεύδω@
@I smite@|@ἀποκόπτω@
@I sneer at@|@μυκτηρίζω@
@I snort@|@ἐμβριμάομαι@
@I soil@|@μολύνω@
@I sojourn@|@ἐπιδημέω, παροικέω@
@I sound@|@βολίζω@
@I sound a trumpet@|@σαλπίζω@
@I sound out@|@ἐξηχέω@
@I sow@|@σπείρω@
@I spare@|@φείδομαι@
@I speak@|@λαλέω@
@I speak allegorically@|@ἀλληγορέω@
@I speak aloud@|@φθέγγομαι@
@I speak evil against@|@βλασφημέω@
@I speak evil of@|@κακολογέω, καταλαλέω@
@I speak freely@|@παρρησιάζομαι@
@I speak or say in opposition@|@ἀντεῖπον, ἀντιλέγω@
@I speak out@|@ἀποφθέγγομαι, ἐκλαλέω@
@I speak to@|@προσλαλέω@
@I spend@|@δαπανάω@
@I spend completely@|@ἐκδαπανάω@
@I spend in addition@|@προσαναλίσκω, προσδαπανάω@
@I spend the night in the open@|@ἀγραυλέω@
@I spend the whole night@|@διανυκτερεύω@
@I spend time@|@διάγω@
@I spin@|@νήθω@
@I spit@|@πτύω@
@I spit upon@|@ἐκπτύω, ἐμπτύω@
@I spread@|@στρωννύω@
@I spread on@|@ἐπιχρίω@
@I spread or stretch out@|@ἐκπετάννυμι@
@I spread under@|@ὑποστρωννύω@
@I spring up out@|@ἐξανατέλλω@
@I sprinkle@|@ῥαντίζω@
@I sprout@|@βλαστάνω@
@I spy out@|@κατασκοπέω@
@I stain@|@μιαίνω@
@I stand around@|@περιΐστημι@
@I stand by@|@ἐφίστημι@
@I stand fast@|@στήκω@
@I startle@|@ξενίζω@
@I steal@|@κλέπτω@
@I step on@|@ἐπιβαίνω@
@I stick fast@|@ἐρείδω@
@I stink@|@ὄζω@
@I stir up@|@ἐρεθίζω, παροτρύνω@
@I stir up the fire@|@ἀναζωπυρέω@
@I stone@|@λιθάζω, λιθοβολέω@
@I stone down@|@καταλιθάζω@
@I stoop@|@παρακύπτω@
@I stop@|@φράσσω@
@I store up@|@ἀποθησαυρίζω, θησαυρίζω@
@I strain@|@διϋλίζω@
@I strain after@|@ἐπεκτείνομαι@
@I strengthen@|@κραταιόω, ῥώννυμι, σθενόω, στερεόω@
@I stretch forth@|@ὀρέγω@
@I stretch out@|@ἐκτείνω, προτείνω@
@I strike@|@παίω, πατάσσω, πλήσσω@
@I strike with the fist@|@κολαφίζω@
@I strip@|@ἀπεκδύομαι@
@I strip off@|@περιαιρέω@
@I strive@|@ἀγωνίζομαι@
@I strive greatly@|@διαμάχομαι@
@I struggle in company with@|@συναγωνίζομαι@
@I stumble@|@προσκόπτω, πταίω@
@I subdue@|@καταγωνίζομαι@
@I subject to regulations@|@δογματίζω@
@I submit to@|@ὑπέχω@
@I suborn@|@ὑποβάλλω@
@I subvert@|@ἀνατρέπω@
@I suffer evil@|@κακοπαθέω@
@I suffer from a continual flow (oozing) of blood@|@αἱμορροέω@
@I suffer hardships together with@|@συγκακοπαθέω@
@I suffer ill-treatment with@|@συγκακουχέω@
@I suffer long@|@μακροθυμέω@
@I suffer previously@|@προπάσχω@
@I suffer together with@|@συμπάσχω@
@I suffice@|@ἀρκέω@
@I suffocate@|@ἀποπνίγω@
@I sum up@|@ἀνακεφαλαιόω@
@I summon@|@παρακαλέω, προσκαλέω@
@I supply@|@ἐπιχορηγέω, προσαναπληρόω@
@I surpass@|@ὑπερβάλλω@
@I surround@|@περίκειμαι@
@I swallow@|@καταπίνω@
@I swear@|@ὀμνύω@
@I sweep@|@σαρόω@
@I swell@|@πίμπρημι@
@I swim@|@κολυμβάω@
@I swim out@|@ἐκκολυμβάω@
@I sympathize with@|@συμπαθέω@
@I take@|@δέχομαι, παραλαμβάνω@
@I take a stand against@|@ἀνθίστημι@
@I take advantage of@|@πλεονεκτέω@
@I take along as a companion@|@συμπαραλαμβάνω@
@I take an oath@|@ἐπιορκέω@
@I take away@|@ἀπαίρω, ἀφαιρέω@
@I take before@|@προλαμβάνω@
@I take captive@|@αἰχμαλωτεύω, αἰχμαλωτίζω@
@I take care of@|@ἐπιμελέομαι@
@I take down@|@καθαιρέω@
@I take hold of@|@ἀντιλαμβάνομαι, δράσσομαι@
@I take in hand@|@ἐπιχειρέω@
@I take in my arms@|@ἐναγκαλίζομαι@
@I take into my ear@|@ἐνωτίζομαι@
@I take off a tenth part@|@ἀποδεκατόω@
@I take to myself@|@προσλαμβάνω@
@I take up@|@ἀναιρέω, ἀναλαμβάνω, ὑπολαμβάνω@
@I talk with@|@συλλαλέω, συνομιλέω@
@I tame@|@δαμάζω@
@I tarry@|@διατρίβω@
@I taste@|@γεύομαι@
@I teach@|@διδάσκω@
@I teach different things@|@ἑτεροδιδασκαλέω@
@I tear apart@|@διασπάω@
@I tear asunder@|@διαρρήσσω@
@I tear off@|@περιρρήγνυμι@
@I tell abroad@|@διαγνωρίζω@
@I tempt@|@ἀναπείθω@
@I terrify@|@πτοέω@
@I terrify exceedingly@|@ἐκφοβέω@
@I testify earnestly@|@ἐπιμαρτυρέω@
@I testify falsely@|@ψευδομαρτυρέω@
@I thank@|@εὐχαριστέω@
@I think@|@δοκέω, νομίζω, οἴμαι, φρονέω@
@I think upon@|@ἀναλογίζομαι@
@I thirst for@|@διψάω@
@I threaten@|@ἀπειλέω@
@I thresh@|@ἀλοάω@
@I thrive or flourish again@|@ἀναθάλλω@
@I throw@|@ἐκβάλλω, ῥίπτω@
@I throw at in opposition@|@ἀντιβάλλω@
@I throw away@|@ῥιπτέω@
@I throw away from@|@ἀποβάλλω, ἀπορρίπτω@
@I throw upon@|@ἐπιβάλλω, ἐπιρρίπτω@
@I throw violently on the ground@|@συσπαράσσω@
@I thrust down to Tartarus@|@ταρταρόω@
@I tithe@|@δεκατόω@
@I too@|@κἀγώ@
@I torment@|@βασανίζω, ὀδυνάω@
@I torture@|@τυμπανίζω@
@I toss to and fro@|@ῥιπίζω@
@I touch@|@θιγγάνω@
@I touch lightly@|@προσψαύω@
@I touch or handle@|@ἅπτομαι@
@I train@|@ἀσκέω@
@I train by physical exercise@|@γυμνάζω@
@I trample under foot@|@καταπατέω@
@I transact business@|@πραγματεύομαι@
@I transfer@|@μετατίθημι@
@I transgress@|@παραβαίνω, ὑπερβαίνω@
@I translate@|@διερμηνεύω, ἑρμηνεύω, μεθερμηνεύω@
@I transport@|@μετοικίζω@
@I travel@|@ὁδοιπορέω, πορεύομαι@
@I travel as a merchant@|@ἐμπορεύομαι@
@I travel on foot@|@πεζεύω@
@I tread@|@πατέω@
@I treat badly@|@κακόω@
@I treat evilly@|@κακουχέω@
@I tremble@|@τρέμω@
@I trouble@|@ὀχλέω, παρενοχλέω@
@I trouble greatly@|@διαταράσσω@
@I try@|@πειράζω, πειράω@
@I turn@|@μεταστρέφω, περιτρέπω, στρέφω@
@I turn about@|@μετάγω@
@I turn aside@|@ἐκτρέπω, παραφέρω@
@I turn away@|@ἀποστρέφω@
@I turn away from@|@ἀποτρέπω@
@I turn back@|@ὑποστρέφω@
@I turn back to@|@ἐπιστρέφω@
@I turn to confusion@|@ἐντρέπω@
@I turn upside down@|@ἀναστατόω@
@I uncover@|@ἀποκαλύπτω@
@I under-gird@|@ὑποζώννυμι@
@I understand@|@καταμανθάνω, κατανοέω, νοέω@
@I unite@|@συζεύγνυμι, συμβιβάζω@
